experiment_dir,run_dir,engine,node_rank,node,model,threads,threads_batch,ctx_size,parallel_requests,cache_type_k,cache_type_v,max_tokens,trials_configured,bench_concurrency,mandatory_only,category,prompt_id,runs,successful_runs,ttft_s_mean,ttft_s_stdev,tpot_s_mean,tpot_s_stdev,throughput_output_tok_s_mean,throughput_output_tok_s_stdev,goodput_sla_fraction,max_rss_kb,max_vmhwm_kb
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory/tq/t_24_c_2048_p_1_k_f16_v_f16,tq,,cna0093,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,24,2048,1,f16,f16,128,2,1,1,long,mandatory_long_transformer_cpu,2,2,8.063819746500002,11.183121249708128,0.12813428480314962,0.0001369864493187576,5.8823595572253,2.7071774040434256,0.5,5249408,5249408
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory/tq/t_24_c_2048_p_1_k_f16_v_f16,tq,,cna0093,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,24,2048,1,f16,f16,128,2,1,1,medium,mandatory_medium_ml_vs_dl,2,2,2.3449533604999857,0.0004258373812961124,0.12394058027952756,0.0005336431818193784,7.077402690468483,0.026693507474954158,0.0,5249408,5249408
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory/tq/t_24_c_2048_p_1_k_f16_v_f16,tq,,cna0093,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,24,2048,1,f16,f16,128,2,1,1,short,mandatory_short_capital_france,2,2,2.608310197999998,1.9843961015978673,0.12233378641666685,0.0005618355820795109,2.4149772054047443,1.3805976574507612,0.5,5249408,5249408
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory/tq/t_24_c_2048_p_1_k_turbo3_v_turbo3,tq,,cna0093,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,24,2048,1,turbo3,turbo3,128,2,1,1,long,mandatory_long_transformer_cpu,2,2,7.930117926999998,10.968617591228904,0.1641411383937007,4.952514649944514e-05,4.796080653332792,1.8270596758465893,0.5,4984576,4984576
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory/tq/t_24_c_2048_p_1_k_turbo3_v_turbo3,tq,,cna0093,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,24,2048,1,turbo3,turbo3,128,2,1,1,medium,mandatory_medium_ml_vs_dl,2,2,2.4662922045000073,0.002044146002347152,0.14310039316141732,0.00022668870715444924,6.20140530470444,0.00804264423452638,0.0,4984576,4984576
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory/tq/t_24_c_2048_p_1_k_turbo3_v_turbo3,tq,,cna0093,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,24,2048,1,turbo3,turbo3,128,2,1,1,short,mandatory_short_capital_france,2,2,2.688412056000004,2.0330753476690826,0.13149253400000066,0.0001293581145482991,2.3054886420761544,1.2993755462747074,0.5,4984576,4984576
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory/tq/t_24_c_2048_p_1_k_turbo4_v_turbo4,tq,,cna0093,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,24,2048,1,turbo4,turbo4,128,2,1,1,long,mandatory_long_transformer_cpu,2,2,7.647755989999979,10.578684036161944,0.15338251042126,5.5917564402372786e-05,5.107248894707433,1.992940456978014,0.5,5007808,5007808
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory/tq/t_24_c_2048_p_1_k_turbo4_v_turbo4,tq,,cna0093,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,24,2048,1,turbo4,turbo4,128,2,1,1,medium,mandatory_medium_ml_vs_dl,2,2,2.428527065499992,0.000627935570392692,0.1377682921417324,0.0003279411700842655,6.423923369116311,0.01321696931038855,0.0,5007808,5007808
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory/tq/t_24_c_2048_p_1_k_turbo4_v_turbo4,tq,,cna0093,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,24,2048,1,turbo4,turbo4,128,2,1,1,short,mandatory_short_capital_france,2,2,2.66383027400002,2.0208650150436043,0.12961086599999777,0.0006113246893377076,2.3350232616754902,1.3242467651314533,0.5,5007808,5007808
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory/tq/t_48_c_2048_p_1_k_f16_v_f16,tq,,cna0093,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,f16,f16,128,2,1,1,long,mandatory_long_transformer_cpu,2,2,4.521261608500026,6.243156623518973,0.15379859498031467,0.03588519864081912,5.3344189615971125,0.37383735684751385,0.5,5239680,5239680
