experiment_dir,engine,replica_count,model,threads,threads_batch,ctx_size,parallel_requests,cache_type_k,cache_type_v,max_tokens,category,prompt_id,successful_runs,total_throughput_output_tok_s_mean,ttft_s_mean_across_replicas,tpot_s_mean_across_replicas,goodput_sla_fraction_mean,max_vmhwm_kb
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,24,2048,1,f16,f16,128,long,mandatory_long_transformer_cpu,2,5.8823595572253,8.063819746500002,0.12813428480314962,0.5,5249408.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,24,2048,1,f16,f16,128,medium,mandatory_medium_ml_vs_dl,2,7.077402690468483,2.3449533604999857,0.12394058027952756,0.0,5249408.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,24,2048,1,f16,f16,128,short,mandatory_short_capital_france,2,2.4149772054047443,2.608310197999998,0.12233378641666685,0.5,5249408.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,24,2048,1,turbo3,turbo3,128,long,mandatory_long_transformer_cpu,2,4.796080653332792,7.930117926999998,0.1641411383937007,0.5,4984576.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,24,2048,1,turbo3,turbo3,128,medium,mandatory_medium_ml_vs_dl,2,6.20140530470444,2.4662922045000073,0.14310039316141732,0.0,4984576.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,24,2048,1,turbo3,turbo3,128,short,mandatory_short_capital_france,2,2.3054886420761544,2.688412056000004,0.13149253400000066,0.5,4984576.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,24,2048,1,turbo4,turbo4,128,long,mandatory_long_transformer_cpu,2,5.107248894707433,7.647755989999979,0.15338251042126,0.5,5007808.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,24,2048,1,turbo4,turbo4,128,medium,mandatory_medium_ml_vs_dl,2,6.423923369116311,2.428527065499992,0.1377682921417324,0.0,5007808.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,24,2048,1,turbo4,turbo4,128,short,mandatory_short_capital_france,2,2.3350232616754902,2.66383027400002,0.12961086599999777,0.5,5007808.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,f16,f16,128,long,mandatory_long_transformer_cpu,2,5.3344189615971125,4.521261608500026,0.15379859498031467,0.5,5239680.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,f16,f16,128,medium,mandatory_medium_ml_vs_dl,2,6.299274389619605,1.2424963484999978,0.15355976303937013,1.0,5239680.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,f16,f16,128,short,mandatory_short_capital_france,2,3.757222281950268,1.4032162694999784,0.09330110416666551,0.5,5239680.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,turbo3,turbo3,128,long,mandatory_long_transformer_cpu,2,5.27869755479221,4.075619501000006,0.16297607088582672,0.5,4984896.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,turbo3,turbo3,128,medium,mandatory_medium_ml_vs_dl,2,5.631984658731765,1.3091205250000257,0.17072196894488195,1.0,4984896.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,turbo3,turbo3,128,short,mandatory_short_capital_france,2,3.206497325401365,1.4839958845000467,0.11542286191666543,0.5,4984896.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,turbo4,turbo4,128,long,mandatory_long_transformer_cpu,2,5.417440895974142,4.035975640999993,0.16205830366535484,0.5,5005504.0
