experiment_dir,run_dir,suite,engine,node_rank,node,model,model_label,threads,threads_batch,ctx_size,parallel_requests,cache_type_k,cache_type_v,max_tokens,trials_configured,warmup_trials,bench_concurrency,mandatory_only,limit_per_category,category,prompt_id,runs,successful_runs,ttft_s_mean,ttft_s_stdev,tpot_s_mean,tpot_s_stdev,throughput_output_tok_s_mean,throughput_output_tok_s_stdev,goodput_sla_fraction,max_rss_kb,max_vmhwm_kb
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_16_n_128_k_turbo3_v_turbo3,concurrency,tq,,cnx138,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,16,turbo3,turbo3,128,3,1,16,0,3,long,long_hpc_case_study,3,0,,,,,,,0.0,8399920,8399920
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_16_n_128_k_turbo3_v_turbo3,concurrency,tq,,cnx138,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,16,turbo3,turbo3,128,3,1,16,0,3,long,long_memory_bound_reasoning,3,0,,,,,,,0.0,8399920,8399920
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_16_n_128_k_turbo3_v_turbo3,concurrency,tq,,cnx138,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,16,turbo3,turbo3,128,3,1,16,0,3,long,mandatory_long_transformer_cpu,3,3,2.4273594570016335,0.7508384786957505,0.280106200472494,0.0032305312741992467,3.261574781037806,0.13688208665725862,0.0,8399920,8399920
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_16_n_128_k_turbo3_v_turbo3,concurrency,tq,,cnx138,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,16,turbo3,turbo3,128,3,1,16,0,3,medium,mandatory_medium_ml_vs_dl,3,3,2.3224820173345506,0.9403211617169203,0.27844597606559457,0.0006373060565778554,3.398209555638782,0.09357268398795235,0.0,8399920,8399920
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_16_n_128_k_turbo3_v_turbo3,concurrency,tq,,cnx138,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,16,turbo3,turbo3,128,3,1,16,0,3,medium,medium_cpu_inference_pipeline,3,3,2.475864766999924,0.6707756101802641,0.27534228778478453,0.00599963477203044,3.421745292665958,0.13392215160958662,0.0,8399920,8399920
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_16_n_128_k_turbo3_v_turbo3,concurrency,tq,,cnx138,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,16,turbo3,turbo3,128,3,1,16,0,3,medium,medium_quant_tradeoff,3,3,2.428162901002603,0.7513634384058057,0.25825720124149554,0.03558574596345703,3.693874883438234,0.604980925420699,0.0,8399920,8399920
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_16_n_128_k_turbo3_v_turbo3,concurrency,tq,,cnx138,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,16,turbo3,turbo3,128,3,1,16,0,3,short,mandatory_short_capital_france,3,3,1.7202532303344924,1.4277309429140166,0.5840680878884288,0.3184406864294608,1.2824020831348237,0.2220076266462608,0.0,8399920,8399920
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_16_n_128_k_turbo3_v_turbo3,concurrency,tq,,cnx138,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,16,turbo3,turbo3,128,3,1,16,0,3,short,short_cpu_quantisation,3,3,2.635890818676368,0.3976675578800331,0.2758068022912636,0.005183023928591897,3.400260650597215,0.09693040198441427,0.0,8399920,8399920
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_16_n_128_k_turbo3_v_turbo3,concurrency,tq,,cnx138,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,16,turbo3,turbo3,128,3,1,16,0,3,short,short_threading_definition,3,3,2.2288786100010234,1.1001585070315354,0.2788329613097122,5.094398506731282e-05,3.4024044181505997,0.10063078704716252,0.0,8399920,8399920
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_16_n_128_k_turbo4_v_turbo4,concurrency,tq,,cnx150,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,16,turbo4,turbo4,128,3,1,16,0,3,long,long_hpc_case_study,3,0,,,,,,,0.0,8457368,8461572
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_16_n_128_k_turbo4_v_turbo4,concurrency,tq,,cnx150,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,16,turbo4,turbo4,128,3,1,16,0,3,long,long_memory_bound_reasoning,3,0,,,,,,,0.0,8457368,8461572
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_16_n_128_k_turbo4_v_turbo4,concurrency,tq,,cnx150,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,16,turbo4,turbo4,128,3,1,16,0,3,long,mandatory_long_transformer_cpu,3,3,2.601073939993512,0.9135106061158397,0.27027153250204305,0.013771981237206063,3.356225337876888,0.29471973736184115,0.0,8457368,8461572
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_16_n_128_k_turbo4_v_turbo4,concurrency,tq,,cnx150,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,16,turbo4,turbo4,128,3,1,16,0,3,medium,mandatory_medium_ml_vs_dl,3,3,2.470720932993572,1.1501642019367444,0.27646375002108486,0.003291443329221215,3.4066959288391705,0.06719368819848699,0.0,8457368,8461572
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_16_n_128_k_turbo4_v_turbo4,concurrency,tq,,cnx150,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,16,turbo4,turbo4,128,3,1,16,0,3,medium,medium_cpu_inference_pipeline,3,3,2.649780445334424,0.8384762073301794,0.27349251301051974,0.001845482023659799,3.425813892528359,0.10002970179115986,0.0,8457368,8461572
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_16_n_128_k_turbo4_v_turbo4,concurrency,tq,,cnx150,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,16,turbo4,turbo4,128,3,1,16,0,3,medium,medium_quant_tradeoff,3,3,2.605488326672154,0.9153066556467927,0.25218114930440627,0.03876686071797688,3.7750433195201034,0.7051896676887981,0.0,8457368,8461572
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_16_n_128_k_turbo4_v_turbo4,concurrency,tq,,cnx150,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,16,turbo4,turbo4,128,3,1,16,0,3,short,mandatory_short_capital_france,3,3,1.7395971660055995,1.5082382607204314,0.5720593863871828,0.33332248139704573,1.307240134991319,0.28921200396579805,0.0,8457368,8461572
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_16_n_128_k_turbo4_v_turbo4,concurrency,tq,,cnx150,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,16,turbo4,turbo4,128,3,1,16,0,3,short,short_cpu_quantisation,3,3,2.7413211839836245,0.6810252673238041,0.2729597251969689,0.0028008965525825537,3.4235114622112697,0.09643065734882086,0.0,8457368,8461572
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_16_n_128_k_turbo4_v_turbo4,concurrency,tq,,cnx150,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,16,turbo4,turbo4,128,3,1,16,0,3,short,short_threading_definition,3,3,2.375624181673629,1.3141290882465722,0.2767840222861334,0.0038572503831285306,3.4117968048422838,0.07601583997722464,0.0,8457368,8461572
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_1_n_128_k_turbo3_v_turbo3,concurrency,tq,,cnx070,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,1,turbo3,turbo3,128,3,1,1,0,3,long,long_hpc_case_study,3,3,0.11641864500006704,0.0028247543628155125,0.10772665924409419,0.0014984653404956454,9.277966752586883,0.1298691115802969,1.0,8375168,8375168
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_1_n_128_k_turbo3_v_turbo3,concurrency,tq,,cnx070,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,1,turbo3,turbo3,128,3,1,1,0,3,long,long_memory_bound_reasoning,3,3,0.11583908533346705,0.0025170584362499667,0.10607188090813567,0.0014961982302242926,9.421894854998788,0.13353268637467433,1.0,8375168,8375168
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_1_n_128_k_turbo3_v_turbo3,concurrency,tq,,cnx070,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,1,turbo3,turbo3,128,3,1,1,0,3,long,mandatory_long_transformer_cpu,3,3,0.11071104633325983,0.0024897900306147616,0.10420388221259803,0.0018315027911195193,9.593713847887193,0.16879841924356334,1.0,8375168,8375168
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_1_n_128_k_turbo3_v_turbo3,concurrency,tq,,cnx070,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,1,turbo3,turbo3,128,3,1,1,0,3,medium,mandatory_medium_ml_vs_dl,3,3,0.10774182133339612,0.0019096232502820274,0.10139672520209946,0.002183776548832459,9.860243713199957,0.2121430709517188,1.0,8375168,8375168
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_1_n_128_k_turbo3_v_turbo3,concurrency,tq,,cnx070,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,1,turbo3,turbo3,128,3,1,1,0,3,medium,medium_cpu_inference_pipeline,3,3,0.10918192633334911,0.0029914342887077615,0.1028870473910764,0.0019787578265948675,9.716984113314348,0.18779769512008823,1.0,8375168,8375168
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_1_n_128_k_turbo3_v_turbo3,concurrency,tq,,cnx070,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,1,turbo3,turbo3,128,3,1,1,0,3,medium,medium_quant_tradeoff,3,3,0.10786806900000556,0.0024791803658121246,0.1022439068582675,0.0020244735586440314,9.778727691331985,0.19416411656370852,1.0,8375168,8375168
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_1_n_128_k_turbo3_v_turbo3,concurrency,tq,,cnx070,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,1,turbo3,turbo3,128,3,1,1,0,3,short,mandatory_short_capital_france,3,3,0.18043190266666898,0.0029202079204594745,0.10169539255556022,0.00516055110900976,7.852244727802514,0.3430820389959783,1.0,8375168,8375168
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_1_n_128_k_turbo3_v_turbo3,concurrency,tq,,cnx070,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,1,turbo3,turbo3,128,3,1,1,0,3,short,short_cpu_quantisation,3,3,0.423498850333317,0.013665950581803442,0.10262329745931757,0.0030203178580154814,9.517033210958612,0.27054744650124407,1.0,8375168,8375168
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_1_n_128_k_turbo3_v_turbo3,concurrency,tq,,cnx070,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,1,turbo3,turbo3,128,3,1,1,0,3,short,short_threading_definition,3,3,0.10703901100002138,0.002407082967581379,0.10203806788713886,0.002407127007249516,9.799961034081138,0.2302925074701376,1.0,8375168,8375168
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_1_n_128_k_turbo4_v_turbo4,concurrency,tq,,cnx056,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,1,turbo4,turbo4,128,3,1,1,0,3,long,long_hpc_case_study,3,3,0.12098337333494176,0.007329185819723674,0.10990359029397148,0.0035009376528329734,9.097807349998405,0.29143825656760247,1.0,8426212,8426408
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_1_n_128_k_turbo4_v_turbo4,concurrency,tq,,cnx056,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,1,turbo4,turbo4,128,3,1,1,0,3,long,long_memory_bound_reasoning,3,3,0.11930794767492141,0.0009607250569218029,0.10883317762460887,0.003508517239013195,9.187602407685679,0.2948245293756359,1.0,8426212,8426408
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_1_n_128_k_turbo4_v_turbo4,concurrency,tq,,cnx056,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,1,turbo4,turbo4,128,3,1,1,0,3,long,mandatory_long_transformer_cpu,3,3,0.11371296733462562,0.0038390057439060404,0.106629361881825,0.0043834678350060385,9.38373939184096,0.3833423774805681,1.0,8426212,8426408
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_1_n_128_k_turbo4_v_turbo4,concurrency,tq,,cnx056,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,1,turbo4,turbo4,128,3,1,1,0,3,medium,mandatory_medium_ml_vs_dl,3,3,0.11058117466745898,0.004843888124905752,0.10477968940691317,0.0046617665660146695,9.551919436471143,0.41716510983196137,1.0,8426212,8426408
measurements/1254633-track-a1-server-sweep-x86,measurements/1254633-track-a1-server-sweep-x86/concurrency/tq/model-1-mandatory/t_32_c_2048_p_1_n_128_k_turbo4_v_turbo4,concurrency,tq,,cnx056,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,32,32,2048,1,turbo4,turbo4,128,3,1,1,0,3,medium,medium_cpu_inference_pipeline,3,3,0.11268082699583222,0.005879213459819638,0.10597198970074731,0.005075872974562505,9.445896878769892,0.4464223576739169,1.0,8426212,8426408
