timestamp,cpu_percent,rss_kb,vmhwm_kb
2026-05-12T11:55:51+01:00,278,8232896,8232896
2026-05-12T11:55:52+01:00,733,8250544,8250544
2026-05-12T11:55:53+01:00,1118,8250708,8250708
2026-05-12T11:55:54+01:00,1429,8250708,8250708
2026-05-12T11:55:55+01:00,1657,8250860,8250860
2026-05-12T11:55:56+01:00,1817,8250860,8250860
2026-05-12T11:55:57+01:00,1955,8250860,8250860
2026-05-12T11:55:58+01:00,2078,8250860,8250860
2026-05-12T11:56:00+01:00,2024,8250860,8250860
2026-05-12T11:56:01+01:00,2119,8250860,8250860
2026-05-12T11:56:02+01:00,2203,8250860,8250860
2026-05-12T11:56:03+01:00,2273,8250860,8250860
2026-05-12T11:56:04+01:00,2341,8250860,8250860
2026-05-12T11:56:05+01:00,2400,8250860,8250860
2026-05-12T11:56:06+01:00,2457,8250860,8250860
2026-05-12T11:56:07+01:00,2502,8255852,8255852
2026-05-12T11:56:08+01:00,2543,8255852,8255852
2026-05-12T11:56:09+01:00,2580,8255852,8255852
2026-05-12T11:56:10+01:00,2614,8255852,8255852
2026-05-12T11:56:12+01:00,2645,8255852,8255852
2026-05-12T11:56:13+01:00,2575,8255852,8255852
2026-05-12T11:56:14+01:00,2604,8255852,8255852
2026-05-12T11:56:15+01:00,2631,8255852,8255852
2026-05-12T11:56:16+01:00,2657,8255852,8255852
2026-05-12T11:56:17+01:00,2681,8255852,8255852
2026-05-12T11:56:18+01:00,2706,8255852,8255852
2026-05-12T11:56:19+01:00,2729,8255852,8255852
2026-05-12T11:56:20+01:00,2751,8260644,8260644
2026-05-12T11:56:21+01:00,2772,8260644,8260644
2026-05-12T11:56:22+01:00,2791,8260644,8260644
2026-05-12T11:56:23+01:00,2810,8260644,8260644
2026-05-12T11:56:25+01:00,2755,8260644,8260644
2026-05-12T11:56:26+01:00,2772,8260644,8260644
2026-05-12T11:56:27+01:00,2790,8260644,8260644
2026-05-12T11:56:28+01:00,2808,8260644,8260644
2026-05-12T11:56:29+01:00,2824,8260644,8260644
2026-05-12T11:56:30+01:00,2841,8260644,8260644
2026-05-12T11:56:31+01:00,2855,8260644,8260644
2026-05-12T11:56:32+01:00,2870,8265112,8267160
2026-05-12T11:56:33+01:00,2883,8277784,8277784
2026-05-12T11:56:35+01:00,2896,8277912,8277912
2026-05-12T11:56:36+01:00,2850,8277912,8277912
2026-05-12T11:56:37+01:00,2861,8277912,8277912
