timestamp,cpu_percent,rss_kb,vmhwm_kb
2026-05-12T11:58:53+01:00,353,8435800,8435800
2026-05-12T11:58:54+01:00,876,8452752,8452752
2026-05-12T11:58:55+01:00,1306,8452916,8452916
2026-05-12T11:58:56+01:00,1617,8452916,8452916
2026-05-12T11:58:57+01:00,1814,8453032,8453032
2026-05-12T11:58:58+01:00,1985,8453032,8453032
2026-05-12T11:58:59+01:00,2124,8453032,8453032
2026-05-12T11:59:00+01:00,2244,8453032,8453032
2026-05-12T11:59:02+01:00,2348,8453032,8453032
2026-05-12T11:59:03+01:00,2262,8453032,8453032
2026-05-12T11:59:04+01:00,2348,8453032,8453032
2026-05-12T11:59:05+01:00,2422,8453032,8453032
2026-05-12T11:59:06+01:00,2484,8453032,8453032
2026-05-12T11:59:07+01:00,2544,8453032,8453032
2026-05-12T11:59:08+01:00,2596,8453032,8453032
2026-05-12T11:59:09+01:00,2637,8453032,8453032
2026-05-12T11:59:10+01:00,2675,8453032,8453032
2026-05-12T11:59:11+01:00,2711,8453032,8453032
2026-05-12T11:59:13+01:00,2747,8453032,8453032
2026-05-12T11:59:14+01:00,2663,8453032,8453032
2026-05-12T11:59:15+01:00,2694,8453048,8453048
2026-05-12T11:59:16+01:00,2727,8453048,8453048
2026-05-12T11:59:17+01:00,2756,8453048,8453048
2026-05-12T11:59:18+01:00,2780,8490472,8490472
2026-05-12T11:59:19+01:00,2801,8490472,8490472
2026-05-12T11:59:20+01:00,2823,8490472,8490472
2026-05-12T11:59:21+01:00,2841,8490472,8490472
2026-05-12T11:59:22+01:00,2861,8490472,8490472
2026-05-12T11:59:24+01:00,2881,8490472,8490472
2026-05-12T11:59:25+01:00,2819,8490472,8490472
2026-05-12T11:59:26+01:00,2839,8490472,8490472
2026-05-12T11:59:27+01:00,2858,8490472,8490472
2026-05-12T11:59:28+01:00,2877,8490472,8490472
2026-05-12T11:59:29+01:00,2891,8490472,8490472
2026-05-12T11:59:30+01:00,2906,8490472,8490472
2026-05-12T11:59:31+01:00,2921,8490472,8490472
2026-05-12T11:59:32+01:00,2935,8490472,8490472
2026-05-12T11:59:34+01:00,2949,8490472,8490472
2026-05-12T11:59:35+01:00,2898,8490472,8490472
2026-05-12T11:59:36+01:00,2910,8490472,8490472
2026-05-12T11:59:37+01:00,2920,8490472,8490472
2026-05-12T11:59:38+01:00,2930,8490472,8490472
2026-05-12T11:59:39+01:00,2940,8490472,8490472
2026-05-12T11:59:40+01:00,2950,8490472,8490472
2026-05-12T11:59:41+01:00,2959,8490472,8490472
2026-05-12T11:59:42+01:00,2967,8490472,8490472
2026-05-12T11:59:43+01:00,2979,8490472,8490472
2026-05-12T11:59:44+01:00,2990,8490472,8490472
2026-05-12T11:59:46+01:00,2947,8490472,8490472
2026-05-12T11:59:47+01:00,2958,8490472,8490472
2026-05-12T11:59:48+01:00,2968,8490472,8490472
2026-05-12T11:59:49+01:00,2978,8490472,8490472
2026-05-12T11:59:50+01:00,2988,8490472,8490472
2026-05-12T11:59:51+01:00,2997,8490472,8490472
2026-05-12T11:59:52+01:00,3006,8490472,8490472
2026-05-12T11:59:53+01:00,3014,8490472,8490472
2026-05-12T11:59:55+01:00,3022,8490472,8490472
2026-05-12T11:59:56+01:00,2984,8490472,8490472
2026-05-12T11:59:57+01:00,2991,8490472,8490472
2026-05-12T11:59:58+01:00,2997,8490472,8490472
2026-05-12T11:59:59+01:00,3003,8490472,8490472
2026-05-12T12:00:00+01:00,3009,8490472,8490472
2026-05-12T12:00:01+01:00,3014,8490472,8490472
2026-05-12T12:00:02+01:00,3022,8490472,8490472
2026-05-12T12:00:03+01:00,3029,8490472,8490472
2026-05-12T12:00:04+01:00,3037,8490472,8490472
2026-05-12T12:00:06+01:00,3044,8490472,8490472
2026-05-12T12:00:07+01:00,3009,8563720,8563720
2026-05-12T12:00:08+01:00,3016,8563720,8563720
2026-05-12T12:00:09+01:00,3021,8563720,8563720
2026-05-12T12:00:10+01:00,3026,8563720,8563720
2026-05-12T12:00:11+01:00,3031,8563720,8563720
2026-05-12T12:00:12+01:00,3035,8563720,8563720
2026-05-12T12:00:13+01:00,3040,8563720,8563720
2026-05-12T12:00:14+01:00,3045,8563720,8563720
2026-05-12T12:00:15+01:00,3049,8563720,8563720
2026-05-12T12:00:16+01:00,3054,8563720,8563720
2026-05-12T12:00:18+01:00,3058,8563720,8563720
2026-05-12T12:00:19+01:00,3030,8563720,8563720
2026-05-12T12:00:20+01:00,3035,8563720,8563720
2026-05-12T12:00:21+01:00,3041,8563720,8563720
2026-05-12T12:00:22+01:00,3046,8563720,8563720
2026-05-12T12:00:23+01:00,3052,8563720,8563720
2026-05-12T12:00:24+01:00,3057,8563720,8563720
2026-05-12T12:00:25+01:00,3062,8563724,8563724
2026-05-12T12:00:26+01:00,3067,8563724,8563724
2026-05-12T12:00:28+01:00,3072,8563724,8563724
2026-05-12T12:00:29+01:00,3047,8563724,8563724
2026-05-12T12:00:30+01:00,3052,8563724,8563724
