timestamp,cpu_percent,rss_kb,vmhwm_kb
2026-05-12T11:26:40+01:00,347,8433668,8433668
2026-05-12T11:26:41+01:00,879,8450696,8450696
2026-05-12T11:26:43+01:00,1303,8451000,8451000
2026-05-12T11:26:44+01:00,1403,8451000,8451000
2026-05-12T11:26:45+01:00,1614,8451048,8451048
2026-05-12T11:26:46+01:00,1794,8451048,8451048
2026-05-12T11:26:47+01:00,1941,8451048,8451048
2026-05-12T11:26:48+01:00,2066,8451048,8451048
2026-05-12T11:26:49+01:00,2169,8451048,8451048
2026-05-12T11:26:50+01:00,2261,8451048,8451048
2026-05-12T11:26:51+01:00,2336,8451048,8451048
2026-05-12T11:26:52+01:00,2401,8451048,8451048
2026-05-12T11:26:53+01:00,2459,8451048,8451048
2026-05-12T11:26:54+01:00,2511,8451048,8451048
2026-05-12T11:26:55+01:00,2554,8451048,8451048
2026-05-12T11:26:57+01:00,2475,8451048,8451048
2026-05-12T11:26:58+01:00,2516,8475924,8475924
2026-05-12T11:26:59+01:00,2553,8475924,8475924
2026-05-12T11:27:00+01:00,2586,8475924,8475924
2026-05-12T11:27:01+01:00,2617,8475924,8475924
2026-05-12T11:27:02+01:00,2644,8475924,8475924
2026-05-12T11:27:03+01:00,2671,8475924,8475924
2026-05-12T11:27:04+01:00,2696,8475924,8475924
2026-05-12T11:27:05+01:00,2719,8475924,8475924
2026-05-12T11:27:06+01:00,2740,8475924,8475924
2026-05-12T11:27:07+01:00,2762,8475924,8475924
2026-05-12T11:27:08+01:00,2781,8475924,8475924
2026-05-12T11:27:09+01:00,2803,8475924,8475924
2026-05-12T11:27:11+01:00,2821,8475924,8475924
2026-05-12T11:27:12+01:00,2759,8475924,8475924
2026-05-12T11:27:13+01:00,2778,8475924,8475924
2026-05-12T11:27:14+01:00,2796,8499988,8499988
2026-05-12T11:27:15+01:00,2812,8499988,8499988
2026-05-12T11:27:16+01:00,2827,8499988,8499988
2026-05-12T11:27:17+01:00,2841,8499988,8499988
2026-05-12T11:27:18+01:00,2853,8499988,8499988
2026-05-12T11:27:19+01:00,2866,8499988,8499988
2026-05-12T11:27:20+01:00,2878,8499988,8499988
2026-05-12T11:27:21+01:00,2889,8499988,8499988
2026-05-12T11:27:22+01:00,2900,8499988,8499988
2026-05-12T11:27:23+01:00,2911,8499988,8499988
