timestamp,cpu_percent,rss_kb,vmhwm_kb
2026-05-12T11:26:31+01:00,247,8232672,8232672
2026-05-12T11:26:32+01:00,589,8250052,8250052
2026-05-12T11:26:33+01:00,877,8250328,8250328
2026-05-12T11:26:34+01:00,1095,8250328,8250328
2026-05-12T11:26:36+01:00,1248,8250544,8250544
2026-05-12T11:26:37+01:00,1248,8250544,8250544
2026-05-12T11:26:38+01:00,1358,8250544,8250544
2026-05-12T11:26:39+01:00,1448,8250544,8250544
2026-05-12T11:26:40+01:00,1525,8250544,8250544
2026-05-12T11:26:41+01:00,1592,8250544,8250544
2026-05-12T11:26:42+01:00,1650,8250544,8250544
2026-05-12T11:26:43+01:00,1702,8250544,8250544
2026-05-12T11:26:44+01:00,1748,8250544,8250544
2026-05-12T11:26:45+01:00,1789,8250544,8250544
2026-05-12T11:26:46+01:00,1825,8250544,8250544
2026-05-12T11:26:47+01:00,1858,8255536,8255536
2026-05-12T11:26:48+01:00,1888,8255536,8255536
2026-05-12T11:26:49+01:00,1916,8255536,8255536
2026-05-12T11:26:50+01:00,1942,8255536,8255536
2026-05-12T11:26:52+01:00,1965,8255536,8255536
2026-05-12T11:26:53+01:00,1912,8255536,8255536
2026-05-12T11:26:54+01:00,1934,8255536,8255536
2026-05-12T11:26:55+01:00,1954,8255536,8255536
2026-05-12T11:26:56+01:00,1974,8255536,8255536
2026-05-12T11:26:57+01:00,1992,8255536,8255536
2026-05-12T11:26:58+01:00,2009,8255536,8255536
2026-05-12T11:26:59+01:00,2024,8260328,8260328
2026-05-12T11:27:00+01:00,2039,8260328,8260328
2026-05-12T11:27:01+01:00,2053,8260328,8260328
2026-05-12T11:27:02+01:00,2066,8260328,8260328
2026-05-12T11:27:03+01:00,2079,8260328,8260328
2026-05-12T11:27:04+01:00,2090,8260328,8260328
2026-05-12T11:27:05+01:00,2101,8260328,8260328
2026-05-12T11:27:06+01:00,2112,8260328,8260328
2026-05-12T11:27:07+01:00,2123,8260328,8260328
2026-05-12T11:27:08+01:00,2133,8260328,8260328
2026-05-12T11:27:10+01:00,2093,8260328,8260328
2026-05-12T11:27:11+01:00,2103,8260328,8260328
2026-05-12T11:27:12+01:00,2112,8279472,8279472
2026-05-12T11:27:13+01:00,2121,8279472,8279472
2026-05-12T11:27:14+01:00,2130,8279592,8279592
2026-05-12T11:27:15+01:00,2139,8279592,8279592
2026-05-12T11:27:16+01:00,2147,8279592,8279592
2026-05-12T11:27:17+01:00,2154,8279592,8279592
2026-05-12T11:27:18+01:00,2162,8279592,8279592
2026-05-12T11:27:19+01:00,2169,8279592,8279592
2026-05-12T11:27:20+01:00,2176,8279592,8279592
2026-05-12T11:27:21+01:00,2182,8279592,8279592
2026-05-12T11:27:22+01:00,2189,8279592,8279592
2026-05-12T11:27:23+01:00,2195,8279592,8279592
2026-05-12T11:27:24+01:00,2201,8279592,8279592
2026-05-12T11:27:26+01:00,2207,8285732,8285732
2026-05-12T11:27:27+01:00,2176,8285732,8285732
2026-05-12T11:27:28+01:00,2182,8285732,8285732
2026-05-12T11:27:29+01:00,2188,8285748,8285748
2026-05-12T11:27:30+01:00,2193,8285748,8285748
2026-05-12T11:27:31+01:00,2198,8285748,8285748
2026-05-12T11:27:32+01:00,2204,8285748,8285748
2026-05-12T11:27:33+01:00,2209,8285828,8285828
2026-05-12T11:27:34+01:00,2214,8285904,8285904
2026-05-12T11:27:35+01:00,2218,8285904,8285904
2026-05-12T11:27:36+01:00,2223,8285904,8285904
2026-05-12T11:27:37+01:00,2227,8285904,8285904
2026-05-12T11:27:38+01:00,2232,8304044,8304044
2026-05-12T11:27:39+01:00,2236,8304044,8304044
2026-05-12T11:27:40+01:00,2240,8304044,8304044
2026-05-12T11:27:42+01:00,2244,8304044,8304044
2026-05-12T11:27:43+01:00,2219,8304044,8304044
2026-05-12T11:27:44+01:00,2222,8304044,8304044
2026-05-12T11:27:45+01:00,2226,8304044,8304044
2026-05-12T11:27:46+01:00,2230,8304044,8304044
2026-05-12T11:27:47+01:00,2234,8304044,8304044
2026-05-12T11:27:48+01:00,2237,8304044,8304044
2026-05-12T11:27:49+01:00,2241,8304044,8304044
2026-05-12T11:27:50+01:00,2244,8304044,8304044
2026-05-12T11:27:51+01:00,2247,8304044,8304044
2026-05-12T11:27:52+01:00,2250,8306596,8306596
2026-05-12T11:27:53+01:00,2253,8344792,8344792
2026-05-12T11:27:54+01:00,2256,8344792,8344792
2026-05-12T11:27:55+01:00,2259,8344792,8344792
2026-05-12T11:27:56+01:00,2261,8344792,8344792
2026-05-12T11:27:57+01:00,2264,8344792,8344792
2026-05-12T11:27:58+01:00,2267,8346400,8346400
2026-05-12T11:28:00+01:00,2270,8346400,8346400
2026-05-12T11:28:01+01:00,2249,8346400,8346400
2026-05-12T11:28:02+01:00,2252,8346400,8346400
2026-05-12T11:28:03+01:00,2255,8346400,8346400
2026-05-12T11:28:04+01:00,2258,8346400,8346400
2026-05-12T11:28:05+01:00,2261,8346400,8346400
2026-05-12T11:28:06+01:00,2264,8346400,8346400
2026-05-12T11:28:07+01:00,2267,8346400,8346400
2026-05-12T11:28:08+01:00,2270,8346400,8346400
2026-05-12T11:28:09+01:00,2272,8346400,8346400
2026-05-12T11:28:10+01:00,2275,8346400,8346400
2026-05-12T11:28:11+01:00,2278,8346400,8346400
2026-05-12T11:28:12+01:00,2281,8346400,8346400
2026-05-12T11:28:13+01:00,2283,8346400,8346400
2026-05-12T11:28:14+01:00,2285,8346400,8346400
2026-05-12T11:28:16+01:00,2287,8357848,8357848
2026-05-12T11:28:17+01:00,2269,8357848,8357848
2026-05-12T11:28:18+01:00,2271,8357848,8357848
2026-05-12T11:28:19+01:00,2273,8358132,8358132
2026-05-12T11:28:20+01:00,2275,8358132,8358132
2026-05-12T11:28:21+01:00,2278,8358132,8358132
2026-05-12T11:28:22+01:00,2280,8358132,8358132
2026-05-12T11:28:23+01:00,2282,8358132,8358132
2026-05-12T11:28:24+01:00,2285,8358132,8358132
2026-05-12T11:28:25+01:00,2287,8358132,8358132
2026-05-12T11:28:26+01:00,2289,8358132,8358132
2026-05-12T11:28:27+01:00,2291,8358132,8358132
2026-05-12T11:28:28+01:00,2293,8358132,8358132
2026-05-12T11:28:29+01:00,2295,8358132,8358132
2026-05-12T11:28:30+01:00,2298,8358132,8358132
2026-05-12T11:28:32+01:00,2281,8358132,8358132
2026-05-12T11:28:33+01:00,2283,8358132,8358132
2026-05-12T11:28:34+01:00,2285,8358132,8358132
2026-05-12T11:28:35+01:00,2287,8358132,8358132
2026-05-12T11:28:36+01:00,2290,8358132,8358132
2026-05-12T11:28:37+01:00,2291,8367968,8367968
2026-05-12T11:28:38+01:00,2293,8367968,8367968
2026-05-12T11:28:39+01:00,2295,8367968,8367968
2026-05-12T11:28:40+01:00,2297,8367968,8367968
2026-05-12T11:28:41+01:00,2299,8367968,8367968
2026-05-12T11:28:42+01:00,2301,8367968,8367968
2026-05-12T11:28:43+01:00,2303,8367968,8367968
2026-05-12T11:28:44+01:00,2304,8367968,8367968
2026-05-12T11:28:45+01:00,2307,8367968,8367968
2026-05-12T11:28:47+01:00,2293,8367968,8367968
2026-05-12T11:28:48+01:00,2294,8368088,8368088
2026-05-12T11:28:49+01:00,2296,8368088,8368088
2026-05-12T11:28:50+01:00,2298,8368088,8368088
2026-05-12T11:28:51+01:00,2299,8368088,8368088
2026-05-12T11:28:52+01:00,2301,8368088,8368088
2026-05-12T11:28:53+01:00,2303,8368088,8368088
2026-05-12T11:28:54+01:00,2304,8368088,8368088
2026-05-12T11:28:55+01:00,2306,8368088,8368088
2026-05-12T11:28:56+01:00,2307,8368088,8368088
2026-05-12T11:28:57+01:00,2309,8368088,8368088
2026-05-12T11:28:58+01:00,2311,8368088,8368088
2026-05-12T11:28:59+01:00,2312,8368088,8368088
2026-05-12T11:29:00+01:00,2314,8368088,8368088
2026-05-12T11:29:02+01:00,2315,8368092,8368092
2026-05-12T11:29:03+01:00,2302,8368092,8368092
2026-05-12T11:29:04+01:00,2304,8368092,8368092
2026-05-12T11:29:05+01:00,2305,8368092,8368092
2026-05-12T11:29:06+01:00,2307,8368092,8368092
2026-05-12T11:29:07+01:00,2308,8368092,8368092
2026-05-12T11:29:08+01:00,2310,8368092,8368092
2026-05-12T11:29:09+01:00,2312,8368092,8368092
2026-05-12T11:29:10+01:00,2313,8368092,8368092
2026-05-12T11:29:11+01:00,2315,8368092,8368092
2026-05-12T11:29:12+01:00,2316,8371072,8371072
2026-05-12T11:29:13+01:00,2317,8371072,8371072
2026-05-12T11:29:14+01:00,2319,8371072,8371072
2026-05-12T11:29:15+01:00,2320,8371216,8371216
2026-05-12T11:29:17+01:00,2322,8371216,8371216
2026-05-12T11:29:18+01:00,2309,8371216,8371216
2026-05-12T11:29:19+01:00,2311,8371216,8371216
2026-05-12T11:29:20+01:00,2312,8371380,8371380
2026-05-12T11:29:21+01:00,2313,8371380,8371380
2026-05-12T11:29:22+01:00,2314,8371380,8371380
2026-05-12T11:29:23+01:00,2316,8371380,8371380
2026-05-12T11:29:24+01:00,2317,8371380,8371380
2026-05-12T11:29:25+01:00,2318,8371380,8371380
2026-05-12T11:29:26+01:00,2320,8371380,8371380
2026-05-12T11:29:27+01:00,2321,8371380,8371380
2026-05-12T11:29:28+01:00,2322,8371548,8371548
2026-05-12T11:29:29+01:00,2323,8371548,8371548
2026-05-12T11:29:30+01:00,2324,8371548,8371548
2026-05-12T11:29:31+01:00,2325,8371548,8371548
2026-05-12T11:29:32+01:00,2327,8371548,8371548
2026-05-12T11:29:34+01:00,2315,8371548,8371548
2026-05-12T11:29:35+01:00,2317,8373560,8373560
2026-05-12T11:29:36+01:00,2318,8373560,8373560
2026-05-12T11:29:37+01:00,2319,8373560,8373560
2026-05-12T11:29:38+01:00,2320,8373560,8373560
2026-05-12T11:29:39+01:00,2322,8373560,8373560
2026-05-12T11:29:40+01:00,2323,8373560,8373560
2026-05-12T11:29:41+01:00,2324,8373560,8373560
2026-05-12T11:29:42+01:00,2325,8373560,8373560
2026-05-12T11:29:43+01:00,2326,8373560,8373560
2026-05-12T11:29:44+01:00,2328,8373560,8373560
2026-05-12T11:29:45+01:00,2329,8373560,8373560
2026-05-12T11:29:46+01:00,2330,8373560,8373560
2026-05-12T11:29:47+01:00,2331,8373560,8373560
2026-05-12T11:29:49+01:00,2321,8373560,8373560
2026-05-12T11:29:50+01:00,2322,8373560,8373560
2026-05-12T11:29:51+01:00,2323,8373560,8373560
2026-05-12T11:29:52+01:00,2324,8373560,8373560
2026-05-12T11:29:53+01:00,2325,8373560,8373560
2026-05-12T11:29:54+01:00,2326,8373560,8373560
2026-05-12T11:29:55+01:00,2327,8373560,8373560
2026-05-12T11:29:56+01:00,2328,8373560,8373560
2026-05-12T11:29:57+01:00,2329,8373560,8373560
2026-05-12T11:29:58+01:00,2330,8373560,8373560
2026-05-12T11:29:59+01:00,2331,8373560,8373560
2026-05-12T11:30:00+01:00,2332,8373560,8373560
2026-05-12T11:30:01+01:00,2333,8373560,8373560
2026-05-12T11:30:02+01:00,2334,8373560,8373560
2026-05-12T11:30:04+01:00,2335,8373560,8373560
2026-05-12T11:30:05+01:00,2325,8373560,8373560
2026-05-12T11:30:06+01:00,2326,8373560,8373560
2026-05-12T11:30:07+01:00,2328,8373560,8373560
2026-05-12T11:30:08+01:00,2329,8373560,8373560
2026-05-12T11:30:09+01:00,2330,8373736,8373736
2026-05-12T11:30:10+01:00,2331,8373736,8373736
2026-05-12T11:30:11+01:00,2332,8373736,8373736
