timestamp,cpu_percent,rss_kb,vmhwm_kb
2026-05-12T11:34:52+01:00,315,5404544,5404544
2026-05-12T11:34:54+01:00,601,5656576,5659840
2026-05-12T11:34:55+01:00,921,5656576,5659840
2026-05-12T11:34:56+01:00,1150,5656576,5659840
2026-05-12T11:34:57+01:00,1323,5656576,5659840
2026-05-12T11:34:58+01:00,1457,5656576,5659840
2026-05-12T11:34:59+01:00,1565,5656576,5659840
2026-05-12T11:35:00+01:00,1652,5656576,5659840
2026-05-12T11:35:01+01:00,1724,5656576,5659840
2026-05-12T11:35:02+01:00,1658,5723136,5723136
2026-05-12T11:35:04+01:00,1719,5724928,5728192
2026-05-12T11:35:05+01:00,1771,5724928,5728192
2026-05-12T11:35:06+01:00,1817,5724928,5728192
2026-05-12T11:35:07+01:00,1857,5724928,5728192
2026-05-12T11:35:08+01:00,1894,5725120,5728192
2026-05-12T11:35:09+01:00,1925,5724928,5728192
2026-05-12T11:35:10+01:00,1956,5724928,5728192
2026-05-12T11:35:11+01:00,1982,5724928,5728192
2026-05-12T11:35:12+01:00,1920,5728960,5746560
2026-05-12T11:35:14+01:00,1941,5734592,5752192
2026-05-12T11:35:15+01:00,1960,5734592,5752192
2026-05-12T11:35:16+01:00,1978,5734592,5752192
2026-05-12T11:35:17+01:00,1995,5734592,5752192
2026-05-12T11:35:18+01:00,2011,5734592,5752192
2026-05-12T11:35:19+01:00,2025,5734592,5752192
2026-05-12T11:35:20+01:00,2038,5734656,5752256
2026-05-12T11:35:21+01:00,1988,5734656,5752256
2026-05-12T11:35:22+01:00,2001,5734656,5752256
2026-05-12T11:35:24+01:00,2014,5734656,5752256
2026-05-12T11:35:25+01:00,2027,5734656,5752256
2026-05-12T11:35:26+01:00,2042,5734656,5752256
2026-05-12T11:35:27+01:00,2055,5734656,5752256
2026-05-12T11:35:28+01:00,2068,5734656,5752256
2026-05-12T11:35:29+01:00,2081,5734656,5752256
2026-05-12T11:35:30+01:00,2092,5734656,5752256
2026-05-12T11:35:31+01:00,2055,5734656,5752256
2026-05-12T11:35:33+01:00,2066,5734656,5752256
2026-05-12T11:35:34+01:00,2079,5734656,5752256
2026-05-12T11:35:35+01:00,2092,5734656,5752256
2026-05-12T11:35:36+01:00,2102,5734656,5752256
2026-05-12T11:35:37+01:00,2110,5734656,5752256
2026-05-12T11:35:38+01:00,2119,5734656,5752256
2026-05-12T11:35:39+01:00,2127,5734656,5752256
2026-05-12T11:35:40+01:00,2135,5734656,5752256
2026-05-12T11:35:41+01:00,2102,5734656,5752256
2026-05-12T11:35:43+01:00,2110,5734656,5752256
2026-05-12T11:35:44+01:00,2117,5734656,5752256
2026-05-12T11:35:45+01:00,2125,5734656,5752256
