index,suite,engine,model_label,model,threads,ctx_size,parallel_requests,bench_concurrency,max_tokens,cache_type_k,cache_type_v
0,model-set,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,128,turbo2,turbo2
1,model-set,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,128,turbo3,turbo3
2,model-set,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,128,turbo4,turbo4
3,model-set,vanilla,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,128,f16,f16
4,model-set,vanilla,model-2,llamacpp-tq/models/SmolLM2-360M-Instruct.Q4_K_M.gguf,24,2048,1,1,128,f16,f16
5,model-set,tq,model-3,llamacpp-tq/models/gemma-4-E4B-it-OBLITERATED-Q4_K_M.gguf,24,2048,1,1,128,turbo2,turbo2
6,model-set,tq,model-3,llamacpp-tq/models/gemma-4-E4B-it-OBLITERATED-Q4_K_M.gguf,24,2048,1,1,128,turbo3,turbo3
7,model-set,tq,model-3,llamacpp-tq/models/gemma-4-E4B-it-OBLITERATED-Q4_K_M.gguf,24,2048,1,1,128,turbo4,turbo4
8,model-set,vanilla,model-3,llamacpp-tq/models/gemma-4-E4B-it-OBLITERATED-Q4_K_M.gguf,24,2048,1,1,128,f16,f16
9,model-set,tq,model-4,llamacpp-tq/models/gpt-oss-20b-Q4_K_M.gguf,24,2048,1,1,128,turbo2,turbo2
10,model-set,tq,model-4,llamacpp-tq/models/gpt-oss-20b-Q4_K_M.gguf,24,2048,1,1,128,turbo3,turbo3
11,model-set,tq,model-4,llamacpp-tq/models/gpt-oss-20b-Q4_K_M.gguf,24,2048,1,1,128,turbo4,turbo4
12,model-set,vanilla,model-4,llamacpp-tq/models/gpt-oss-20b-Q4_K_M.gguf,24,2048,1,1,128,f16,f16
13,thread-scaling,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,12,2048,1,1,128,turbo2,turbo2
14,thread-scaling,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,12,2048,1,1,128,turbo3,turbo3
15,thread-scaling,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,12,2048,1,1,128,turbo4,turbo4
16,thread-scaling,vanilla,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,12,2048,1,1,128,f16,f16
17,thread-scaling,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,128,turbo2,turbo2
18,thread-scaling,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,128,turbo3,turbo3
19,thread-scaling,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,128,turbo4,turbo4
20,thread-scaling,vanilla,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,128,f16,f16
21,thread-scaling,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,36,2048,1,1,128,turbo2,turbo2
22,thread-scaling,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,36,2048,1,1,128,turbo3,turbo3
23,thread-scaling,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,36,2048,1,1,128,turbo4,turbo4
24,thread-scaling,vanilla,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,36,2048,1,1,128,f16,f16
25,thread-scaling,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,46,2048,1,1,128,turbo2,turbo2
26,thread-scaling,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,46,2048,1,1,128,turbo3,turbo3
27,thread-scaling,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,46,2048,1,1,128,turbo4,turbo4
28,thread-scaling,vanilla,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,46,2048,1,1,128,f16,f16
29,thread-scaling,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,2048,1,1,128,turbo2,turbo2
30,thread-scaling,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,2048,1,1,128,turbo3,turbo3
31,thread-scaling,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,2048,1,1,128,turbo4,turbo4
32,thread-scaling,vanilla,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,2048,1,1,128,f16,f16
33,concurrency,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,128,turbo2,turbo2
34,concurrency,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,128,turbo3,turbo3
35,concurrency,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,128,turbo4,turbo4
36,concurrency,vanilla,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,128,f16,f16
37,concurrency,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,2,2,128,turbo2,turbo2
38,concurrency,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,2,2,128,turbo3,turbo3
39,concurrency,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,2,2,128,turbo4,turbo4
40,concurrency,vanilla,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,2,2,128,f16,f16
41,concurrency,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,4,4,128,turbo2,turbo2
42,concurrency,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,4,4,128,turbo3,turbo3
43,concurrency,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,4,4,128,turbo4,turbo4
44,concurrency,vanilla,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,4,4,128,f16,f16
45,concurrency,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,8,8,128,turbo2,turbo2
46,concurrency,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,8,8,128,turbo3,turbo3
47,concurrency,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,8,8,128,turbo4,turbo4
48,concurrency,vanilla,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,8,8,128,f16,f16
49,concurrency,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,16,16,128,turbo2,turbo2
50,concurrency,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,16,16,128,turbo3,turbo3
51,concurrency,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,16,16,128,turbo4,turbo4
52,concurrency,vanilla,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,16,16,128,f16,f16
53,context-length,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,512,1,1,128,turbo2,turbo2
54,context-length,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,512,1,1,128,turbo3,turbo3
55,context-length,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,512,1,1,128,turbo4,turbo4
56,context-length,vanilla,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,512,1,1,128,f16,f16
57,context-length,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,1024,1,1,128,turbo2,turbo2
58,context-length,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,1024,1,1,128,turbo3,turbo3
59,context-length,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,1024,1,1,128,turbo4,turbo4
60,context-length,vanilla,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,1024,1,1,128,f16,f16
61,context-length,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,128,turbo2,turbo2
62,context-length,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,128,turbo3,turbo3
63,context-length,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,128,turbo4,turbo4
64,context-length,vanilla,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,128,f16,f16
65,context-length,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,4096,1,1,128,turbo2,turbo2
66,context-length,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,4096,1,1,128,turbo3,turbo3
67,context-length,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,4096,1,1,128,turbo4,turbo4
68,context-length,vanilla,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,4096,1,1,128,f16,f16
69,decode-length,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,64,turbo2,turbo2
70,decode-length,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,64,turbo3,turbo3
71,decode-length,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,64,turbo4,turbo4
72,decode-length,vanilla,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,64,f16,f16
73,decode-length,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,128,turbo2,turbo2
74,decode-length,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,128,turbo3,turbo3
75,decode-length,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,128,turbo4,turbo4
76,decode-length,vanilla,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,128,f16,f16
77,decode-length,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,256,turbo2,turbo2
78,decode-length,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,256,turbo3,turbo3
79,decode-length,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,256,turbo4,turbo4
80,decode-length,vanilla,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,256,f16,f16
81,decode-length,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,512,turbo2,turbo2
82,decode-length,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,512,turbo3,turbo3
83,decode-length,tq,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,512,turbo4,turbo4
84,decode-length,vanilla,model-1-mandatory,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,512,f16,f16
