timestamp,role,cpu_user_jiffies,cpu_nice_jiffies,cpu_system_jiffies,cpu_idle_jiffies,cpu_iowait_jiffies,cpu_irq_jiffies,cpu_softirq_jiffies,cpu_steal_jiffies,mem_total_kb,mem_available_kb,mem_used_kb,mem_free_kb,swap_total_kb,swap_free_kb
2026-05-13T15:45:58+01:00,server,80704094,4093,2527123,1551818561,2588,0,71437,0,32911424,29501440,3409984,24535232,16252864,16252864
2026-05-13T15:45:59+01:00,server,80705641,4093,2527137,1551821902,2590,0,71437,0,32911424,29482240,3429184,24504768,16252864,16252864
2026-05-13T15:46:00+01:00,server,80708091,4093,2527146,1551824342,2590,0,71437,0,32911424,29482112,3429312,24504448,16252864,16252864
2026-05-13T15:46:01+01:00,server,80710544,4093,2527155,1551826782,2590,0,71437,0,32911424,29479360,3432064,24501632,16252864,16252864
2026-05-13T15:46:02+01:00,server,80713039,4093,2527176,1551829210,2590,0,71437,0,32911424,29477952,3433472,24500224,16252864,16252864
2026-05-13T15:46:03+01:00,server,80715488,4093,2527189,1551831659,2590,0,71437,0,32911424,29470400,3441024,24492352,16252864,16252864
2026-05-13T15:46:04+01:00,server,80717897,4093,2527199,1551834155,2590,0,71437,0,32911424,29471872,3439552,24493824,16252864,16252864
2026-05-13T15:46:05+01:00,server,80720348,4093,2527210,1551836596,2590,0,71437,0,32911424,29471936,3439488,24493888,16252864,16252864
2026-05-13T15:46:06+01:00,server,80722821,4093,2527223,1551839038,2590,0,71437,0,32911424,29473920,3437504,24495872,16252864,16252864
2026-05-13T15:46:07+01:00,server,80725272,4093,2527232,1551841491,2590,0,71437,0,32911424,29473728,3437696,24495680,16252864,16252864
2026-05-13T15:46:09+01:00,server,80727748,4093,2527245,1551843946,2590,0,71437,0,32911424,29472320,3439104,24494272,16252864,16252864
2026-05-13T15:46:10+01:00,server,80730174,4093,2527258,1551846401,2590,0,71437,0,32911424,29473856,3437568,24495808,16252864,16252864
2026-05-13T15:46:11+01:00,server,80732646,4093,2527269,1551848861,2590,0,71437,0,32911424,29474560,3436864,24496448,16252864,16252864
2026-05-13T15:46:12+01:00,server,80735094,4093,2527275,1551851323,2590,0,71437,0,32911424,29475456,3435968,24497344,16252864,16252864
2026-05-13T15:46:13+01:00,server,80737567,4093,2527288,1551853778,2590,0,71437,0,32911424,29475328,3436096,24497216,16252864,16252864
2026-05-13T15:46:14+01:00,server,80740015,4093,2527301,1551856233,2590,0,71437,0,32911424,29475968,3435456,24497856,16252864,16252864
2026-05-13T15:46:15+01:00,server,80742488,4093,2527314,1551858689,2590,0,71438,0,32911424,29476864,3434560,24498752,16252864,16252864
2026-05-13T15:46:16+01:00,server,80744935,4093,2527326,1551861143,2590,0,71439,0,32911424,29477056,3434368,24498944,16252864,16252864
2026-05-13T15:46:17+01:00,server,80747403,4093,2527341,1551863598,2590,0,71439,0,32911424,29474560,3436864,24496448,16252864,16252864
2026-05-13T15:46:18+01:00,server,80749874,4093,2527358,1551866031,2590,0,71439,0,32911424,29474304,3437120,24496064,16252864,16252864
2026-05-13T15:46:19+01:00,server,80752322,4093,2527378,1551868487,2590,0,71439,0,32911424,29467200,3444224,24488896,16252864,16252864
2026-05-13T15:46:20+01:00,server,80754772,4093,2527389,1551870942,2590,0,71439,0,32911424,29462144,3449280,24483776,16252864,16252864
2026-05-13T15:46:21+01:00,server,80757223,4093,2527405,1551873400,2590,0,71439,0,32911424,29453888,3457536,24475520,16252864,16252864
2026-05-13T15:46:22+01:00,server,80759675,4093,2527414,1551875856,2590,0,71439,0,32911424,29446272,3465152,24467840,16252864,16252864
2026-05-13T15:46:23+01:00,server,80762121,4093,2527432,1551878316,2590,0,71439,0,32911424,29441664,3469760,24463232,16252864,16252864
2026-05-13T15:46:24+01:00,server,80764477,4093,2527447,1551880883,2590,0,71439,0,32911424,29416384,3495040,24437824,16252864,16252864
2026-05-13T15:46:25+01:00,server,80766914,4093,2527455,1551883340,2590,0,71439,0,32911424,29411200,3500224,24432640,16252864,16252864
2026-05-13T15:46:26+01:00,server,80769387,4093,2527467,1551885795,2590,0,71441,0,32911424,29411200,3500224,24432640,16252864,16252864
2026-05-13T15:46:27+01:00,server,80771777,4093,2527477,1551888255,2590,0,71441,0,32911424,29410048,3501376,24431488,16252864,16252864
2026-05-13T15:46:28+01:00,server,80774250,4093,2527489,1551890712,2590,0,71441,0,32911424,29411904,3499520,24433344,16252864,16252864
2026-05-13T15:46:29+01:00,server,80776651,4093,2527505,1551893170,2590,0,71441,0,32911424,29408640,3502784,24430080,16252864,16252864
2026-05-13T15:46:30+01:00,server,80779124,4093,2527517,1551895627,2590,0,71441,0,32911424,29414784,3496640,24436224,16252864,16252864
2026-05-13T15:46:31+01:00,server,80781574,4093,2527531,1551898083,2590,0,71441,0,32911424,29414336,3497088,24435776,16252864,16252864
2026-05-13T15:46:32+01:00,server,80784044,4093,2527547,1551900540,2590,0,71441,0,32911424,29416000,3495424,24437440,16252864,16252864
2026-05-13T15:46:33+01:00,server,80786516,4093,2527575,1551902972,2590,0,71441,0,32911424,29415360,3496064,24436736,16252864,16252864
2026-05-13T15:46:34+01:00,server,80788990,4093,2527585,1551905429,2590,0,71442,0,32911424,29413056,3498368,24434432,16252864,16252864
2026-05-13T15:46:35+01:00,server,80791464,4093,2527599,1551907886,2590,0,71442,0,32911424,29411904,3499520,24433280,16252864,16252864
2026-05-13T15:46:36+01:00,server,80793913,4093,2527604,1551910349,2590,0,71442,0,32911424,29416576,3494848,24437888,16252864,16252864
2026-05-13T15:46:37+01:00,server,80796338,4093,2527616,1551912812,2590,0,71442,0,32911424,29415040,3496384,24436352,16252864,16252864
2026-05-13T15:46:38+01:00,server,80798781,4093,2527636,1551915270,2590,0,71442,0,32911424,29416512,3494912,24437824,16252864,16252864
2026-05-13T15:46:39+01:00,server,80801258,4093,2527646,1551917728,2590,0,71442,0,32911424,29417280,3494144,24438592,16252864,16252864
2026-05-13T15:46:40+01:00,server,80803684,4093,2527660,1551920185,2590,0,71442,0,32911424,29416448,3494976,24437760,16252864,16252864
2026-05-13T15:46:41+01:00,server,80806138,4093,2527670,1551922642,2590,0,71443,0,32911424,29418560,3492864,24439872,16252864,16252864
2026-05-13T15:46:42+01:00,server,80808611,4093,2527686,1551925099,2590,0,71443,0,32911424,29408320,3503104,24429632,16252864,16252864
2026-05-13T15:46:43+01:00,server,80810948,4093,2527696,1551927651,2590,0,71443,0,32911424,29384832,3526592,24406080,16252864,16252864
2026-05-13T15:46:44+01:00,server,80813398,4093,2527707,1551930106,2590,0,71443,0,32911424,29384320,3527104,24405568,16252864,16252864
2026-05-13T15:46:45+01:00,server,80815836,4093,2527714,1551932558,2590,0,71443,0,32911424,29386304,3525120,24407552,16252864,16252864
2026-05-13T15:46:46+01:00,server,80818298,4093,2527727,1551935018,2590,0,71443,0,32911424,29379136,3532288,24400384,16252864,16252864
2026-05-13T15:46:47+01:00,server,80820756,4093,2527742,1551937452,2590,0,71445,0,32911424,29374272,3537152,24395328,16252864,16252864
2026-05-13T15:46:48+01:00,server,80823206,4093,2527758,1551939912,2590,0,71446,0,32911424,29373504,3537920,24394496,16252864,16252864
2026-05-13T15:46:50+01:00,server,80825650,4093,2527764,1551942382,2590,0,71446,0,32911424,29368448,3542976,24389376,16252864,16252864
2026-05-13T15:46:51+01:00,server,80828196,4093,2527777,1551944922,2590,0,71446,0,32911424,29358784,3552640,24379712,16252864,16252864
2026-05-13T15:46:52+01:00,server,80830627,4093,2527789,1551947379,2590,0,71446,0,32911424,29362496,3548928,24382144,16252864,16252864
