timestamp,role,cpu_user_jiffies,cpu_nice_jiffies,cpu_system_jiffies,cpu_idle_jiffies,cpu_iowait_jiffies,cpu_irq_jiffies,cpu_softirq_jiffies,cpu_steal_jiffies,mem_total_kb,mem_available_kb,mem_used_kb,mem_free_kb,swap_total_kb,swap_free_kb
2026-05-13T15:56:28+01:00,server,426966088,4315,26686446,1184667160,16375,0,86757,0,32911424,29737664,3173760,24772928,16252864,16244672
2026-05-13T15:56:29+01:00,server,426967636,4315,26686460,1184670523,16377,0,86757,0,32911424,29717440,3193984,24740736,16252864,16244672
2026-05-13T15:56:31+01:00,server,426970098,4315,26686472,1184672975,16377,0,86757,0,32911424,29716224,3195200,24739520,16252864,16244672
2026-05-13T15:56:32+01:00,server,426972549,4315,26686482,1184675429,16377,0,86757,0,32911424,29717888,3193536,24741120,16252864,16244672
2026-05-13T15:56:33+01:00,server,426975024,4315,26686490,1184677882,16377,0,86757,0,32911424,29718528,3192896,24741760,16252864,16244672
2026-05-13T15:56:34+01:00,server,426977460,4315,26686502,1184680344,16377,0,86760,0,32911424,29716224,3195200,24739520,16252864,16244672
2026-05-13T15:56:35+01:00,server,426979854,4315,26686514,1184682853,16377,0,86760,0,32911424,29708416,3203008,24731904,16252864,16244672
2026-05-13T15:56:36+01:00,server,426982330,4315,26686522,1184685310,16377,0,86762,0,32911424,29703232,3208192,24726720,16252864,16244672
2026-05-13T15:56:37+01:00,server,426984818,4315,26686533,1184687743,16377,0,86763,0,32911424,29692672,3218752,24715904,16252864,16244672
2026-05-13T15:56:38+01:00,server,426987293,4315,26686543,1184690210,16377,0,86764,0,32911424,29686272,3225152,24709440,16252864,16244672
2026-05-13T15:56:39+01:00,server,426989765,4315,26686558,1184692672,16377,0,86765,0,32911424,29686848,3224576,24710016,16252864,16244672
2026-05-13T15:56:40+01:00,server,426992211,4315,26686575,1184695141,16377,0,86765,0,32911424,29684992,3226432,24708160,16252864,16244672
2026-05-13T15:56:41+01:00,server,426994633,4315,26686582,1184697615,16377,0,86765,0,32911424,29680000,3231424,24703168,16252864,16244672
2026-05-13T15:56:42+01:00,server,426997087,4315,26686594,1184700073,16377,0,86765,0,32911424,29680064,3231360,24700224,16252864,16244672
2026-05-13T15:56:43+01:00,server,426999558,4315,26686612,1184702538,16377,0,86765,0,32911424,29680960,3230464,24701120,16252864,16244672
2026-05-13T15:56:44+01:00,server,427002035,4315,26686621,1184704998,16377,0,86765,0,32911424,29679552,3231872,24699712,16252864,16244672
2026-05-13T15:56:45+01:00,server,427004510,4315,26686633,1184707462,16377,0,86766,0,32911424,29676480,3234944,24696640,16252864,16244672
2026-05-13T15:56:46+01:00,server,427006962,4315,26686647,1184709926,16377,0,86766,0,32911424,29675200,3236224,24695360,16252864,16244672
