timestamp,cpu_percent,rss_kb,vmhwm_kb
2026-05-13T15:51:48+01:00,318,5130368,5130368
2026-05-13T15:51:50+01:00,630,5137344,5137344
2026-05-13T15:51:51+01:00,973,5137344,5137344
2026-05-13T15:51:52+01:00,1214,5137344,5137344
2026-05-13T15:51:53+01:00,1397,5137600,5137600
2026-05-13T15:51:54+01:00,1534,5137600,5137600
2026-05-13T15:51:55+01:00,1649,5137600,5137600
2026-05-13T15:51:56+01:00,1744,5137600,5137600
2026-05-13T15:51:57+01:00,1680,5137600,5137600
2026-05-13T15:51:59+01:00,1751,5137600,5137600
2026-05-13T15:52:00+01:00,1812,5137600,5137600
2026-05-13T15:52:01+01:00,1867,5137600,5137600
2026-05-13T15:52:02+01:00,1915,5137600,5137600
2026-05-13T15:52:03+01:00,1957,5137600,5137600
2026-05-13T15:52:04+01:00,1995,5137600,5137600
2026-05-13T15:52:05+01:00,2029,5137600,5137600
2026-05-13T15:52:06+01:00,1967,5137600,5137600
2026-05-13T15:52:08+01:00,1998,5137600,5137600
2026-05-13T15:52:09+01:00,2026,5137600,5137600
2026-05-13T15:52:10+01:00,2052,5137600,5137600
2026-05-13T15:52:11+01:00,2075,5137600,5137600
2026-05-13T15:52:12+01:00,2098,5137600,5137600
2026-05-13T15:52:13+01:00,2118,5137600,5137600
2026-05-13T15:52:14+01:00,2134,5162496,5162496
2026-05-13T15:52:15+01:00,2152,5162496,5162496
2026-05-13T15:52:16+01:00,2100,5162496,5162496
2026-05-13T15:52:18+01:00,2117,5162496,5162496
2026-05-13T15:52:19+01:00,2134,5162496,5162496
2026-05-13T15:52:20+01:00,2151,5162496,5162496
2026-05-13T15:52:21+01:00,2167,5162496,5162496
2026-05-13T15:52:22+01:00,2181,5162496,5162496
2026-05-13T15:52:23+01:00,2196,5162496,5162496
2026-05-13T15:52:24+01:00,2153,5162496,5162496
2026-05-13T15:52:26+01:00,2166,5162496,5162496
2026-05-13T15:52:27+01:00,2178,5162496,5162496
2026-05-13T15:52:28+01:00,2189,5162496,5162496
2026-05-13T15:52:29+01:00,2201,5162496,5162496
2026-05-13T15:52:30+01:00,2211,5162496,5162496
2026-05-13T15:52:31+01:00,2221,5162496,5162496
2026-05-13T15:52:32+01:00,2231,5162496,5162496
2026-05-13T15:52:33+01:00,2238,5183616,5183616
2026-05-13T15:52:34+01:00,2202,5183616,5183616
2026-05-13T15:52:36+01:00,2211,5183616,5183616
2026-05-13T15:52:37+01:00,2219,5183616,5183616
2026-05-13T15:52:38+01:00,2228,5183616,5183616
2026-05-13T15:52:39+01:00,2237,5183616,5183616
2026-05-13T15:52:40+01:00,2245,5183616,5183616
2026-05-13T15:52:41+01:00,2253,5183616,5183616
2026-05-13T15:52:42+01:00,2260,5183616,5183616
2026-05-13T15:52:43+01:00,2229,5183616,5183616
2026-05-13T15:52:45+01:00,2236,5183616,5183616
2026-05-13T15:52:46+01:00,2243,5183616,5183616
2026-05-13T15:52:47+01:00,2250,5183616,5183616
2026-05-13T15:52:48+01:00,2257,5183616,5183616
2026-05-13T15:52:49+01:00,2263,5183616,5183616
2026-05-13T15:52:50+01:00,2270,5183616,5183616
2026-05-13T15:52:51+01:00,2276,5183616,5183616
