timestamp,role,cpu_user_jiffies,cpu_nice_jiffies,cpu_system_jiffies,cpu_idle_jiffies,cpu_iowait_jiffies,cpu_irq_jiffies,cpu_softirq_jiffies,cpu_steal_jiffies,mem_total_kb,mem_available_kb,mem_used_kb,mem_free_kb,swap_total_kb,swap_free_kb
2026-05-13T15:57:29+01:00,server,310609766,7841,1339543,1327022590,6746,0,69156,0,32911424,29484288,3427136,24524800,16252864,16236480
2026-05-13T15:57:30+01:00,server,310611359,7841,1339583,1327025853,6748,0,69156,0,32911424,29450048,3461376,24478592,16252864,16236480
2026-05-13T15:57:31+01:00,server,310613935,7841,1339595,1327028195,6748,0,69156,0,32911424,29443456,3467968,24470912,16252864,16236480
2026-05-13T15:57:32+01:00,server,310616406,7841,1339613,1327030611,6748,0,69157,0,32911424,29445248,3466176,24470720,16252864,16236480
2026-05-13T15:57:33+01:00,server,310618854,7841,1339627,1327033053,6748,0,69157,0,32911424,29447424,3464000,24472896,16252864,16236480
2026-05-13T15:57:34+01:00,server,310621278,7841,1339642,1327035510,6748,0,69158,0,32911424,29446912,3464512,24472320,16252864,16236480
2026-05-13T15:57:35+01:00,server,310623684,7841,1339652,1327038005,6748,0,69158,0,32911424,29448448,3462976,24473856,16252864,16236480
2026-05-13T15:57:36+01:00,server,310626168,7841,1339670,1327040436,6748,0,69158,0,32911424,29449856,3461568,24475200,16252864,16236480
2026-05-13T15:57:37+01:00,server,310628610,7841,1339688,1327042871,6748,0,69158,0,32911424,29443712,3467712,24468928,16252864,16236480
2026-05-13T15:57:38+01:00,server,310631038,7841,1339703,1327045322,6748,0,69159,0,32911424,29442432,3468992,24467648,16252864,16236480
2026-05-13T15:57:39+01:00,server,310633484,7841,1339719,1327047780,6748,0,69161,0,32911424,29445504,3465920,24470592,16252864,16236480
2026-05-13T15:57:40+01:00,server,310635935,7841,1339734,1327050241,6748,0,69161,0,32911424,29428544,3482880,24453632,16252864,16236480
2026-05-13T15:57:41+01:00,server,310638406,7841,1339744,1327052707,6748,0,69161,0,32911424,29430144,3481280,24455104,16252864,16236480
2026-05-13T15:57:42+01:00,server,310640854,7841,1339753,1327055168,6748,0,69161,0,32911424,29424960,3486464,24449856,16252864,16236480
2026-05-13T15:57:44+01:00,server,310643300,7841,1339768,1327057624,6748,0,69163,0,32911424,29424000,3487424,24448896,16252864,16236480
2026-05-13T15:57:45+01:00,server,310645776,7841,1339780,1327060081,6748,0,69164,0,32911424,29419392,3492032,24444288,16252864,16236480
2026-05-13T15:57:46+01:00,server,310648229,7841,1339791,1327062537,6748,0,69165,0,32911424,29416064,3495360,24440960,16252864,16236480
2026-05-13T15:57:47+01:00,server,310650707,7841,1339803,1327064994,6748,0,69165,0,32911424,29416000,3495424,24440768,16252864,16236480
2026-05-13T15:57:48+01:00,server,310653184,7841,1339815,1327067455,6748,0,69165,0,32911424,29412288,3499136,24436992,16252864,16236480
2026-05-13T15:57:49+01:00,server,310655635,7841,1339825,1327069914,6748,0,69165,0,32911424,29411904,3499520,24436608,16252864,16236480
2026-05-13T15:57:50+01:00,server,310657998,7841,1339859,1327072372,6748,0,69165,0,32911424,29413696,3497728,24438272,16252864,16236480
2026-05-13T15:57:51+01:00,server,310660474,7841,1339876,1327074822,6748,0,69165,0,32911424,29411328,3500096,24435904,16252864,16236480
2026-05-13T15:57:52+01:00,server,310662938,7841,1339899,1327077255,6748,0,69165,0,32911424,29413248,3498176,24437696,16252864,16236480
2026-05-13T15:57:53+01:00,server,310665413,7841,1339910,1327079711,6748,0,69165,0,32911424,29414272,3497152,24438720,16252864,16236480
2026-05-13T15:57:54+01:00,server,310667865,7841,1339923,1327082171,6748,0,69165,0,32911424,29408768,3502656,24433216,16252864,16236480
2026-05-13T15:57:55+01:00,server,310670285,7841,1339934,1327084634,6748,0,69165,0,32911424,29407616,3503808,24432000,16252864,16236480
2026-05-13T15:57:56+01:00,server,310672737,7841,1339953,1327087089,6748,0,69165,0,32911424,29405120,3506304,24429504,16252864,16236480
2026-05-13T15:57:57+01:00,server,310675185,7841,1339970,1327089545,6748,0,69165,0,32911424,29403584,3507840,24427968,16252864,16236480
2026-05-13T15:57:58+01:00,server,310677636,7841,1339986,1327092001,6748,0,69166,0,32911424,29400960,3510464,24425344,16252864,16236480
2026-05-13T15:57:59+01:00,server,310680113,7841,1339996,1327094455,6748,0,69168,0,32911424,29395584,3515840,24419904,16252864,16236480
2026-05-13T15:58:00+01:00,server,310682551,7841,1340003,1327096908,6748,0,69169,0,32911424,29393344,3518080,24417664,16252864,16236480
2026-05-13T15:58:01+01:00,server,310685000,7841,1340020,1327099365,6748,0,69169,0,32911424,29391424,3520000,24415680,16252864,16236480
2026-05-13T15:58:02+01:00,server,310687449,7841,1340042,1327101823,6748,0,69169,0,32911424,29391552,3519872,24415744,16252864,16236480
2026-05-13T15:58:03+01:00,server,310689877,7841,1340055,1327104286,6748,0,69169,0,32911424,29385600,3525824,24409792,16252864,16236480
2026-05-13T15:58:04+01:00,server,310692327,7841,1340071,1327106740,6748,0,69169,0,32911424,29387712,3523712,24411904,16252864,16236480
2026-05-13T15:58:05+01:00,server,310694663,7841,1340085,1327109312,6748,0,69170,0,32911424,29348736,3562688,24372928,16252864,16236480
2026-05-13T15:58:06+01:00,server,310697117,7841,1340088,1327111771,6748,0,69170,0,32911424,29349056,3562368,24373248,16252864,16236480
2026-05-13T15:58:07+01:00,server,310699571,7841,1340097,1327114211,6749,0,69170,0,32911424,29350656,3560768,24374784,16252864,16236480
2026-05-13T15:58:08+01:00,server,310702020,7841,1340109,1327116671,6749,0,69170,0,32911424,29349056,3562368,24373184,16252864,16236480
2026-05-13T15:58:09+01:00,server,310704492,7841,1340123,1327119135,6749,0,69170,0,32911424,29350528,3560896,24374592,16252864,16236480
2026-05-13T15:58:10+01:00,server,310706937,7841,1340145,1327121592,6749,0,69170,0,32911424,29350272,3561152,24374336,16252864,16236480
2026-05-13T15:58:11+01:00,server,310709384,7841,1340159,1327124049,6749,0,69170,0,32911424,29345536,3565888,24369600,16252864,16236480
2026-05-13T15:58:12+01:00,server,310711834,7841,1340173,1327126507,6749,0,69172,0,32911424,29344128,3567296,24368192,16252864,16236480
2026-05-13T15:58:13+01:00,server,310714309,7841,1340184,1327128962,6749,0,69172,0,32911424,29342080,3569344,24366080,16252864,16236480
2026-05-13T15:58:14+01:00,server,310716689,7841,1340199,1327131418,6749,0,69174,0,32911424,29342464,3568960,24366464,16252864,16236480
2026-05-13T15:58:15+01:00,server,310719161,7841,1340212,1327133873,6749,0,69176,0,32911424,29343616,3567808,24367616,16252864,16236480
2026-05-13T15:58:16+01:00,server,310721634,7841,1340230,1327136329,6749,0,69177,0,32911424,29341376,3570048,24365312,16252864,16236480
2026-05-13T15:58:17+01:00,server,310724077,7841,1340251,1327138788,6749,0,69177,0,32911424,29346752,3564672,24370304,16252864,16236480
2026-05-13T15:58:18+01:00,server,310726554,7841,1340260,1327141249,6749,0,69177,0,32911424,29342656,3568768,24366208,16252864,16236480
2026-05-13T15:58:19+01:00,server,310729023,7841,1340268,1327143720,6749,0,69177,0,32911424,29340352,3571072,24363904,16252864,16236480
2026-05-13T15:58:20+01:00,server,310731428,7841,1340283,1327146187,6749,0,69177,0,32911424,29339456,3571968,24362944,16252864,16236480
2026-05-13T15:58:22+01:00,server,310733895,7841,1340305,1327148619,6749,0,69178,0,32911424,29339264,3572160,24362688,16252864,16236480
