timestamp,role,cpu_user_jiffies,cpu_nice_jiffies,cpu_system_jiffies,cpu_idle_jiffies,cpu_iowait_jiffies,cpu_irq_jiffies,cpu_softirq_jiffies,cpu_steal_jiffies,mem_total_kb,mem_available_kb,mem_used_kb,mem_free_kb,swap_total_kb,swap_free_kb
2026-05-13T15:03:22+01:00,server,1297563754,111311,2821826,321384684,150221,0,137316,0,32911424,29610240,3301184,24637312,16252864,16240576
2026-05-13T15:03:23+01:00,server,1297565308,111311,2821842,321388024,150223,0,137317,0,32911424,29576576,3334848,24592320,16252864,16240576
2026-05-13T15:03:24+01:00,server,1297567780,111311,2821853,321390466,150223,0,137318,0,32911424,29579264,3332160,24594752,16252864,16240576
2026-05-13T15:03:25+01:00,server,1297570234,111311,2821863,321392909,150223,0,137318,0,32911424,29579584,3331840,24594880,16252864,16240576
2026-05-13T15:03:26+01:00,server,1297572696,111311,2821878,321395333,150223,0,137318,0,32911424,29574208,3337216,24589312,16252864,16240576
2026-05-13T15:03:27+01:00,server,1297575147,111311,2821894,321397791,150223,0,137318,0,32911424,29568128,3343296,24583168,16252864,16240576
2026-05-13T15:03:28+01:00,server,1297577505,111311,2821904,321400293,150223,0,137318,0,32911424,29564224,3347200,24579264,16252864,16240576
2026-05-13T15:03:29+01:00,server,1297579980,111311,2821920,321402747,150223,0,137318,0,32911424,29560192,3351232,24575232,16252864,16240576
2026-05-13T15:03:30+01:00,server,1297582421,111311,2821934,321405197,150223,0,137318,0,32911424,29559616,3351808,24574592,16252864,16240576
2026-05-13T15:03:31+01:00,server,1297584833,111311,2821946,321407656,150223,0,137318,0,32911424,29554560,3356864,24569472,16252864,16240576
2026-05-13T15:03:32+01:00,server,1297587267,111311,2821957,321410110,150223,0,137318,0,32911424,29550080,3361344,24564992,16252864,16240576
2026-05-13T15:03:33+01:00,server,1297589743,111311,2821970,321412567,150223,0,137318,0,32911424,29538752,3372672,24553536,16252864,16240576
2026-05-13T15:03:34+01:00,server,1297592214,111311,2821983,321415030,150223,0,137318,0,32911424,29532544,3378880,24547328,16252864,16240576
2026-05-13T15:03:35+01:00,server,1297594660,111311,2821998,321417490,150223,0,137319,0,32911424,29534272,3377152,24549056,16252864,16240576
2026-05-13T15:03:36+01:00,server,1297597134,111311,2822013,321419948,150223,0,137319,0,32911424,29530368,3381056,24545088,16252864,16240576
2026-05-13T15:03:37+01:00,server,1297599588,111311,2822028,321422403,150223,0,137319,0,32911424,29526912,3384512,24541632,16252864,16240576
2026-05-13T15:03:38+01:00,server,1297602038,111311,2822043,321424857,150223,0,137319,0,32911424,29518720,3392704,24533376,16252864,16240576
2026-05-13T15:03:39+01:00,server,1297604487,111311,2822062,321427312,150223,0,137319,0,32911424,29515520,3395904,24530176,16252864,16240576
2026-05-13T15:03:40+01:00,server,1297606957,111311,2822079,321429768,150223,0,137319,0,32911424,29518464,3392960,24533120,16252864,16240576
2026-05-13T15:03:41+01:00,server,1297609417,111311,2822097,321432202,150223,0,137319,0,32911424,29516992,3394432,24531584,16252864,16240576
