timestamp,cpu_percent,rss_kb,vmhwm_kb
2026-05-13T15:03:22+01:00,250,4912576,4912576
2026-05-13T15:03:23+01:00,525,4924608,4924608
2026-05-13T15:03:24+01:00,830,4924608,4924608
2026-05-13T15:03:25+01:00,1058,4924608,4924608
2026-05-13T15:03:26+01:00,1238,4924608,4924608
2026-05-13T15:03:27+01:00,1374,4924608,4924608
2026-05-13T15:03:28+01:00,1366,4924608,4924608
2026-05-13T15:03:30+01:00,1467,4924608,4924608
2026-05-13T15:03:31+01:00,1553,4924608,4924608
2026-05-13T15:03:32+01:00,1627,4924608,4924608
2026-05-13T15:03:33+01:00,1693,4924608,4924608
2026-05-13T15:03:34+01:00,1751,4924608,4924608
2026-05-13T15:03:35+01:00,1802,4924608,4924608
2026-05-13T15:03:36+01:00,1846,4924608,4924608
2026-05-13T15:03:37+01:00,1798,4924608,4924608
2026-05-13T15:03:39+01:00,1839,4924608,4924608
2026-05-13T15:03:40+01:00,1875,4924608,4924608
2026-05-13T15:03:41+01:00,1908,4924608,4924608
2026-05-13T15:03:42+01:00,1940,4924608,4924608
2026-05-13T15:03:43+01:00,1968,4924608,4924608
2026-05-13T15:03:44+01:00,1994,4924608,4924608
2026-05-13T15:03:45+01:00,2020,4924608,4924608
2026-05-13T15:03:46+01:00,1974,4924608,4924608
2026-05-13T15:03:48+01:00,1997,4924608,4924608
2026-05-13T15:03:49+01:00,2016,4927552,4927552
2026-05-13T15:03:50+01:00,2035,4927552,4927552
2026-05-13T15:03:51+01:00,2054,4927552,4927552
2026-05-13T15:03:52+01:00,2071,4927552,4927552
2026-05-13T15:03:53+01:00,2088,4927552,4927552
2026-05-13T15:03:54+01:00,2105,4927552,4927552
2026-05-13T15:03:55+01:00,2119,4927552,4927552
2026-05-13T15:03:56+01:00,2080,4927552,4927552
2026-05-13T15:03:58+01:00,2094,4927552,4927552
2026-05-13T15:03:59+01:00,2108,4927552,4927552
2026-05-13T15:04:00+01:00,2121,4927552,4927552
2026-05-13T15:04:01+01:00,2135,4927552,4927552
2026-05-13T15:04:02+01:00,2147,4927552,4927552
2026-05-13T15:04:03+01:00,2158,4927552,4927552
2026-05-13T15:04:04+01:00,2170,4927552,4927552
2026-05-13T15:04:05+01:00,2135,4927552,4927552
2026-05-13T15:04:07+01:00,2146,4927552,4927552
2026-05-13T15:04:08+01:00,2156,4927552,4927552
2026-05-13T15:04:09+01:00,2165,4931776,4931776
2026-05-13T15:04:10+01:00,2174,4931776,4931776
2026-05-13T15:04:11+01:00,2183,4931776,4931776
2026-05-13T15:04:12+01:00,2192,4931776,4931776
2026-05-13T15:04:13+01:00,2201,4931776,4931776
2026-05-13T15:04:14+01:00,2209,4931776,4931776
2026-05-13T15:04:15+01:00,2180,4931776,4931776
2026-05-13T15:04:17+01:00,2188,4931776,4931776
2026-05-13T15:04:18+01:00,2196,4931776,4931776
2026-05-13T15:04:19+01:00,2204,4931776,4931776
2026-05-13T15:04:20+01:00,2211,4931776,4931776
2026-05-13T15:04:21+01:00,2219,4931776,4931776
2026-05-13T15:04:22+01:00,2225,4931776,4931776
2026-05-13T15:04:23+01:00,2232,4931776,4931776
2026-05-13T15:04:24+01:00,2206,4931776,4931776
2026-05-13T15:04:26+01:00,2213,4931776,4931776
2026-05-13T15:04:27+01:00,2219,4931776,4931776
2026-05-13T15:04:28+01:00,2226,4931776,4931776
2026-05-13T15:04:29+01:00,2231,4936000,4936000
2026-05-13T15:04:30+01:00,2237,4936000,4936000
2026-05-13T15:04:31+01:00,2243,4936000,4936000
2026-05-13T15:04:32+01:00,2248,4936000,4936000
2026-05-13T15:04:33+01:00,2225,4936000,4936000
2026-05-13T15:04:35+01:00,2231,4936000,4936000
2026-05-13T15:04:36+01:00,2236,4936000,4936000
2026-05-13T15:04:37+01:00,2242,4936000,4936000
2026-05-13T15:04:38+01:00,2247,4936000,4936000
2026-05-13T15:04:39+01:00,2252,4936000,4936000
2026-05-13T15:04:40+01:00,2257,4936000,4936000
2026-05-13T15:04:41+01:00,2262,4936000,4936000
2026-05-13T15:04:42+01:00,2267,4936000,4936000
2026-05-13T15:04:43+01:00,2246,4936000,4936000
2026-05-13T15:04:45+01:00,2251,4936000,4936000
2026-05-13T15:04:46+01:00,2255,4936000,4936000
2026-05-13T15:04:47+01:00,2260,4936000,4936000
2026-05-13T15:04:48+01:00,2265,4936000,4936000
2026-05-13T15:04:49+01:00,2268,4940224,4940224
2026-05-13T15:04:50+01:00,2272,4940224,4940224
2026-05-13T15:04:51+01:00,2277,4940224,4940224
2026-05-13T15:04:52+01:00,2257,4940224,4940224
2026-05-13T15:04:54+01:00,2261,4940224,4940224
2026-05-13T15:04:55+01:00,2265,4940224,4940224
2026-05-13T15:04:56+01:00,2270,4940224,4940224
2026-05-13T15:04:57+01:00,2274,4940224,4940224
2026-05-13T15:04:58+01:00,2277,4940224,4940224
2026-05-13T15:04:59+01:00,2281,4940224,4940224
2026-05-13T15:05:00+01:00,2285,4940224,4940224
2026-05-13T15:05:01+01:00,2267,4940224,4940224
2026-05-13T15:05:03+01:00,2271,4940224,4940224
2026-05-13T15:05:04+01:00,2275,4940224,4940224
2026-05-13T15:05:05+01:00,2279,4940224,4940224
2026-05-13T15:05:06+01:00,2282,4940224,4940224
2026-05-13T15:05:07+01:00,2286,4940224,4940224
2026-05-13T15:05:08+01:00,2289,4940224,4940224
2026-05-13T15:05:09+01:00,2292,4958016,4958016
2026-05-13T15:05:10+01:00,2295,4958016,4958016
2026-05-13T15:05:11+01:00,2278,4958016,4958016
2026-05-13T15:05:13+01:00,2281,4958016,4958016
2026-05-13T15:05:14+01:00,2285,4958016,4958016
2026-05-13T15:05:15+01:00,2288,4958016,4958016
2026-05-13T15:05:16+01:00,2291,4958016,4958016
