timestamp,role,cpu_user_jiffies,cpu_nice_jiffies,cpu_system_jiffies,cpu_idle_jiffies,cpu_iowait_jiffies,cpu_irq_jiffies,cpu_softirq_jiffies,cpu_steal_jiffies,mem_total_kb,mem_available_kb,mem_used_kb,mem_free_kb,swap_total_kb,swap_free_kb
2026-05-13T15:03:23+01:00,server,3409107,12,446178,1588269985,42103,0,70093,0,32911424,30099904,2811520,24733056,16252864,16252864
2026-05-13T15:03:24+01:00,server,3410662,12,446208,1588273308,42105,0,70093,0,32911424,30074176,2837248,24694976,16252864,16252864
2026-05-13T15:03:25+01:00,server,3412920,12,446224,1588275947,42105,0,70093,0,32911424,30063424,2848000,24685376,16252864,16252864
2026-05-13T15:03:26+01:00,server,3414753,12,446236,1588278995,42105,0,70093,0,32911424,30060800,2850624,24681472,16252864,16252864
2026-05-13T15:03:27+01:00,server,3416602,12,446253,1588282076,42105,0,70093,0,32911424,30062336,2849088,24682944,16252864,16252864
2026-05-13T15:03:28+01:00,server,3418894,12,446263,1588284695,42105,0,70093,0,32911424,30057152,2854272,24677760,16252864,16252864
2026-05-13T15:03:29+01:00,server,3421344,12,446272,1588287143,42105,0,70094,0,32911424,30056384,2855040,24676992,16252864,16252864
2026-05-13T15:03:30+01:00,server,3423719,12,446282,1588289682,42105,0,70094,0,32911424,30048832,2862592,24669376,16252864,16252864
2026-05-13T15:03:31+01:00,server,3425612,12,446295,1588292679,42105,0,70095,0,32911424,30043072,2868352,24663488,16252864,16252864
2026-05-13T15:03:32+01:00,server,3427533,12,446310,1588295661,42105,0,70095,0,32911424,30038144,2873280,24658496,16252864,16252864
2026-05-13T15:03:33+01:00,server,3429472,12,446332,1588298661,42105,0,70095,0,32911424,30036096,2875328,24656448,16252864,16252864
2026-05-13T15:03:34+01:00,server,3431452,12,446350,1588301598,42105,0,70096,0,32911424,30031872,2879552,24652224,16252864,16252864
2026-05-13T15:03:35+01:00,server,3433411,12,446356,1588304558,42105,0,70096,0,32911424,30031168,2880256,24651520,16252864,16252864
2026-05-13T15:03:36+01:00,server,3435343,12,446372,1588307512,42105,0,70096,0,32911424,30025344,2886080,24645696,16252864,16252864
2026-05-13T15:03:37+01:00,server,3437243,12,446394,1588310516,42105,0,70096,0,32911424,30024000,2887424,24644288,16252864,16252864
