timestamp,role,cpu_user_jiffies,cpu_nice_jiffies,cpu_system_jiffies,cpu_idle_jiffies,cpu_iowait_jiffies,cpu_irq_jiffies,cpu_softirq_jiffies,cpu_steal_jiffies,mem_total_kb,mem_available_kb,mem_used_kb,mem_free_kb,swap_total_kb,swap_free_kb
2026-05-13T15:03:22+01:00,server,419617144,4271,26641432,1176776557,16283,0,85553,0,32911424,29591104,3320320,24627520,16252864,16244672
2026-05-13T15:03:23+01:00,server,419618714,4271,26641447,1176779885,16285,0,85554,0,32911424,29559552,3351872,24583680,16252864,16244672
2026-05-13T15:03:24+01:00,server,419621189,4271,26641455,1176782333,16285,0,85555,0,32911424,29559104,3352320,24583168,16252864,16244672
2026-05-13T15:03:25+01:00,server,419623663,4271,26641468,1176784781,16285,0,85555,0,32911424,29557888,3353536,24581888,16252864,16244672
2026-05-13T15:03:26+01:00,server,419626137,4271,26641480,1176787232,16285,0,85555,0,32911424,29551552,3359872,24575552,16252864,16244672
2026-05-13T15:03:27+01:00,server,419628560,4271,26641494,1176789696,16285,0,85556,0,32911424,29546240,3365184,24570112,16252864,16244672
2026-05-13T15:03:28+01:00,server,419630987,4271,26641506,1176792199,16285,0,85556,0,32911424,29543040,3368384,24566912,16252864,16244672
2026-05-13T15:03:29+01:00,server,419633460,4271,26641519,1176794648,16285,0,85556,0,32911424,29536320,3375104,24560192,16252864,16244672
2026-05-13T15:03:30+01:00,server,419635911,4271,26641530,1176797097,16285,0,85556,0,32911424,29532096,3379328,24555968,16252864,16244672
2026-05-13T15:03:31+01:00,server,419638384,4271,26641544,1176799557,16285,0,85556,0,32911424,29533760,3377664,24557632,16252864,16244672
2026-05-13T15:03:32+01:00,server,419640859,4271,26641557,1176802021,16285,0,85556,0,32911424,29528192,3383232,24552064,16252864,16244672
2026-05-13T15:03:33+01:00,server,419643329,4271,26641570,1176804489,16285,0,85557,0,32911424,29520704,3390720,24544576,16252864,16244672
2026-05-13T15:03:34+01:00,server,419645800,4271,26641578,1176806962,16285,0,85557,0,32911424,29519680,3391744,24543488,16252864,16244672
2026-05-13T15:03:35+01:00,server,419648275,4271,26641593,1176809426,16285,0,85557,0,32911424,29519360,3392064,24543168,16252864,16244672
2026-05-13T15:03:36+01:00,server,419650749,4271,26641611,1176811864,16285,0,85557,0,32911424,29511168,3400256,24534912,16252864,16244672
2026-05-13T15:03:37+01:00,server,419653222,4271,26641622,1176814328,16285,0,85558,0,32911424,29510784,3400640,24534528,16252864,16244672
2026-05-13T15:03:38+01:00,server,419655605,4271,26641637,1176816792,16285,0,85558,0,32911424,29509888,3401536,24533632,16252864,16244672
2026-05-13T15:03:39+01:00,server,419658078,4271,26641653,1176819248,16285,0,85559,0,32911424,29509376,3402048,24533056,16252864,16244672
2026-05-13T15:03:40+01:00,server,419660551,4271,26641672,1176821710,16285,0,85560,0,32911424,29508800,3402624,24532352,16252864,16244672
2026-05-13T15:03:41+01:00,server,419662953,4271,26641690,1176824173,16285,0,85560,0,32911424,29507008,3404416,24530560,16252864,16244672
2026-05-13T15:03:42+01:00,server,419665427,4271,26641704,1176826637,16285,0,85560,0,32911424,29505984,3405440,24529536,16252864,16244672
2026-05-13T15:03:43+01:00,server,419667902,4271,26641715,1176829101,16285,0,85560,0,32911424,29502016,3409408,24525568,16252864,16244672
2026-05-13T15:03:45+01:00,server,419670350,4271,26641729,1176831568,16285,0,85561,0,32911424,29501056,3410368,24524352,16252864,16244672
2026-05-13T15:03:46+01:00,server,419672821,4271,26641733,1176834044,16285,0,85562,0,32911424,29495872,3415552,24519168,16252864,16244672
2026-05-13T15:03:47+01:00,server,419675272,4271,26641745,1176836512,16285,0,85562,0,32911424,29495680,3415744,24518912,16252864,16244672
2026-05-13T15:03:48+01:00,server,419677631,4271,26641761,1176839070,16285,0,85564,0,32911424,29473408,3438016,24496640,16252864,16244672
2026-05-13T15:03:49+01:00,server,419680094,4271,26641771,1176841530,16285,0,85564,0,32911424,29470848,3440576,24494080,16252864,16244672
2026-05-13T15:03:50+01:00,server,419682545,4271,26641781,1176843988,16285,0,85565,0,32911424,29475584,3435840,24498816,16252864,16244672
2026-05-13T15:03:51+01:00,server,419685001,4271,26641796,1176846455,16285,0,85565,0,32911424,29473920,3437504,24497152,16252864,16244672
2026-05-13T15:03:52+01:00,server,419687465,4271,26641825,1176848889,16285,0,85566,0,32911424,29468736,3442688,24491968,16252864,16244672
2026-05-13T15:03:53+01:00,server,419689911,4271,26641840,1176851351,16285,0,85566,0,32911424,29465792,3445632,24489024,16252864,16244672
2026-05-13T15:03:54+01:00,server,419692384,4271,26641851,1176853815,16285,0,85566,0,32911424,29462080,3449344,24485312,16252864,16244672
2026-05-13T15:03:55+01:00,server,419694855,4271,26641868,1176856281,16285,0,85566,0,32911424,29460032,3451392,24483264,16252864,16244672
2026-05-13T15:03:56+01:00,server,419697199,4271,26641878,1176858743,16285,0,85568,0,32911424,29459008,3452416,24482240,16252864,16244672
2026-05-13T15:03:57+01:00,server,419699583,4271,26641887,1176861214,16285,0,85568,0,32911424,29460928,3450496,24484160,16252864,16244672
2026-05-13T15:03:58+01:00,server,419702056,4271,26641896,1176863685,16285,0,85568,0,32911424,29458688,3452736,24481856,16252864,16244672
2026-05-13T15:03:59+01:00,server,419704530,4271,26641909,1176866152,16285,0,85568,0,32911424,29459776,3451648,24482944,16252864,16244672
2026-05-13T15:04:00+01:00,server,419707004,4271,26641927,1176868620,16285,0,85568,0,32911424,29455168,3456256,24478336,16252864,16244672
2026-05-13T15:04:01+01:00,server,419709477,4271,26641941,1176871088,16285,0,85570,0,32911424,29457152,3454272,24480320,16252864,16244672
2026-05-13T15:04:02+01:00,server,419711903,4271,26641953,1176873559,16285,0,85570,0,32911424,29455296,3456128,24478464,16252864,16244672
2026-05-13T15:04:03+01:00,server,419714375,4271,26641969,1176876026,16285,0,85571,0,32911424,29451392,3460032,24474560,16252864,16244672
2026-05-13T15:04:04+01:00,server,419716837,4271,26641986,1176878495,16285,0,85571,0,32911424,29454336,3457088,24477504,16252864,16244672
2026-05-13T15:04:05+01:00,server,419719310,4271,26641999,1176880960,16285,0,85573,0,32911424,29454144,3457280,24477312,16252864,16244672
2026-05-13T15:04:06+01:00,server,419721776,4271,26642027,1176883395,16285,0,85574,0,32911424,29447744,3463680,24470784,16252864,16244672
2026-05-13T15:04:07+01:00,server,419724134,4271,26642040,1176885953,16285,0,85574,0,32911424,29419648,3491776,24442624,16252864,16244672
2026-05-13T15:04:08+01:00,server,419726596,4271,26642048,1176888418,16285,0,85574,0,32911424,29420544,3490880,24443520,16252864,16244672
2026-05-13T15:04:09+01:00,server,419729044,4271,26642053,1176890887,16285,0,85574,0,32911424,29420096,3491328,24443072,16252864,16244672
2026-05-13T15:04:10+01:00,server,419731496,4271,26642082,1176893358,16285,0,85575,0,32911424,29416256,3495168,24439232,16252864,16244672
2026-05-13T15:04:11+01:00,server,419733972,4271,26642092,1176895821,16285,0,85577,0,32911424,29415488,3495936,24438464,16252864,16244672
2026-05-13T15:04:12+01:00,server,419736444,4271,26642107,1176898286,16285,0,85577,0,32911424,29414656,3496768,24437632,16252864,16244672
2026-05-13T15:04:13+01:00,server,419738847,4271,26642124,1176900748,16285,0,85577,0,32911424,29413440,3497984,24436416,16252864,16244672
2026-05-13T15:04:14+01:00,server,419741316,4271,26642140,1176903212,16285,0,85577,0,32911424,29411840,3499584,24434816,16252864,16244672
2026-05-13T15:04:15+01:00,server,419743790,4271,26642156,1176905674,16285,0,85578,0,32911424,29414592,3496832,24437440,16252864,16244672
2026-05-13T15:04:16+01:00,server,419746261,4271,26642173,1176908140,16285,0,85578,0,32911424,29413056,3498368,24435840,16252864,16244672
2026-05-13T15:04:17+01:00,server,419748709,4271,26642189,1176910604,16285,0,85578,0,32911424,29411840,3499584,24434624,16252864,16244672
2026-05-13T15:04:18+01:00,server,419751182,4271,26642200,1176913067,16285,0,85579,0,32911424,29412224,3499200,24435008,16252864,16244672
2026-05-13T15:04:19+01:00,server,419753612,4271,26642210,1176915532,16285,0,85581,0,32911424,29413312,3498112,24436096,16252864,16244672
2026-05-13T15:04:21+01:00,server,419756084,4271,26642215,1176918009,16285,0,85583,0,32911424,29411328,3500096,24434112,16252864,16244672
2026-05-13T15:04:22+01:00,server,419758545,4271,26642227,1176920447,16285,0,85584,0,32911424,29408576,3502848,24431360,16252864,16244672
2026-05-13T15:04:23+01:00,server,419761015,4271,26642241,1176922912,16285,0,85584,0,32911424,29408768,3502656,24431488,16252864,16244672
2026-05-13T15:04:24+01:00,server,419763467,4271,26642257,1176925377,16285,0,85584,0,32911424,29410432,3500992,24433152,16252864,16244672
2026-05-13T15:04:25+01:00,server,419765939,4271,26642269,1176927843,16285,0,85585,0,32911424,29410560,3500864,24433280,16252864,16244672
2026-05-13T15:04:26+01:00,server,419768393,4271,26642281,1176930308,16285,0,85586,0,32911424,29410560,3500864,24433280,16252864,16244672
2026-05-13T15:04:27+01:00,server,419770777,4271,26642294,1176932868,16285,0,85586,0,32911424,29388480,3522944,24411200,16252864,16244672
2026-05-13T15:04:28+01:00,server,419773226,4271,26642303,1176935328,16286,0,85586,0,32911424,29393024,3518400,24415744,16252864,16244672
2026-05-13T15:04:29+01:00,server,419775685,4271,26642313,1176937795,16286,0,85587,0,32911424,29389504,3521920,24412224,16252864,16244672
2026-05-13T15:04:30+01:00,server,419778154,4271,26642331,1176940260,16286,0,85587,0,32911424,29392256,3519168,24414976,16252864,16244672
2026-05-13T15:04:31+01:00,server,419780608,4271,26642345,1176942721,16286,0,85587,0,32911424,29388416,3523008,24411136,16252864,16244672
