timestamp,role,cpu_user_jiffies,cpu_nice_jiffies,cpu_system_jiffies,cpu_idle_jiffies,cpu_iowait_jiffies,cpu_irq_jiffies,cpu_softirq_jiffies,cpu_steal_jiffies,mem_total_kb,mem_available_kb,mem_used_kb,mem_free_kb,swap_total_kb,swap_free_kb
2026-05-13T15:03:27+01:00,server,1557692,9,169061,844075853,1247,0,9998,0,32911424,30090560,2820864,18581184,16252864,16252864
2026-05-13T15:03:28+01:00,server,1559223,9,169099,844079210,1248,0,9998,0,32911424,30060608,2850816,18539648,16252864,16252864
2026-05-13T15:03:29+01:00,server,1561699,9,169111,844081660,1248,0,9998,0,32911424,30052480,2858944,18531456,16252864,16252864
2026-05-13T15:03:30+01:00,server,1564129,9,169122,844084110,1248,0,9999,0,32911424,30049664,2861760,18528576,16252864,16252864
2026-05-13T15:03:31+01:00,server,1566599,9,169136,844086559,1248,0,10001,0,32911424,30046656,2864768,18525504,16252864,16252864
2026-05-13T15:03:32+01:00,server,1569060,9,169154,844088989,1248,0,10002,0,32911424,30043840,2867584,18522688,16252864,16252864
2026-05-13T15:03:33+01:00,server,1571527,9,169163,844091439,1248,0,10002,0,32911424,30034112,2877312,18512896,16252864,16252864
2026-05-13T15:03:34+01:00,server,1573976,9,169178,844093889,1248,0,10002,0,32911424,30031232,2880192,18509952,16252864,16252864
2026-05-13T15:03:35+01:00,server,1576451,9,169190,844096340,1248,0,10002,0,32911424,30025856,2885568,18504576,16252864,16252864
2026-05-13T15:03:36+01:00,server,1578885,9,169201,844098787,1248,0,10002,0,32911424,30023680,2887744,18502400,16252864,16252864
2026-05-13T15:03:37+01:00,server,1581360,9,169209,844101249,1248,0,10002,0,32911424,30024768,2886656,18503488,16252864,16252864
2026-05-13T15:03:38+01:00,server,1583810,9,169223,844103718,1248,0,10002,0,32911424,30017152,2894272,18495872,16252864,16252864
2026-05-13T15:03:39+01:00,server,1586238,9,169230,844106184,1248,0,10002,0,32911424,30019584,2891840,18498304,16252864,16252864
2026-05-13T15:03:40+01:00,server,1588711,9,169234,844108653,1248,0,10002,0,32911424,30011136,2900288,18489856,16252864,16252864
2026-05-13T15:03:41+01:00,server,1591185,9,169246,844111116,1248,0,10002,0,32911424,30007488,2903936,18486144,16252864,16252864
2026-05-13T15:03:42+01:00,server,1593656,9,169262,844113584,1248,0,10002,0,32911424,30007168,2904256,18485760,16252864,16252864
2026-05-13T15:03:43+01:00,server,1596107,9,169272,844116046,1248,0,10003,0,32911424,30006784,2904640,18485376,16252864,16252864
2026-05-13T15:03:44+01:00,server,1598515,9,169280,844118577,1248,0,10004,0,32911424,30003968,2907456,18482560,16252864,16252864
2026-05-13T15:03:45+01:00,server,1600949,9,169292,844121027,1248,0,10004,0,32911424,30002048,2909376,18480576,16252864,16252864
2026-05-13T15:03:47+01:00,server,1603427,9,169302,844123477,1248,0,10005,0,32911424,30000512,2910912,18479040,16252864,16252864
2026-05-13T15:03:48+01:00,server,1605894,9,169325,844125908,1248,0,10005,0,32911424,29999104,2912320,18477632,16252864,16252864
2026-05-13T15:03:49+01:00,server,1608323,9,169335,844128372,1248,0,10005,0,32911424,29995776,2915648,18474304,16252864,16252864
2026-05-13T15:03:50+01:00,server,1610775,9,169350,844130834,1248,0,10005,0,32911424,29993600,2917824,18472128,16252864,16252864
2026-05-13T15:03:51+01:00,server,1613222,9,169364,844133297,1248,0,10005,0,32911424,29994688,2916736,18473216,16252864,16252864
2026-05-13T15:03:52+01:00,server,1615663,9,169386,844135759,1248,0,10005,0,32911424,29993280,2918144,18471808,16252864,16252864
2026-05-13T15:03:53+01:00,server,1618114,9,169394,844138226,1248,0,10005,0,32911424,29995072,2916352,18473600,16252864,16252864
2026-05-13T15:03:54+01:00,server,1620541,9,169405,844140693,1248,0,10005,0,32911424,29994432,2916992,18472960,16252864,16252864
2026-05-13T15:03:55+01:00,server,1622989,9,169424,844143153,1248,0,10005,0,32911424,29989120,2922304,18467648,16252864,16252864
2026-05-13T15:03:56+01:00,server,1625439,9,169438,844145614,1248,0,10005,0,32911424,29987264,2924160,18465792,16252864,16252864
2026-05-13T15:03:57+01:00,server,1627892,9,169451,844148081,1248,0,10005,0,32911424,29986304,2925120,18464832,16252864,16252864
2026-05-13T15:03:58+01:00,server,1630319,9,169464,844150542,1248,0,10005,0,32911424,29985600,2925824,18464064,16252864,16252864
2026-05-13T15:03:59+01:00,server,1632769,9,169477,844153007,1248,0,10005,0,32911424,29987008,2924416,18465472,16252864,16252864
