timestamp,role,cpu_user_jiffies,cpu_nice_jiffies,cpu_system_jiffies,cpu_idle_jiffies,cpu_iowait_jiffies,cpu_irq_jiffies,cpu_softirq_jiffies,cpu_steal_jiffies,mem_total_kb,mem_available_kb,mem_used_kb,mem_free_kb,swap_total_kb,swap_free_kb
2026-05-13T15:07:57+01:00,server,383989182,11254,21603360,3997674021,76433,2102776,557144,0,263931984,254263396,9668588,250762972,93245436,92536572
2026-05-13T15:07:58+01:00,server,383991919,11254,21603403,3997684265,76441,2102803,557153,0,263931984,254233836,9698148,250725968,93245436,92536572
2026-05-13T15:07:59+01:00,server,383995156,11254,21603415,3997694051,76441,2102834,557163,0,263931984,254232688,9699296,250724704,93245436,92536572
2026-05-13T15:08:00+01:00,server,383998385,11254,21603426,3997703815,76441,2102874,557175,0,263931984,254233128,9698856,250725108,93245436,92536572
2026-05-13T15:08:01+01:00,server,384001496,11254,21603467,3997713635,76533,2102912,557188,0,263931984,254233468,9698516,250725416,93245436,92536572
2026-05-13T15:08:02+01:00,server,384004694,11254,21603489,3997723404,76549,2102949,557200,0,263931984,254234068,9697916,250725968,93245436,92536572
2026-05-13T15:08:03+01:00,server,384007934,11254,21603504,3997733231,76556,2102983,557211,0,263931984,254233616,9698368,250725516,93245436,92536572
2026-05-13T15:08:04+01:00,server,384011215,11254,21603522,3997743165,76561,2103019,557224,0,263931984,254233912,9698072,250725780,93245436,92536572
2026-05-13T15:08:05+01:00,server,384014513,11254,21603532,3997753125,76561,2103054,557235,0,263931984,254233608,9698376,250725396,93245436,92536572
2026-05-13T15:08:06+01:00,server,384017775,11254,21603540,3997762981,76561,2103087,557246,0,263931984,254234364,9697620,250726120,93245436,92536572
2026-05-13T15:08:07+01:00,server,384021033,11254,21603550,3997772827,76561,2103121,557256,0,263931984,254234788,9697196,250726528,93245436,92536572
2026-05-13T15:08:08+01:00,server,384024265,11254,21603563,3997782622,76565,2103155,557266,0,263931984,254235180,9696804,250726920,93245436,92536572
2026-05-13T15:08:09+01:00,server,384027481,11254,21603575,3997792394,76581,2103191,557277,0,263931984,254235844,9696140,250727560,93245436,92536572
2026-05-13T15:08:10+01:00,server,384030688,11254,21603591,3997802164,76602,2103227,557288,0,263931984,254234124,9697860,250725720,93245436,92536572
2026-05-13T15:08:11+01:00,server,384033907,11254,21603603,3997811883,76602,2103261,557298,0,263931984,254233984,9698000,250725516,93245436,92536572
2026-05-13T15:08:12+01:00,server,384037081,11254,21603620,3997821622,76609,2103294,557307,0,263931984,254207116,9724868,250698608,93245436,92536572
2026-05-13T15:08:13+01:00,server,384040365,11254,21603639,3997831332,76609,2103325,557318,0,263931984,254203044,9728940,250694448,93245436,92536572
2026-05-13T15:08:14+01:00,server,384043612,11254,21603657,3997841163,76616,2103360,557329,0,263931984,254204620,9727364,250695968,93245436,92536572
2026-05-13T15:08:15+01:00,server,384046871,11254,21603670,3997850984,76616,2103394,557341,0,263931984,254204488,9727496,250695764,93245436,92536572
2026-05-13T15:08:16+01:00,server,384050130,11254,21603681,3997860835,76619,2103429,557353,0,263931984,254203804,9728180,250695056,93245436,92536572
2026-05-13T15:08:17+01:00,server,384053393,11254,21603698,3997870691,76619,2103464,557360,0,263931984,254204204,9727780,250695424,93245436,92536572
2026-05-13T15:08:18+01:00,server,384056653,11254,21603714,3997880538,76621,2103499,557369,0,263931984,254204892,9727092,250696096,93245436,92536572
2026-05-13T15:08:19+01:00,server,384059890,11254,21603724,3997890302,76621,2103533,557381,0,263931984,254205788,9726196,250696956,93245436,92536572
2026-05-13T15:08:20+01:00,server,384063114,11254,21603737,3997900013,76621,2103566,557393,0,263931984,254205692,9726292,250696844,93245436,92536572
