timestamp,role,cpu_user_jiffies,cpu_nice_jiffies,cpu_system_jiffies,cpu_idle_jiffies,cpu_iowait_jiffies,cpu_irq_jiffies,cpu_softirq_jiffies,cpu_steal_jiffies,mem_total_kb,mem_available_kb,mem_used_kb,mem_free_kb,swap_total_kb,swap_free_kb
2026-05-13T15:08:06+01:00,server,915041627,11319,25864785,3455675825,1061096,6282160,1046909,0,263931984,252504532,11427452,248780960,93245436,93212156
2026-05-13T15:08:07+01:00,server,915044335,11319,25864809,3455686084,1061104,6282185,1046916,0,263931984,252478080,11453904,248748916,93245436,93212156
2026-05-13T15:08:08+01:00,server,915047561,11319,25864819,3455695857,1061104,6282217,1046927,0,263931984,252477292,11454692,248748072,93245436,93212156
2026-05-13T15:08:09+01:00,server,915050786,11319,25864830,3455705610,1061104,6282254,1046945,0,263931984,252477404,11454580,248748144,93245436,93212156
2026-05-13T15:08:10+01:00,server,915053853,11319,25864861,3455715340,1061216,6282293,1046963,0,263931984,252477100,11454884,248747672,93245436,93212156
2026-05-13T15:08:11+01:00,server,915057069,11319,25864873,3455725046,1061216,6282326,1046981,0,263931984,252478120,11453864,248748676,93245436,93212156
2026-05-13T15:08:12+01:00,server,915060267,11319,25864892,3455734790,1061232,6282363,1046995,0,263931984,252479164,11452820,248749580,93245436,93212156
2026-05-13T15:08:13+01:00,server,915063522,11319,25864955,3455744408,1061244,6282405,1047015,0,263931984,252477864,11454120,248748048,93245436,93212156
2026-05-13T15:08:14+01:00,server,915066734,11319,25864976,3455754143,1061245,6282443,1047028,0,263931984,252474580,11457404,248744764,93245436,93212156
2026-05-13T15:08:15+01:00,server,915069966,11319,25864987,3455763906,1061245,6282477,1047039,0,263931984,252475164,11456820,248745268,93245436,93212156
2026-05-13T15:08:16+01:00,server,915073189,11319,25865003,3455773728,1061245,6282505,1047052,0,263931984,252458024,11473960,248728112,93245436,93212156
2026-05-13T15:08:17+01:00,server,915076421,11319,25865015,3455783515,1061253,6282540,1047067,0,263931984,252460600,11471384,248730628,93245436,93212156
2026-05-13T15:08:18+01:00,server,915079612,11319,25865036,3455793266,1061276,6282579,1047081,0,263931984,252462220,11469764,248732200,93245436,93212156
2026-05-13T15:08:19+01:00,server,915082843,11319,25865054,3455803086,1061294,6282615,1047094,0,263931984,252462752,11469232,248732644,93245436,93212156
2026-05-13T15:08:20+01:00,server,915086078,11319,25865064,3455812863,1061294,6282649,1047106,0,263931984,252461664,11470320,248731508,93245436,93212156
2026-05-13T15:08:21+01:00,server,915089312,11319,25865069,3455822637,1061294,6282683,1047118,0,263931984,252461964,11470020,248731788,93245436,93212156
2026-05-13T15:08:22+01:00,server,915092531,11319,25865075,3455832426,1061294,6282714,1047129,0,263931984,252447304,11484680,248717116,93245436,93212156
2026-05-13T15:08:23+01:00,server,915095754,11319,25865081,3455842164,1061294,6282744,1047140,0,263931984,252447200,11484784,248716980,93245436,93212156
2026-05-13T15:08:24+01:00,server,915099010,11319,25865091,3455851995,1061294,6282777,1047154,0,263931984,252447832,11484152,248717596,93245436,93212156
2026-05-13T15:08:25+01:00,server,915102250,11319,25865100,3455861784,1061294,6282808,1047164,0,263931984,252448168,11483816,248717916,93245436,93212156
2026-05-13T15:08:26+01:00,server,915105484,11319,25865110,3455871569,1061294,6282842,1047171,0,263931984,252448004,11483980,248717752,93245436,93212156
2026-05-13T15:08:28+01:00,server,915108750,11319,25865130,3455881375,1061294,6282875,1047179,0,263931984,252447724,11484260,248717472,93245436,93212156
2026-05-13T15:08:29+01:00,server,915112021,11319,25865181,3455891016,1061294,6282911,1047188,0,263931984,252446856,11485128,248716544,93245436,93212156
2026-05-13T15:08:30+01:00,server,915115229,11319,25865196,3455900786,1061295,6282940,1047194,0,263931984,252431464,11500520,248701120,93245436,93212156
2026-05-13T15:08:31+01:00,server,915118450,11319,25865216,3455910564,1061305,6282976,1047203,0,263931984,252431972,11500012,248701560,93245436,93212156
2026-05-13T15:08:32+01:00,server,915121701,11319,25865230,3455920418,1061314,6283011,1047215,0,263931984,252433120,11498864,248702676,93245436,93212156
2026-05-13T15:08:33+01:00,server,915124935,11319,25865247,3455930291,1061337,6283047,1047224,0,263931984,252434440,11497544,248703992,93245436,93212156
2026-05-13T15:08:34+01:00,server,915128161,11319,25865263,3455940056,1061341,6283081,1047229,0,263931984,252434108,11497876,248703644,93245436,93212156
2026-05-13T15:08:35+01:00,server,915131408,11319,25865271,3455949870,1061341,6283113,1047235,0,263931984,252434732,11497252,248704268,93245436,93212156
2026-05-13T15:08:36+01:00,server,915134651,11319,25865280,3455959676,1061341,6283146,1047241,0,263931984,252434680,11497304,248704216,93245436,93212156
2026-05-13T15:08:37+01:00,server,915137885,11319,25865286,3455969506,1061341,6283175,1047245,0,263931984,252417920,11514064,248687440,93245436,93212156
2026-05-13T15:08:38+01:00,server,915141151,11319,25865296,3455979377,1061341,6283208,1047251,0,263931984,252418072,11513912,248687576,93245436,93212156
2026-05-13T15:08:39+01:00,server,915144394,11325,25865313,3455989138,1061346,6283239,1047259,0,263931984,252407128,11524856,248669716,93245436,93212156
2026-05-13T15:08:40+01:00,server,915147629,11327,25865326,3455998892,1061347,6283269,1047267,0,263931984,252416848,11515136,248676092,93245436,93212156
2026-05-13T15:08:41+01:00,server,915150878,11327,25865331,3456008727,1061347,6283300,1047271,0,263931984,252416008,11515976,248675244,93245436,93212156
2026-05-13T15:08:42+01:00,server,915154126,11327,25865339,3456018526,1061347,6283329,1047277,0,263931984,252417408,11514576,248676644,93245436,93212156
2026-05-13T15:08:43+01:00,server,915157445,11327,25865406,3456028268,1061347,6283365,1047289,0,263931984,252415236,11516748,248674404,93245436,93212156
2026-05-13T15:08:44+01:00,server,915160669,11327,25865422,3456038057,1061347,6283391,1047294,0,263931984,252390640,11541344,248649756,93245436,93212156
2026-05-13T15:08:45+01:00,server,915163923,11327,25865432,3456047872,1061347,6283420,1047300,0,263931984,252390064,11541920,248649140,93245436,93212156
2026-05-13T15:08:46+01:00,server,915167177,11327,25865444,3456057690,1061347,6283451,1047308,0,263931984,252391076,11540908,248650136,93245436,93212156
2026-05-13T15:08:47+01:00,server,915170421,11327,25865454,3456067484,1061347,6283482,1047314,0,263931984,252391780,11540204,248650840,93245436,93212156
2026-05-13T15:08:48+01:00,server,915173663,11327,25865464,3456077279,1061347,6283514,1047320,0,263931984,252390932,11541052,248649976,93245436,93212156
2026-05-13T15:08:49+01:00,server,915176904,11327,25865474,3456087067,1061347,6283546,1047325,0,263931984,252391884,11540100,248650880,93245436,93212156
