timestamp,role,cpu_user_jiffies,cpu_nice_jiffies,cpu_system_jiffies,cpu_idle_jiffies,cpu_iowait_jiffies,cpu_irq_jiffies,cpu_softirq_jiffies,cpu_steal_jiffies,mem_total_kb,mem_available_kb,mem_used_kb,mem_free_kb,swap_total_kb,swap_free_kb
2026-05-13T15:03:28+01:00,server,900030032,11125,41866108,3454507505,37411,5469644,682924,0,263931988,253857268,10074720,250132184,93245436,93245436
2026-05-13T15:03:29+01:00,server,900032740,11125,41866132,3454517805,37418,5469666,682930,0,263931988,253828520,10103468,250097600,93245436,93245436
2026-05-13T15:03:30+01:00,server,900035991,11125,41866144,3454527634,37418,5469694,682937,0,263931988,253828308,10103680,250097372,93245436,93245436
2026-05-13T15:03:31+01:00,server,900039308,11125,41866241,3454537327,37418,5469730,682950,0,263931988,253824360,10107628,250093292,93245436,93245436
2026-05-13T15:03:32+01:00,server,900042413,11125,41866269,3454547106,37517,5469765,682961,0,263931988,253821716,10110272,250090536,93245436,93245436
2026-05-13T15:03:33+01:00,server,900045621,11125,41866287,3454556872,37538,5469800,682970,0,263931988,253823216,10108772,250092012,93245436,93245436
2026-05-13T15:03:34+01:00,server,900048799,11125,41866303,3454566622,37575,5469834,682978,0,263931988,253825172,10106816,250093952,93245436,93245436
2026-05-13T15:03:35+01:00,server,900051909,11125,41866339,3454576336,37644,5469865,682986,0,263931988,253825836,10106152,250094600,93245436,93245436
2026-05-13T15:03:36+01:00,server,900055093,11125,41866356,3454586034,37662,5469895,682994,0,263931988,253827284,10104704,250096048,93245436,93245436
2026-05-13T15:03:37+01:00,server,900058298,11125,41866370,3454595771,37673,5469926,683000,0,263931988,253827560,10104428,250096312,93245436,93245436
2026-05-13T15:03:38+01:00,server,900061528,11125,41866382,3454605532,37674,5469954,683005,0,263931988,253828020,10103968,250096772,93245436,93245436
2026-05-13T15:03:39+01:00,server,900064749,11125,41866390,3454615248,37674,5469981,683012,0,263931988,253828620,10103368,250097372,93245436,93245436
2026-05-13T15:03:40+01:00,server,900067960,11125,41866399,3454624960,37678,5470009,683019,0,263931988,253829044,10102944,250097796,93245436,93245436
2026-05-13T15:03:41+01:00,server,900071167,11125,41866412,3454634717,37692,5470038,683024,0,263931988,253827676,10104312,250096380,93245436,93245436
2026-05-13T15:03:42+01:00,server,900074391,11125,41866427,3454644504,37711,5470067,683028,0,263931988,253829500,10102488,250098172,93245436,93245436
2026-05-13T15:03:43+01:00,server,900077627,11125,41866443,3454654344,37729,5470095,683031,0,263931988,253829656,10102332,250098328,93245436,93245436
2026-05-13T15:03:44+01:00,server,900080827,11125,41866456,3454664151,37733,5470117,683034,0,263931988,253804036,10127952,250072708,93245436,93245436
2026-05-13T15:03:45+01:00,server,900084095,11125,41866462,3454674010,37733,5470143,683038,0,263931988,253804004,10127984,250072628,93245436,93245436
2026-05-13T15:03:46+01:00,server,900087378,11125,41866525,3454683700,37738,5470173,683044,0,263931988,253802192,10129796,250070716,93245436,93245436
2026-05-13T15:03:48+01:00,server,900090615,11125,41866538,3454693471,37742,5470201,683049,0,263931988,253801072,10130916,250069596,93245436,93245436
2026-05-13T15:03:49+01:00,server,900093886,11125,41866549,3454703357,37747,5470229,683056,0,263931988,253801544,10130444,250070052,93245436,93245436
2026-05-13T15:03:50+01:00,server,900097123,11125,41866560,3454713135,37758,5470256,683062,0,263931988,253802492,10129496,250071000,93245436,93245436
2026-05-13T15:03:51+01:00,server,900100359,11125,41866573,3454722899,37761,5470284,683069,0,263931988,253802740,10129248,250071232,93245436,93245436
2026-05-13T15:03:52+01:00,server,900103588,11125,41866585,3454732650,37767,5470312,683075,0,263931988,253802032,10129956,250070484,93245436,93245436
2026-05-13T15:03:53+01:00,server,900106841,11125,41866596,3454742453,37769,5470339,683079,0,263931988,253800848,10131140,250069284,93245436,93245436
2026-05-13T15:03:54+01:00,server,900110071,11125,41866615,3454752230,37775,5470366,683083,0,263931988,253800316,10131672,250068720,93245436,93245436
2026-05-13T15:03:55+01:00,server,900113319,11125,41866629,3454762028,37778,5470393,683087,0,263931988,253800620,10131368,250068964,93245436,93245436
2026-05-13T15:03:56+01:00,server,900116558,11125,41866643,3454771816,37780,5470419,683092,0,263931988,253800644,10131344,250068988,93245436,93245436
2026-05-13T15:03:57+01:00,server,900119760,11125,41866661,3454781595,37780,5470444,683097,0,263931988,253777000,10154988,250045328,93245436,93245436
2026-05-13T15:03:58+01:00,server,900123023,11125,41866672,3454791420,37780,5470468,683101,0,263931988,253776100,10155888,250044412,93245436,93245436
2026-05-13T15:03:59+01:00,server,900126268,11125,41866680,3454801208,37780,5470492,683104,0,263931988,253775680,10156308,250043960,93245436,93245436
2026-05-13T15:04:00+01:00,server,900129565,11125,41866688,3454811145,37780,5470518,683109,0,263931988,253776396,10155592,250044676,93245436,93245436
2026-05-13T15:04:01+01:00,server,900132830,11125,41866700,3454820981,37780,5470543,683113,0,263931988,253776576,10155412,250044840,93245436,93245436
2026-05-13T15:04:02+01:00,server,900136154,11125,41866791,3454830749,37780,5470573,683121,0,263931988,253775908,10156080,250044120,93245436,93245436
2026-05-13T15:04:03+01:00,server,900139417,11125,41866805,3454840578,37780,5470600,683126,0,263931988,253775876,10156112,250044088,93245436,93245436
2026-05-13T15:04:04+01:00,server,900142689,11125,41866817,3454850434,37780,5470627,683131,0,263931988,253776040,10155948,250044236,93245436,93245436
2026-05-13T15:04:05+01:00,server,900145954,11125,41866828,3454860268,37780,5470654,683136,0,263931988,253775752,10156236,250043948,93245436,93245436
2026-05-13T15:04:06+01:00,server,900149244,11125,41866840,3454870176,37780,5470681,683142,0,263931988,253776512,10155476,250044708,93245436,93245436
2026-05-13T15:04:07+01:00,server,900152507,11125,41866852,3454880009,37780,5470708,683148,0,263931988,253776616,10155372,250044812,93245436,93245436
2026-05-13T15:04:08+01:00,server,900155773,11125,41866866,3454889845,37780,5470734,683153,0,263931988,253777704,10154284,250045892,93245436,93245436
2026-05-13T15:04:09+01:00,server,900159036,11125,41866877,3454899674,37780,5470760,683159,0,263931988,253778224,10153764,250046412,93245436,93245436
2026-05-13T15:04:10+01:00,server,900162301,11125,41866891,3454909612,37781,5470783,683163,0,263931988,253754308,10177680,250022496,93245436,93245436
2026-05-13T15:04:11+01:00,server,900165563,11125,41866901,3454919445,37781,5470808,683168,0,263931988,253754568,10177420,250022752,93245436,93245436
2026-05-13T15:04:12+01:00,server,900168825,11125,41866910,3454929285,37783,5470835,683172,0,263931988,253755232,10176756,250023416,93245436,93245436
2026-05-13T15:04:13+01:00,server,900172086,11125,41866922,3454939115,37783,5470860,683177,0,263931988,253754528,10177460,250022712,93245436,93245436
2026-05-13T15:04:14+01:00,server,900175337,11125,41866937,3454948931,37786,5470887,683182,0,263931988,253754856,10177132,250023040,93245436,93245436
2026-05-13T15:04:15+01:00,server,900178586,11125,41866944,3454958735,37786,5470913,683186,0,263931988,253753008,10178980,250021192,93245436,93245436
2026-05-13T15:04:16+01:00,server,900181907,11125,41867017,3454968485,37790,5470943,683193,0,263931988,253752956,10179032,250021120,93245436,93245436
2026-05-13T15:04:17+01:00,server,900185170,11125,41867031,3454978323,37793,5470970,683198,0,263931988,253751068,10180920,250019216,93245436,93245436
2026-05-13T15:04:18+01:00,server,900188424,11125,41867044,3454988148,37798,5470998,683204,0,263931988,253751300,10180688,250019432,93245436,93245436
2026-05-13T15:04:19+01:00,server,900191696,11125,41867062,3454998042,37806,5471026,683210,0,263931988,253752828,10179160,250020772,93245436,93245436
2026-05-13T15:04:20+01:00,server,900194972,11125,41867083,3455007924,37809,5471055,683216,0,263931988,253754696,10177292,250022640,93245436,93245436
2026-05-13T15:04:21+01:00,server,900198234,11125,41867097,3455017756,37813,5471082,683221,0,263931988,253755860,10176128,250023804,93245436,93245436
2026-05-13T15:04:22+01:00,server,900201473,11125,41867110,3455027626,37815,5471108,683226,0,263931988,253732536,10199452,250000448,93245436,93245436
2026-05-13T15:04:23+01:00,server,900204749,11125,41867122,3455037494,37815,5471133,683231,0,263931988,253732312,10199676,250000220,93245436,93245436
2026-05-13T15:04:24+01:00,server,900208031,11125,41867136,3455047395,37818,5471159,683235,0,263931988,253732384,10199604,250000292,93245436,93245436
2026-05-13T15:04:26+01:00,server,900211285,11125,41867146,3455057221,37821,5471185,683240,0,263931988,253731652,10200336,249999464,93245436,93245436
2026-05-13T15:04:27+01:00,server,900214543,11125,41867156,3455067065,37826,5471212,683244,0,263931988,253731772,10200216,249999568,93245436,93245436
2026-05-13T15:04:28+01:00,server,900217799,11125,41867167,3455076871,37826,5471237,683248,0,263931988,253730656,10201332,249998420,93245436,93245436
2026-05-13T15:04:29+01:00,server,900221085,11125,41867178,3455086766,37826,5471262,683253,0,263931988,253729620,10202368,249997384,93245436,93245436
2026-05-13T15:04:30+01:00,server,900224341,11125,41867186,3455096575,37826,5471286,683257,0,263931988,253728752,10203236,249996516,93245436,93245436
2026-05-13T15:04:31+01:00,server,900227606,11125,41867194,3455106433,37826,5471311,683262,0,263931988,253728964,10203024,249996696,93245436,93245436
2026-05-13T15:04:32+01:00,server,900230912,11125,41867239,3455116181,37826,5471340,683274,0,263931988,253725552,10206436,249993268,93245436,93245436
2026-05-13T15:04:33+01:00,server,900234175,11125,41867251,3455126003,37826,5471366,683282,0,263931988,253725284,10206704,249992984,93245436,93245436
2026-05-13T15:04:34+01:00,server,900237454,11125,41867265,3455135875,37826,5471392,683287,0,263931988,253725724,10206264,249993424,93245436,93245436
2026-05-13T15:04:35+01:00,server,900240673,11125,41867285,3455145681,37826,5471416,683292,0,263931988,253696308,10235680,249964004,93245436,93245436
2026-05-13T15:04:36+01:00,server,900243924,11125,41867294,3455155465,37826,5471438,683297,0,263931988,253695416,10236572,249963116,93245436,93245436
2026-05-13T15:04:37+01:00,server,900247185,11125,41867307,3455165275,37826,5471464,683302,0,263931988,253695764,10236224,249963476,93245436,93245436
2026-05-13T15:04:38+01:00,server,900250452,11125,41867320,3455175105,37826,5471489,683308,0,263931988,253695608,10236380,249963304,93245436,93245436
2026-05-13T15:04:39+01:00,server,900253725,11125,41867333,3455184956,37826,5471515,683313,0,263931988,253696276,10235712,249963972,93245436,93245436
2026-05-13T15:04:40+01:00,server,900257017,11125,41867345,3455194856,37826,5471540,683319,0,263931988,253696516,10235472,249964212,93245436,93245436
2026-05-13T15:04:41+01:00,server,900260322,11125,41867359,3455204800,37826,5471566,683324,0,263931988,253695808,10236180,249963488,93245436,93245436
2026-05-13T15:04:42+01:00,server,900263614,11125,41867372,3455214709,37826,5471591,683329,0,263931988,253696180,10235808,249963860,93245436,93245436
2026-05-13T15:04:43+01:00,server,900266909,11125,41867385,3455224626,37826,5471617,683334,0,263931988,253694528,10237460,249962192,93245436,93245436
2026-05-13T15:04:44+01:00,server,900270174,11125,41867394,3455234458,37826,5471641,683339,0,263931988,253696020,10235968,249963668,93245436,93245436
2026-05-13T15:04:45+01:00,server,900273431,11125,41867405,3455244269,37827,5471666,683344,0,263931988,253695088,10236900,249962672,93245436,93245436
2026-05-13T15:04:46+01:00,server,900276750,11125,41867471,3455253996,37827,5471694,683351,0,263931988,253691844,10240144,249959380,93245436,93245436
2026-05-13T15:04:47+01:00,server,900280010,11125,41867478,3455263813,37827,5471718,683357,0,263931988,253692168,10239820,249959688,93245436,93245436
2026-05-13T15:04:48+01:00,server,900283263,11125,41867494,3455273763,37830,5471740,683362,0,263931988,253661716,10270272,249929220,93245436,93245436
2026-05-13T15:04:49+01:00,server,900286555,11125,41867506,3455283670,37830,5471765,683367,0,263931988,253661448,10270540,249928952,93245436,93245436
