timestamp,role,cpu_user_jiffies,cpu_nice_jiffies,cpu_system_jiffies,cpu_idle_jiffies,cpu_iowait_jiffies,cpu_irq_jiffies,cpu_softirq_jiffies,cpu_steal_jiffies,mem_total_kb,mem_available_kb,mem_used_kb,mem_free_kb,swap_total_kb,swap_free_kb
2026-05-13T15:03:25+01:00,server,361285296,11293,10632483,4028275751,27608,1830060,530060,0,263931988,255476760,8455228,251346328,93245436,93245436
2026-05-13T15:03:26+01:00,server,361288009,11293,10632493,4028286016,27615,1830095,530069,0,263931988,255460420,8471568,251324564,93245436,93245436
2026-05-13T15:03:27+01:00,server,361291216,11293,10632499,4028295745,27615,1830137,530079,0,263931988,255460964,8471024,251325064,93245436,93245436
2026-05-13T15:03:28+01:00,server,361294440,11293,10632505,4028305513,27615,1830168,530089,0,263931988,255454576,8477412,251318632,93245436,93245436
2026-05-13T15:03:29+01:00,server,361297693,11293,10632558,4028315158,27615,1830206,530103,0,263931988,255451760,8480228,251315660,93245436,93245436
2026-05-13T15:03:30+01:00,server,361300804,11293,10632589,4028324880,27683,1830247,530113,0,263931988,255447368,8484620,251311072,93245436,93245436
2026-05-13T15:03:31+01:00,server,361303843,11293,10632623,4028334606,27806,1830290,530126,0,263931988,255447336,8484652,251311008,93245436,93245436
2026-05-13T15:03:32+01:00,server,361307065,11293,10632630,4028344366,27806,1830329,530135,0,263931988,255448024,8483964,251311644,93245436,93245436
2026-05-13T15:03:33+01:00,server,361310268,11293,10632644,4028354133,27810,1830371,530146,0,263931988,255447924,8484064,251311512,93245436,93245436
2026-05-13T15:03:34+01:00,server,361313448,11293,10632663,4028363865,27822,1830415,530156,0,263931988,255445940,8486048,251309512,93245436,93245436
2026-05-13T15:03:35+01:00,server,361316660,11293,10632670,4028373598,27822,1830454,530166,0,263931988,255445532,8486456,251309064,93245436,93245436
2026-05-13T15:03:36+01:00,server,361319874,11293,10632682,4028383333,27822,1830494,530176,0,263931988,255445920,8486068,251309404,93245436,93245436
2026-05-13T15:03:37+01:00,server,361323077,11293,10632696,4028393096,27835,1830536,530186,0,263931988,255446028,8485960,251309496,93245436,93245436
2026-05-13T15:03:38+01:00,server,361326284,11293,10632705,4028402835,27839,1830576,530195,0,263931988,255445872,8486116,251309340,93245436,93245436
2026-05-13T15:03:39+01:00,server,361329485,11293,10632717,4028412583,27849,1830616,530206,0,263931988,255446820,8485168,251310288,93245436,93245436
2026-05-13T15:03:40+01:00,server,361332696,11293,10632725,4028422339,27850,1830651,530215,0,263931988,255436312,8495676,251299780,93245436,93245436
2026-05-13T15:03:41+01:00,server,361335906,11293,10632732,4028432065,27850,1830690,530225,0,263931988,255437596,8494392,251301056,93245436,93245436
2026-05-13T15:03:42+01:00,server,361339124,11293,10632739,4028441803,27850,1830727,530234,0,263931988,255438244,8493744,251301704,93245436,93245436
2026-05-13T15:03:43+01:00,server,361342338,11293,10632746,4028451540,27850,1830765,530243,0,263931988,255438500,8493488,251301960,93245436,93245436
2026-05-13T15:03:44+01:00,server,361345578,11293,10632800,4028461161,27854,1830810,530258,0,263931988,255434716,8497272,251298152,93245436,93245436
2026-05-13T15:03:45+01:00,server,361348778,11293,10632813,4028470876,27862,1830852,530268,0,263931988,255434468,8497520,251297904,93245436,93245436
2026-05-13T15:03:46+01:00,server,361351982,11293,10632830,4028480622,27868,1830895,530277,0,263931988,255434824,8497164,251298260,93245436,93245436
2026-05-13T15:03:47+01:00,server,361355229,11293,10632837,4028490452,27868,1830934,530286,0,263931988,255434976,8497012,251298412,93245436,93245436
2026-05-13T15:03:48+01:00,server,361358470,11293,10632846,4028500269,27868,1830972,530290,0,263931988,255435232,8496756,251298652,93245436,93245436
2026-05-13T15:03:50+01:00,server,361361713,11293,10632853,4028510092,27868,1831009,530295,0,263931988,255435936,8496052,251299356,93245436,93245436
2026-05-13T15:03:51+01:00,server,361364957,11293,10632864,4028519915,27868,1831045,530299,0,263931988,255434280,8497708,251297636,93245436,93245436
2026-05-13T15:03:52+01:00,server,361368207,11293,10632877,4028529814,27869,1831080,530305,0,263931988,255425224,8506764,251288540,93245436,93245436
2026-05-13T15:03:53+01:00,server,361371439,11293,10632888,4028539589,27869,1831113,530310,0,263931988,255425420,8506568,251288716,93245436,93245436
2026-05-13T15:03:54+01:00,server,361374686,11293,10632898,4028549408,27869,1831148,530314,0,263931988,255424896,8507092,251288128,93245436,93245436
2026-05-13T15:03:55+01:00,server,361377916,11293,10632911,4028559221,27874,1831182,530319,0,263931988,255424932,8507056,251288132,93245436,93245436
2026-05-13T15:03:56+01:00,server,361381129,11293,10632925,4028569016,27895,1831221,530326,0,263931988,255424720,8507268,251287904,93245436,93245436
2026-05-13T15:03:57+01:00,server,361384410,11293,10632937,4028578945,27898,1831258,530331,0,263931988,255424236,8507752,251287388,93245436,93245436
2026-05-13T15:03:58+01:00,server,361387640,11293,10632950,4028588750,27899,1831297,530338,0,263931988,255424164,8507824,251287252,93245436,93245436
2026-05-13T15:03:59+01:00,server,361390929,11293,10633018,4028598455,27899,1831337,530349,0,263931988,255421532,8510456,251284556,93245436,93245436
2026-05-13T15:04:00+01:00,server,361394172,11293,10633030,4028608249,27899,1831377,530362,0,263931988,255419188,8512800,251282180,93245436,93245436
2026-05-13T15:04:01+01:00,server,361397413,11293,10633040,4028618045,27899,1831413,530373,0,263931988,255418432,8513556,251281424,93245436,93245436
2026-05-13T15:04:02+01:00,server,361400664,11293,10633049,4028627871,27899,1831449,530383,0,263931988,255419764,8512224,251282756,93245436,93245436
2026-05-13T15:04:03+01:00,server,361403902,11293,10633061,4028637658,27899,1831487,530392,0,263931988,255420996,8510992,251283956,93245436,93245436
2026-05-13T15:04:04+01:00,server,361407159,11293,10633071,4028647545,27899,1831520,530401,0,263931988,255412476,8519512,251275436,93245436,93245436
2026-05-13T15:04:05+01:00,server,361410387,11293,10633079,4028657317,27899,1831557,530410,0,263931988,255412400,8519588,251275344,93245436,93245436
2026-05-13T15:04:06+01:00,server,361413603,11293,10633090,4028667060,27899,1831595,530416,0,263931988,255410084,8521904,251272964,93245436,93245436
2026-05-13T15:04:07+01:00,server,361416820,11293,10633100,4028676792,27899,1831631,530422,0,263931988,255410936,8521052,251273760,93245436,93245436
2026-05-13T15:04:08+01:00,server,361420044,11293,10633108,4028686559,27899,1831667,530426,0,263931988,255408712,8523276,251271504,93245436,93245436
2026-05-13T15:04:09+01:00,server,361423264,11293,10633114,4028696317,27899,1831702,530430,0,263931988,255409180,8522808,251271940,93245436,93245436
2026-05-13T15:04:10+01:00,server,361426484,11293,10633125,4028706062,27899,1831739,530435,0,263931988,255409108,8522880,251271852,93245436,93245436
2026-05-13T15:04:11+01:00,server,361429723,11293,10633135,4028715870,27899,1831777,530441,0,263931988,255409440,8522548,251272168,93245436,93245436
2026-05-13T15:04:12+01:00,server,361432964,11293,10633146,4028725672,27899,1831814,530448,0,263931988,255409192,8522796,251271872,93245436,93245436
2026-05-13T15:04:13+01:00,server,361436193,11293,10633157,4028735445,27899,1831850,530453,0,263931988,255409140,8522848,251271804,93245436,93245436
2026-05-13T15:04:14+01:00,server,361439487,11293,10633222,4028745159,27899,1831892,530461,0,263931988,255406800,8525188,251269360,93245436,93245436
2026-05-13T15:04:15+01:00,server,361442725,11293,10633238,4028754945,27899,1831932,530469,0,263931988,255405284,8526704,251267760,93245436,93245436
2026-05-13T15:04:16+01:00,server,361445969,11293,10633252,4028764795,27899,1831967,530475,0,263931988,255395772,8536216,251258232,93245436,93245436
2026-05-13T15:04:17+01:00,server,361449201,11293,10633266,4028774569,27899,1832005,530481,0,263931988,255395792,8536196,251258220,93245436,93245436
2026-05-13T15:04:18+01:00,server,361452435,11293,10633278,4028784358,27899,1832042,530485,0,263931988,255395512,8536476,251257892,93245436,93245436
2026-05-13T15:04:19+01:00,server,361455696,11293,10633291,4028794239,27900,1832081,530491,0,263931988,255394620,8537368,251256984,93245436,93245436
2026-05-13T15:04:20+01:00,server,361458932,11293,10633301,4028804042,27900,1832119,530495,0,263931988,255394440,8537548,251256752,93245436,93245436
2026-05-13T15:04:21+01:00,server,361462163,11293,10633321,4028813903,27912,1832158,530500,0,263931988,255392740,8539248,251255020,93245436,93245436
2026-05-13T15:04:22+01:00,server,361465391,11293,10633336,4028823719,27923,1832196,530508,0,263931988,255392904,8539084,251255108,93245436,93245436
2026-05-13T15:04:23+01:00,server,361468618,11293,10633350,4028833541,27937,1832231,530513,0,263931988,255392504,8539484,251254676,93245436,93245436
2026-05-13T15:04:24+01:00,server,361471859,11293,10633358,4028843381,27943,1832266,530517,0,263931988,255392368,8539620,251254540,93245436,93245436
2026-05-13T15:04:25+01:00,server,361475103,11293,10633366,4028853199,27943,1832299,530521,0,263931988,255392188,8539800,251254328,93245436,93245436
2026-05-13T15:04:26+01:00,server,361478340,11293,10633373,4028862988,27943,1832331,530524,0,263931988,255391608,8540380,251253732,93245436,93245436
2026-05-13T15:04:27+01:00,server,361481543,11293,10633385,4028872740,27943,1832365,530531,0,263931988,255374176,8557812,251236252,93245436,93245436
2026-05-13T15:04:28+01:00,server,361484770,11293,10633392,4028882476,27943,1832387,530534,0,263931988,255368724,8563264,251230784,93245436,93245436
2026-05-13T15:04:29+01:00,server,361488055,11293,10633450,4028892163,27943,1832424,530542,0,263931988,255367220,8564768,251229264,93245436,93245436
2026-05-13T15:04:30+01:00,server,361491319,11293,10633463,4028902024,27943,1832458,530549,0,263931988,255367096,8564892,251229140,93245436,93245436
2026-05-13T15:04:31+01:00,server,361494563,11293,10633475,4028911822,27943,1832493,530555,0,263931988,255367124,8564864,251229168,93245436,93245436
2026-05-13T15:04:33+01:00,server,361497798,11293,10633488,4028921597,27943,1832527,530560,0,263931988,255368612,8563376,251230640,93245436,93245436
2026-05-13T15:04:34+01:00,server,361501066,11293,10633501,4028931470,27943,1832560,530566,0,263931988,255369356,8562632,251231384,93245436,93245436
2026-05-13T15:04:35+01:00,server,361504299,11293,10633513,4028941247,27943,1832593,530570,0,263931988,255369060,8562928,251231088,93245436,93245436
2026-05-13T15:04:36+01:00,server,361507531,11293,10633525,4028951013,27943,1832626,530575,0,263931988,255369212,8562776,251231244,93245436,93245436
2026-05-13T15:04:37+01:00,server,361510797,11293,10633538,4028960884,27943,1832658,530580,0,263931988,255368848,8563140,251230864,93245436,93245436
2026-05-13T15:04:38+01:00,server,361514022,11293,10633550,4028970639,27943,1832691,530585,0,263931988,255369032,8562956,251231048,93245436,93245436
2026-05-13T15:04:39+01:00,server,361517254,11293,10633562,4028980407,27943,1832725,530591,0,263931988,255368748,8563240,251230764,93245436,93245436
2026-05-13T15:04:40+01:00,server,361520483,11293,10633570,4028990275,27943,1832756,530595,0,263931988,255352076,8579912,251214068,93245436,93245436
2026-05-13T15:04:41+01:00,server,361523721,11293,10633577,4029000047,27943,1832780,530598,0,263931988,255351712,8580276,251213688,93245436,93245436
2026-05-13T15:04:42+01:00,server,361526982,11293,10633585,4029009921,27943,1832812,530601,0,263931988,255351732,8580256,251213692,93245436,93245436
2026-05-13T15:04:43+01:00,server,361530224,11293,10633594,4029019724,27943,1832844,530605,0,263931988,255352976,8579012,251214932,93245436,93245436
2026-05-13T15:04:44+01:00,server,361533520,11293,10633668,4029029344,27943,1832881,530613,0,263931988,255350868,8581120,251212824,93245436,93245436
2026-05-13T15:04:45+01:00,server,361536783,11293,10633682,4029039193,27943,1832918,530622,0,263931988,255348892,8583096,251210704,93245436,93245436
2026-05-13T15:04:46+01:00,server,361540012,11293,10633694,4029048956,27943,1832953,530627,0,263931988,255348864,8583124,251210672,93245436,93245436
2026-05-13T15:04:47+01:00,server,361543270,11293,10633708,4029058796,27943,1832989,530634,0,263931988,255350128,8581860,251211936,93245436,93245436
2026-05-13T15:04:48+01:00,server,361546498,11293,10633720,4029068556,27943,1833025,530639,0,263931988,255350768,8581220,251212576,93245436,93245436
2026-05-13T15:04:49+01:00,server,361549745,11293,10633732,4029078364,27943,1833060,530645,0,263931988,255352132,8579856,251213932,93245436,93245436
2026-05-13T15:04:50+01:00,server,361552988,11293,10633744,4029088174,27943,1833093,530651,0,263931988,255351852,8580136,251213652,93245436,93245436
2026-05-13T15:04:51+01:00,server,361556224,11293,10633755,4029097955,27943,1833127,530656,0,263931988,255352016,8579972,251213816,93245436,93245436
2026-05-13T15:04:52+01:00,server,361559425,11293,10633769,4029107745,27943,1833157,530662,0,263931988,255335148,8596840,251196940,93245436,93245436
2026-05-13T15:04:53+01:00,server,361562655,11293,10633781,4029117495,27943,1833187,530667,0,263931988,255335724,8596264,251197512,93245436,93245436
2026-05-13T15:04:54+01:00,server,361565897,11293,10633792,4029127298,27944,1833224,530673,0,263931988,255335388,8596600,251197176,93245436,93245436
2026-05-13T15:04:55+01:00,server,361569129,11293,10633802,4029137072,27944,1833259,530678,0,263931988,255335504,8596484,251197276,93245436,93245436
2026-05-13T15:04:56+01:00,server,361572349,11293,10633815,4029146839,27947,1833296,530682,0,263931988,255335656,8596332,251197380,93245436,93245436
2026-05-13T15:04:57+01:00,server,361575574,11293,10633824,4029156611,27951,1833331,530686,0,263931988,255335124,8596864,251196848,93245436,93245436
2026-05-13T15:04:58+01:00,server,361578828,11293,10633829,4029166468,27952,1833367,530691,0,263931988,255335980,8596008,251197704,93245436,93245436
2026-05-13T15:04:59+01:00,server,361582106,11293,10633921,4029176119,27952,1833406,530699,0,263931988,255333676,8598312,251195396,93245436,93245436
2026-05-13T15:05:00+01:00,server,361585357,11293,10633937,4029185969,27957,1833445,530706,0,263931988,255331832,8600156,251193552,93245436,93245436
2026-05-13T15:05:01+01:00,server,361588590,11293,10633950,4029195755,27962,1833484,530713,0,263931988,255329084,8602904,251188760,93245436,93245436
2026-05-13T15:05:02+01:00,server,361591812,11293,10633959,4029205503,27962,1833521,530719,0,263931988,255329636,8602352,251189288,93245436,93245436
