timestamp,role,cpu_user_jiffies,cpu_nice_jiffies,cpu_system_jiffies,cpu_idle_jiffies,cpu_iowait_jiffies,cpu_irq_jiffies,cpu_softirq_jiffies,cpu_steal_jiffies,mem_total_kb,mem_available_kb,mem_used_kb,mem_free_kb,swap_total_kb,swap_free_kb
2026-05-13T15:03:28+01:00,server,396210344,5468,18958418,1740672717,284096,3023365,653671,0,263931988,252869908,11062080,249144420,93245436,93245436
2026-05-13T15:03:29+01:00,server,396211032,5468,18958427,1740685036,284101,3023368,653674,0,263931988,252846800,11085188,249115668,93245436,93245436
2026-05-13T15:03:30+01:00,server,396211841,5468,18958431,1740697196,284101,3023372,653676,0,263931988,252842428,11089560,249111264,93245436,93245436
2026-05-13T15:03:31+01:00,server,396212643,5468,18958438,1740709365,284105,3023376,653677,0,263931988,252842348,11089640,249111168,93245436,93245436
2026-05-13T15:03:32+01:00,server,396213452,5468,18958442,1740721528,284105,3023380,653678,0,263931988,252840876,11091112,249109676,93245436,93245436
2026-05-13T15:03:33+01:00,server,396214224,5468,18958461,1740733733,284132,3023385,653680,0,263931988,252837104,11094884,249105840,93245436,93245436
2026-05-13T15:03:34+01:00,server,396214979,5468,18958484,1740745887,284163,3023389,653681,0,263931988,252837872,11094116,249106448,93245436,93245436
2026-05-13T15:03:35+01:00,server,396215776,5468,18958492,1740758050,284170,3023394,653683,0,263931988,252837284,11094704,249105752,93245436,93245436
2026-05-13T15:03:36+01:00,server,396216642,5468,18958514,1740770130,284171,3023400,653686,0,263931988,252835840,11096148,249104216,93245436,93245436
2026-05-13T15:03:37+01:00,server,396217450,5468,18958521,1740782289,284172,3023405,653688,0,263931988,252835460,11096528,249103736,93245436,93245436
2026-05-13T15:03:38+01:00,server,396218258,5468,18958529,1740794444,284176,3023410,653689,0,263931988,252834140,11097848,249102416,93245436,93245436
2026-05-13T15:03:39+01:00,server,396219064,5468,18958535,1740806612,284179,3023414,653690,0,263931988,252837172,11094816,249105416,93245436,93245436
2026-05-13T15:03:40+01:00,server,396219864,5468,18958543,1740818769,284183,3023418,653692,0,263931988,252837136,11094852,249105380,93245436,93245436
2026-05-13T15:03:41+01:00,server,396220667,5468,18958550,1740830927,284186,3023422,653694,0,263931988,252836936,11095052,249105148,93245436,93245436
2026-05-13T15:03:42+01:00,server,396221470,5468,18958557,1740843079,284189,3023426,653695,0,263931988,252836284,11095704,249104464,93245436,93245436
2026-05-13T15:03:43+01:00,server,396222277,5468,18958562,1740855233,284189,3023430,653696,0,263931988,252836776,11095212,249104948,93245436,93245436
2026-05-13T15:03:44+01:00,server,396223083,5468,18958567,1740867384,284191,3023433,653697,0,263931988,252836768,11095220,249104940,93245436,93245436
2026-05-13T15:03:45+01:00,server,396223891,5468,18958572,1740879541,284192,3023437,653699,0,263931988,252836856,11095132,249105012,93245436,93245436
2026-05-13T15:03:46+01:00,server,396224690,5468,18958578,1740891696,284192,3023441,653700,0,263931988,252811544,11120444,249079700,93245436,93245436
2026-05-13T15:03:47+01:00,server,396225498,5468,18958583,1740903841,284193,3023444,653701,0,263931988,252812140,11119848,249080280,93245436,93245436
2026-05-13T15:03:48+01:00,server,396226304,5468,18958589,1740915995,284195,3023448,653702,0,263931988,252812188,11119800,249080328,93245436,93245436
2026-05-13T15:03:49+01:00,server,396227106,5468,18958594,1740928148,284198,3023452,653703,0,263931988,252811928,11120060,249080068,93245436,93245436
2026-05-13T15:03:50+01:00,server,396227913,5468,18958600,1740940306,284200,3023456,653705,0,263931988,252811872,11120116,249080012,93245436,93245436
2026-05-13T15:03:51+01:00,server,396228766,5468,18958627,1740952383,284203,3023463,653708,0,263931988,252809992,11121996,249078088,93245436,93245436
2026-05-13T15:03:52+01:00,server,396229572,5468,18958636,1740964544,284204,3023467,653710,0,263931988,252810084,11121904,249078164,93245436,93245436
2026-05-13T15:03:53+01:00,server,396230383,5468,18958643,1740976704,284204,3023472,653711,0,263931988,252809460,11122528,249077524,93245436,93245436
2026-05-13T15:03:54+01:00,server,396231192,5468,18958646,1740988867,284204,3023476,653713,0,263931988,252811096,11120892,249079140,93245436,93245436
2026-05-13T15:03:55+01:00,server,396232002,5468,18958652,1741001020,284205,3023480,653714,0,263931988,252812220,11119768,249080200,93245436,93245436
2026-05-13T15:03:56+01:00,server,396232809,5468,18958657,1741013168,284205,3023484,653715,0,263931988,252812356,11119632,249080336,93245436,93245436
2026-05-13T15:03:58+01:00,server,396233616,5468,18958662,1741025315,284205,3023487,653717,0,263931988,252811636,11120352,249079600,93245436,93245436
2026-05-13T15:03:59+01:00,server,396234422,5468,18958668,1741037462,284207,3023491,653718,0,263931988,252812304,11119684,249080268,93245436,93245436
2026-05-13T15:04:00+01:00,server,396235224,5468,18958674,1741049615,284208,3023495,653719,0,263931988,252789120,11142868,249057068,93245436,93245436
2026-05-13T15:04:01+01:00,server,396236031,5468,18958680,1741061776,284208,3023498,653720,0,263931988,252788236,11143752,249056184,93245436,93245436
2026-05-13T15:04:02+01:00,server,396236839,5468,18958686,1741073930,284209,3023502,653722,0,263931988,252788328,11143660,249056276,93245436,93245436
2026-05-13T15:04:03+01:00,server,396237648,5468,18958691,1741086091,284209,3023506,653723,0,263931988,252787920,11144068,249055868,93245436,93245436
2026-05-13T15:04:04+01:00,server,396238456,5468,18958697,1741098243,284209,3023509,653725,0,263931988,252788360,11143628,249056276,93245436,93245436
2026-05-13T15:04:05+01:00,server,396239266,5468,18958701,1741110406,284209,3023513,653726,0,263931988,252788756,11143232,249056672,93245436,93245436
2026-05-13T15:04:06+01:00,server,396240205,5468,18958738,1741122397,284210,3023520,653729,0,263931988,252787052,11144936,249054920,93245436,93245436
2026-05-13T15:04:07+01:00,server,396241013,5468,18958744,1741134552,284210,3023524,653731,0,263931988,252785800,11146188,249053648,93245436,93245436
2026-05-13T15:04:08+01:00,server,396241822,5468,18958749,1741146719,284210,3023528,653733,0,263931988,252785872,11146116,249053720,93245436,93245436
2026-05-13T15:04:09+01:00,server,396242631,5468,18958754,1741158875,284211,3023532,653735,0,263931988,252784724,11147264,249052508,93245436,93245436
2026-05-13T15:04:10+01:00,server,396243440,5468,18958760,1741171029,284212,3023536,653736,0,263931988,252782824,11149164,249050608,93245436,93245436
2026-05-13T15:04:11+01:00,server,396244248,5468,18958765,1741183175,284212,3023539,653738,0,263931988,252783552,11148436,249051272,93245436,93245436
2026-05-13T15:04:12+01:00,server,396245055,5468,18958771,1741195319,284213,3023543,653739,0,263931988,252783820,11148168,249051532,93245436,93245436
2026-05-13T15:04:13+01:00,server,396245864,5468,18958776,1741207470,284213,3023547,653741,0,263931988,252783112,11148876,249050776,93245436,93245436
