timestamp,role,cpu_user_jiffies,cpu_nice_jiffies,cpu_system_jiffies,cpu_idle_jiffies,cpu_iowait_jiffies,cpu_irq_jiffies,cpu_softirq_jiffies,cpu_steal_jiffies,mem_total_kb,mem_available_kb,mem_used_kb,mem_free_kb,swap_total_kb,swap_free_kb
2026-05-13T15:10:15+01:00,server,21594289,2453,2187887,916160037,2718,0,25596,0,32911424,29810240,3101184,24844608,16252864,16252864
2026-05-13T15:10:16+01:00,server,21595728,2453,2187921,916163468,2720,0,25596,0,32911424,29522624,3388800,24545472,16252864,16252864
2026-05-13T15:10:17+01:00,server,21598032,2453,2187964,916165999,2720,0,25596,0,32911424,29454976,3456448,24476416,16252864,16252864
2026-05-13T15:10:18+01:00,server,21600297,2453,2188008,916168534,2720,0,25596,0,32911424,29445120,3466304,24466496,16252864,16252864
2026-05-13T15:10:19+01:00,server,21602677,2453,2188026,916171056,2720,0,25597,0,32911424,29444032,3467392,24465344,16252864,16252864
2026-05-13T15:10:21+01:00,server,21605006,2453,2188065,916173600,2720,0,25598,0,32911424,29436032,3475392,24457280,16252864,16252864
2026-05-13T15:10:22+01:00,server,21607325,2453,2188084,916176141,2720,0,25599,0,32911424,29426560,3484864,24447680,16252864,16252864
2026-05-13T15:10:23+01:00,server,21609590,2456,2188136,916178669,2720,0,25599,0,32911424,29422976,3488448,24443904,16252864,16252864
2026-05-13T15:10:24+01:00,server,21611908,2456,2188168,916181187,2720,0,25600,0,32911424,29410112,3501312,24430912,16252864,16252864
2026-05-13T15:10:25+01:00,server,21614230,2456,2188185,916183719,2720,0,25600,0,32911424,29405632,3505792,24426432,16252864,16252864
2026-05-13T15:10:26+01:00,server,21616594,2456,2188204,916186254,2720,0,25601,0,32911424,29411712,3499712,24432512,16252864,16252864
2026-05-13T15:10:27+01:00,server,21619003,2456,2188220,916188790,2720,0,25602,0,32911424,29402304,3509120,24422976,16252864,16252864
2026-05-13T15:10:28+01:00,server,21621349,2456,2188247,916191335,2720,0,25604,0,32911424,29390656,3520768,24411328,16252864,16252864
2026-05-13T15:10:29+01:00,server,21623772,2456,2188279,916193875,2720,0,25604,0,32911424,29388736,3522688,24409408,16252864,16252864
2026-05-13T15:10:30+01:00,server,21626022,2456,2188314,916196414,2720,0,25604,0,32911424,29388672,3522752,24409280,16252864,16252864
2026-05-13T15:10:31+01:00,server,21628365,2456,2188349,916198960,2720,0,25605,0,32911424,29387328,3524096,24407808,16252864,16252864
2026-05-13T15:10:32+01:00,server,21630663,2456,2188375,916201495,2720,0,25605,0,32911424,29382912,3528512,24403328,16252864,16252864
2026-05-13T15:10:33+01:00,server,21633064,2456,2188394,916204033,2720,0,25607,0,32911424,29379072,3532352,24399488,16252864,16252864
2026-05-13T15:10:34+01:00,server,21635427,2456,2188414,916206574,2720,0,25607,0,32911424,29362304,3549120,24382656,16252864,16252864
2026-05-13T15:10:35+01:00,server,21637782,2456,2188432,916209077,2720,0,25608,0,32911424,29383424,3528000,24403776,16252864,16252864
2026-05-13T15:10:36+01:00,server,21640232,2456,2188442,916211534,2720,0,25608,0,32911424,29384704,3526720,24405056,16252864,16252864
2026-05-13T15:10:37+01:00,server,21642704,2456,2188455,916213991,2720,0,25609,0,32911424,29384128,3527296,24404480,16252864,16252864
2026-05-13T15:10:38+01:00,server,21645128,2456,2188469,916216448,2720,0,25611,0,32911424,29385856,3525568,24406208,16252864,16252864
2026-05-13T15:10:39+01:00,server,21647607,2456,2188490,916218880,2720,0,25611,0,32911424,29384832,3526592,24405056,16252864,16252864
2026-05-13T15:10:40+01:00,server,21650030,2456,2188507,916221337,2720,0,25611,0,32911424,29387904,3523520,24408128,16252864,16252864
2026-05-13T15:10:41+01:00,server,21652481,2456,2188512,916223803,2720,0,25611,0,32911424,29389248,3522176,24409472,16252864,16252864
2026-05-13T15:10:42+01:00,server,21654930,2456,2188521,916226266,2720,0,25611,0,32911424,29388096,3523328,24408320,16252864,16252864
2026-05-13T15:10:43+01:00,server,21657382,2456,2188534,916228725,2720,0,25611,0,32911424,29385280,3526144,24405504,16252864,16252864
