timestamp,role,cpu_user_jiffies,cpu_nice_jiffies,cpu_system_jiffies,cpu_idle_jiffies,cpu_iowait_jiffies,cpu_irq_jiffies,cpu_softirq_jiffies,cpu_steal_jiffies,mem_total_kb,mem_available_kb,mem_used_kb,mem_free_kb,swap_total_kb,swap_free_kb
2026-05-13T15:11:00+01:00,server,30410927,2523,376226,909100808,2563,0,22216,0,32911424,29484864,3426560,24516096,16252864,16252864
2026-05-13T15:11:01+01:00,server,30412253,2523,376311,909104333,2565,0,22216,0,32911424,29214784,3696640,24233792,16252864,16252864
2026-05-13T15:11:02+01:00,server,30414524,2523,376340,909107009,2565,0,22216,0,32911424,29173952,3737472,24192768,16252864,16252864
2026-05-13T15:11:03+01:00,server,30416688,2523,376378,909109691,2565,0,22216,0,32911424,29172672,3738752,24191488,16252864,16252864
2026-05-13T15:11:04+01:00,server,30418817,2523,376442,909112377,2565,0,22216,0,32911424,29169984,3741440,24188800,16252864,16252864
2026-05-13T15:11:05+01:00,server,30420991,2523,376473,909115043,2565,0,22216,0,32911424,29156544,3754880,24175296,16252864,16252864
2026-05-13T15:11:06+01:00,server,30423239,2523,376505,909117712,2565,0,22216,0,32911424,29136128,3775296,24154816,16252864,16252864
2026-05-13T15:11:07+01:00,server,30425428,2523,376535,909120389,2565,0,22217,0,32911424,29120320,3791104,24138944,16252864,16252864
2026-05-13T15:11:08+01:00,server,30427642,2523,376569,909123063,2565,0,22217,0,32911424,29109248,3802176,24127808,16252864,16252864
2026-05-13T15:11:09+01:00,server,30429895,2523,376594,909125733,2565,0,22217,0,32911424,29106112,3805312,24124608,16252864,16252864
2026-05-13T15:11:10+01:00,server,30432356,2523,376610,909128167,2565,0,22217,0,32911424,29137536,3773888,24155968,16252864,16252864
2026-05-13T15:11:11+01:00,server,30434797,2523,376625,909130635,2565,0,22217,0,32911424,29137472,3773952,24155840,16252864,16252864
2026-05-13T15:11:12+01:00,server,30437232,2523,376633,909133093,2565,0,22217,0,32911424,29136704,3774720,24155072,16252864,16252864
2026-05-13T15:11:13+01:00,server,30439664,2523,376639,909135556,2565,0,22217,0,32911424,29140224,3771200,24158528,16252864,16252864
2026-05-13T15:11:14+01:00,server,30442115,2523,376652,909138018,2565,0,22217,0,32911424,29140096,3771328,24158400,16252864,16252864
2026-05-13T15:11:15+01:00,server,30444518,2523,376668,909140475,2565,0,22218,0,32911424,29141120,3770304,24159424,16252864,16252864
2026-05-13T15:11:16+01:00,server,30446967,2523,376682,909142932,2565,0,22218,0,32911424,29140736,3770688,24159040,16252864,16252864
2026-05-13T15:11:17+01:00,server,30449418,2523,376695,909145392,2565,0,22219,0,32911424,29141376,3770048,24159680,16252864,16252864
2026-05-13T15:11:18+01:00,server,30451866,2523,376708,909147849,2565,0,22219,0,32911424,29142784,3768640,24161088,16252864,16252864
2026-05-13T15:11:19+01:00,server,30454314,2523,376720,909150304,2565,0,22222,0,32911424,29143936,3767488,24162304,16252864,16252864
2026-05-13T15:11:20+01:00,server,30456766,2523,376731,909152759,2565,0,22222,0,32911424,29146560,3764864,24164672,16252864,16252864
2026-05-13T15:11:21+01:00,server,30459217,2523,376743,909155215,2565,0,22222,0,32911424,29143296,3768128,24161408,16252864,16252864
2026-05-13T15:11:22+01:00,server,30461644,2523,376754,909157675,2565,0,22223,0,32911424,29143616,3767808,24161728,16252864,16252864
2026-05-13T15:11:23+01:00,server,30464119,2523,376766,909160132,2565,0,22223,0,32911424,29138560,3772864,24156672,16252864,16252864
2026-05-13T15:11:24+01:00,server,30466569,2523,376777,909162587,2565,0,22223,0,32911424,29137152,3774272,24155264,16252864,16252864
2026-05-13T15:11:25+01:00,server,30469073,2523,376791,909165024,2565,0,22223,0,32911424,29139008,3772416,24157056,16252864,16252864
2026-05-13T15:11:26+01:00,server,30471522,2523,376797,909167486,2565,0,22224,0,32911424,29135872,3775552,24153856,16252864,16252864
2026-05-13T15:11:27+01:00,server,30473997,2523,376809,909169947,2565,0,22224,0,32911424,29134080,3777344,24152000,16252864,16252864
2026-05-13T15:11:28+01:00,server,30476444,2523,376820,909172404,2565,0,22226,0,32911424,29132352,3779072,24150272,16252864,16252864
2026-05-13T15:11:29+01:00,server,30478892,2523,376835,909174860,2565,0,22227,0,32911424,29132160,3779264,24150080,16252864,16252864
2026-05-13T15:11:30+01:00,server,30481319,2523,376847,909177316,2565,0,22227,0,32911424,29134144,3777280,24152064,16252864,16252864
2026-05-13T15:11:31+01:00,server,30483793,2523,376861,909179773,2565,0,22227,0,32911424,29138432,3772992,24156288,16252864,16252864
2026-05-13T15:11:32+01:00,server,30486243,2523,376875,909182230,2565,0,22228,0,32911424,29133568,3777856,24151424,16252864,16252864
2026-05-13T15:11:33+01:00,server,30488691,2523,376887,909184690,2565,0,22229,0,32911424,29134592,3776832,24152448,16252864,16252864
2026-05-13T15:11:34+01:00,server,30491144,2523,376900,909187146,2565,0,22229,0,32911424,29132864,3778560,24150720,16252864,16252864
2026-05-13T15:11:35+01:00,server,30493573,2523,376909,909189602,2565,0,22229,0,32911424,29135232,3776192,24152832,16252864,16252864
2026-05-13T15:11:36+01:00,server,30496026,2523,376917,909192059,2565,0,22229,0,32911424,29135424,3776000,24153024,16252864,16252864
2026-05-13T15:11:37+01:00,server,30498455,2523,376927,909194515,2565,0,22229,0,32911424,29135616,3775808,24153216,16252864,16252864
2026-05-13T15:11:39+01:00,server,30500926,2523,376931,909196980,2565,0,22230,0,32911424,29130752,3780672,24148352,16252864,16252864
2026-05-13T15:11:40+01:00,server,30503356,2523,376939,909199443,2565,0,22230,0,32911424,29133824,3777600,24151424,16252864,16252864
2026-05-13T15:11:41+01:00,server,30505851,2523,376955,909201876,2565,0,22230,0,32911424,29128576,3782848,24146176,16252864,16252864
2026-05-13T15:11:42+01:00,server,30508278,2523,376967,909204332,2565,0,22232,0,32911424,29129088,3782336,24146688,16252864,16252864
2026-05-13T15:11:43+01:00,server,30510711,2523,376975,909206833,2565,0,22233,0,32911424,29107008,3804416,24124608,16252864,16252864
2026-05-13T15:11:44+01:00,server,30513131,2523,376987,909209299,2565,0,22233,0,32911424,29106432,3804992,24123968,16252864,16252864
2026-05-13T15:11:45+01:00,server,30515601,2523,377000,909211754,2565,0,22233,0,32911424,29108928,3802496,24126400,16252864,16252864
2026-05-13T15:11:46+01:00,server,30518027,2523,377011,909214216,2565,0,22234,0,32911424,29109504,3801920,24126976,16252864,16252864
2026-05-13T15:11:47+01:00,server,30520479,2523,377037,909216676,2565,0,22234,0,32911424,29108032,3803392,24125440,16252864,16252864
2026-05-13T15:11:48+01:00,server,30522881,2523,377049,909219190,2565,0,22235,0,32911424,29085952,3825472,24103360,16252864,16252864
2026-05-13T15:11:49+01:00,server,30525353,2523,377060,909221645,2565,0,22236,0,32911424,29087296,3824128,24104704,16252864,16252864
2026-05-13T15:11:50+01:00,server,30527772,2523,377069,909224100,2565,0,22237,0,32911424,29086336,3825088,24103744,16252864,16252864
2026-05-13T15:11:51+01:00,server,30530197,2523,377081,909226567,2565,0,22237,0,32911424,29088832,3822592,24106240,16252864,16252864
2026-05-13T15:11:52+01:00,server,30532672,2523,377084,909229033,2565,0,22237,0,32911424,29087360,3824064,24104768,16252864,16252864
2026-05-13T15:11:53+01:00,server,30535144,2523,377099,909231489,2565,0,22237,0,32911424,29081856,3829568,24099264,16252864,16252864
2026-05-13T15:11:54+01:00,server,30537574,2523,377108,909233945,2565,0,22238,0,32911424,29083584,3827840,24100992,16252864,16252864
2026-05-13T15:11:55+01:00,server,30540058,2523,377129,909236376,2565,0,22240,0,32911424,29084032,3827392,24101376,16252864,16252864
2026-05-13T15:11:56+01:00,server,30542485,2523,377143,909238838,2565,0,22240,0,32911424,29084480,3826944,24101824,16252864,16252864
2026-05-13T15:11:57+01:00,server,30544958,2523,377156,909241295,2565,0,22240,0,32911424,29084032,3827392,24101376,16252864,16252864
2026-05-13T15:11:58+01:00,server,30547409,2523,377162,909243751,2565,0,22241,0,32911424,29083008,3828416,24100352,16252864,16252864
2026-05-13T15:11:59+01:00,server,30549860,2523,377175,909246208,2565,0,22242,0,32911424,29085376,3826048,24102720,16252864,16252864
2026-05-13T15:12:00+01:00,server,30552307,2523,377189,909248664,2565,0,22242,0,32911424,29089920,3821504,24107264,16252864,16252864
2026-05-13T15:12:01+01:00,server,30554754,2523,377205,909251125,2565,0,22242,0,32911424,29088256,3823168,24105600,16252864,16252864
2026-05-13T15:12:02+01:00,server,30557183,2523,377220,909253582,2565,0,22242,0,32911424,29081920,3829504,24099264,16252864,16252864
2026-05-13T15:12:03+01:00,server,30559590,2523,377232,909256038,2565,0,22242,0,32911424,29084416,3827008,24101760,16252864,16252864
2026-05-13T15:12:04+01:00,server,30562021,2523,377241,909258501,2565,0,22242,0,32911424,29081920,3829504,24099264,16252864,16252864
2026-05-13T15:12:05+01:00,server,30564428,2523,377245,909260964,2565,0,22242,0,32911424,29081728,3829696,24099072,16252864,16252864
2026-05-13T15:12:06+01:00,server,30566859,2523,377259,909263423,2565,0,22242,0,32911424,29081920,3829504,24099264,16252864,16252864
2026-05-13T15:12:07+01:00,server,30569289,2523,377272,909265879,2565,0,22242,0,32911424,29083456,3827968,24100800,16252864,16252864
2026-05-13T15:12:08+01:00,server,30571737,2523,377288,909268335,2565,0,22242,0,32911424,29084544,3826880,24101952,16252864,16252864
2026-05-13T15:12:09+01:00,server,30574188,2523,377299,909270790,2565,0,22242,0,32911424,29085568,3825856,24102976,16252864,16252864
2026-05-13T15:12:10+01:00,server,30576677,2523,377317,909273224,2565,0,22243,0,32911424,29082240,3829184,24099648,16252864,16252864
2026-05-13T15:12:11+01:00,server,30579105,2523,377327,909275682,2565,0,22244,0,32911424,29082944,3828480,24100288,16252864,16252864
2026-05-13T15:12:12+01:00,server,30581583,2523,377336,909278141,2565,0,22244,0,32911424,29081536,3829888,24098880,16252864,16252864
2026-05-13T15:12:13+01:00,server,30584013,2523,377346,909280599,2565,0,22244,0,32911424,29081920,3829504,24099264,16252864,16252864
2026-05-13T15:12:14+01:00,server,30586486,2523,377354,909283055,2565,0,22247,0,32911424,29081344,3830080,24098688,16252864,16252864
2026-05-13T15:12:15+01:00,server,30588959,2523,377371,909285511,2566,0,22247,0,32911424,29082560,3828864,24099840,16252864,16252864
2026-05-13T15:12:16+01:00,server,30591387,2523,377380,909287968,2566,0,22248,0,32911424,29083712,3827712,24100992,16252864,16252864
2026-05-13T15:12:17+01:00,server,30593835,2523,377390,909290433,2566,0,22248,0,32911424,29079680,3831744,24096960,16252864,16252864
2026-05-13T15:12:19+01:00,server,30596262,2523,377398,909292897,2566,0,22248,0,32911424,29080064,3831360,24097344,16252864,16252864
2026-05-13T15:12:20+01:00,server,30598693,2523,377416,909295410,2566,0,22248,0,32911424,29058752,3852672,24076032,16252864,16252864
2026-05-13T15:12:21+01:00,server,30601127,2523,377426,909297864,2566,0,22249,0,32911424,29057344,3854080,24074624,16252864,16252864
2026-05-13T15:12:22+01:00,server,30603584,2523,377440,909300320,2566,0,22249,0,32911424,29052544,3858880,24069824,16252864,16252864
2026-05-13T15:12:23+01:00,server,30606014,2523,377449,909302781,2566,0,22250,0,32911424,29053888,3857536,24071168,16252864,16252864
2026-05-13T15:12:24+01:00,server,30608406,2523,377462,909305328,2566,0,22250,0,32911424,29017088,3894336,24034368,16252864,16252864
2026-05-13T15:12:25+01:00,server,30610575,2523,377496,909307996,2566,0,22250,0,32911424,29002496,3908928,24019776,16252864,16252864
2026-05-13T15:12:26+01:00,server,30612815,2523,377545,909310642,2566,0,22250,0,32911424,28987648,3923776,24004864,16252864,16252864
