timestamp,role,cpu_user_jiffies,cpu_nice_jiffies,cpu_system_jiffies,cpu_idle_jiffies,cpu_iowait_jiffies,cpu_irq_jiffies,cpu_softirq_jiffies,cpu_steal_jiffies,mem_total_kb,mem_available_kb,mem_used_kb,mem_free_kb,swap_total_kb,swap_free_kb
2026-05-13T15:20:01+01:00,server,4968267,14,308602,1591600400,1674,0,53843,0,32911424,29910528,3000896,24950720,16252864,16252864
2026-05-13T15:20:02+01:00,server,4969631,14,308631,1591603841,1676,0,53843,0,32911424,29600448,3310976,24623552,16252864,16252864
2026-05-13T15:20:03+01:00,server,4971965,14,308650,1591606375,1676,0,53844,0,32911424,29564800,3346624,24587840,16252864,16252864
2026-05-13T15:20:04+01:00,server,4974359,14,308679,1591608902,1676,0,53845,0,32911424,29571456,3339968,24594496,16252864,16252864
2026-05-13T15:20:05+01:00,server,4976724,14,308699,1591611442,1676,0,53845,0,32911424,29563584,3347840,24586624,16252864,16252864
2026-05-13T15:20:06+01:00,server,4979076,14,308734,1591613976,1676,0,53846,0,32911424,29550336,3361088,24573312,16252864,16252864
2026-05-13T15:20:07+01:00,server,4981484,14,308750,1591616508,1676,0,53846,0,32911424,29543040,3368384,24565760,16252864,16252864
2026-05-13T15:20:08+01:00,server,4983838,14,308770,1591619050,1676,0,53847,0,32911424,29534784,3376640,24557376,16252864,16252864
2026-05-13T15:20:09+01:00,server,4986257,14,308788,1591621576,1676,0,53848,0,32911424,29532992,3378432,24555584,16252864,16252864
2026-05-13T15:20:10+01:00,server,4988612,14,308804,1591624118,1676,0,53848,0,32911424,29536448,3374976,24558912,16252864,16252864
2026-05-13T15:20:11+01:00,server,4991034,14,308819,1591626599,1676,0,53848,0,32911424,29544128,3367296,24566592,16252864,16252864
2026-05-13T15:20:12+01:00,server,4993326,14,308841,1591629154,1676,0,53849,0,32911424,29522944,3388480,24545344,16252864,16252864
2026-05-13T15:20:13+01:00,server,4995667,14,308852,1591631691,1676,0,53850,0,32911424,29533120,3378304,24555520,16252864,16252864
2026-05-13T15:20:14+01:00,server,4998032,14,308870,1591634238,1676,0,53850,0,32911424,29522240,3389184,24544576,16252864,16252864
2026-05-13T15:20:15+01:00,server,5000381,14,308891,1591636771,1676,0,53850,0,32911424,29515712,3395712,24538048,16252864,16252864
2026-05-13T15:20:16+01:00,server,5002751,14,308915,1591639312,1676,0,53850,0,32911424,29516800,3394624,24539136,16252864,16252864
2026-05-13T15:20:17+01:00,server,5005074,14,308948,1591641851,1676,0,53850,0,32911424,29510336,3401088,24532672,16252864,16252864
2026-05-13T15:20:18+01:00,server,5007429,14,308986,1591644382,1676,0,53850,0,32911424,29514496,3396928,24536768,16252864,16252864
2026-05-13T15:20:19+01:00,server,5009801,14,309005,1591646924,1676,0,53852,0,32911424,29509760,3401664,24532032,16252864,16252864
2026-05-13T15:20:20+01:00,server,5012210,14,309032,1591649449,1676,0,53854,0,32911424,29532096,3379328,24554048,16252864,16252864
2026-05-13T15:20:21+01:00,server,5014639,14,309056,1591651905,1676,0,53854,0,32911424,29530944,3380480,24552896,16252864,16252864
2026-05-13T15:20:22+01:00,server,5017112,14,309070,1591654362,1676,0,53854,0,32911424,29534528,3376896,24556480,16252864,16252864
2026-05-13T15:20:23+01:00,server,5019585,14,309084,1591656819,1676,0,53855,0,32911424,29530304,3381120,24552256,16252864,16252864
2026-05-13T15:20:24+01:00,server,5022011,14,309095,1591659275,1676,0,53856,0,32911424,29529344,3382080,24551296,16252864,16252864
2026-05-13T15:20:25+01:00,server,5024457,14,309112,1591661730,1676,0,53858,0,32911424,29528000,3383424,24549952,16252864,16252864
2026-05-13T15:20:26+01:00,server,5026906,14,309118,1591664191,1676,0,53859,0,32911424,29530688,3380736,24552640,16252864,16252864
2026-05-13T15:20:27+01:00,server,5029381,14,309140,1591666623,1676,0,53859,0,32911424,29527168,3384256,24549120,16252864,16252864
2026-05-13T15:20:28+01:00,server,5031809,14,309152,1591669081,1676,0,53859,0,32911424,29528960,3382464,24550912,16252864,16252864
2026-05-13T15:20:29+01:00,server,5034257,14,309183,1591671537,1676,0,53859,0,32911424,29527040,3384384,24548992,16252864,16252864
2026-05-13T15:20:30+01:00,server,5036682,14,309197,1591673992,1676,0,53859,0,32911424,29528448,3382976,24550400,16252864,16252864
2026-05-13T15:20:31+01:00,server,5039151,14,309214,1591676447,1676,0,53860,0,32911424,29528064,3383360,24550016,16252864,16252864
2026-05-13T15:20:32+01:00,server,5041600,14,309229,1591678901,1676,0,53860,0,32911424,29531520,3379904,24553472,16252864,16252864
2026-05-13T15:20:33+01:00,server,5044053,14,309242,1591681355,1676,0,53860,0,32911424,29530368,3381056,24552320,16252864,16252864
2026-05-13T15:20:35+01:00,server,5046478,14,309256,1591683811,1676,0,53860,0,32911424,29532736,3378688,24554688,16252864,16252864
2026-05-13T15:20:36+01:00,server,5048950,14,309269,1591686265,1676,0,53860,0,32911424,29527360,3384064,24549312,16252864,16252864
2026-05-13T15:20:37+01:00,server,5051281,14,309286,1591688803,1676,0,53861,0,32911424,29507072,3404352,24529024,16252864,16252864
2026-05-13T15:20:38+01:00,server,5053758,14,309297,1591691257,1676,0,53861,0,32911424,29499648,3411776,24521600,16252864,16252864
2026-05-13T15:20:39+01:00,server,5056210,14,309306,1591693708,1676,0,53861,0,32911424,29506688,3404736,24528640,16252864,16252864
2026-05-13T15:20:40+01:00,server,5058649,14,309312,1591696175,1676,0,53861,0,32911424,29504256,3407168,24526208,16252864,16252864
2026-05-13T15:20:41+01:00,server,5061120,14,309326,1591698638,1676,0,53861,0,32911424,29503424,3408000,24525376,16252864,16252864
2026-05-13T15:20:42+01:00,server,5063627,14,309340,1591701065,1676,0,53861,0,32911424,29502336,3409088,24524288,16252864,16252864
2026-05-13T15:20:43+01:00,server,5066033,14,309349,1591703523,1676,0,53862,0,32911424,29499776,3411648,24521664,16252864,16252864
2026-05-13T15:20:44+01:00,server,5068500,14,309366,1591705979,1676,0,53862,0,32911424,29498816,3412608,24520704,16252864,16252864
2026-05-13T15:20:45+01:00,server,5070946,14,309382,1591708436,1676,0,53864,0,32911424,29499584,3411840,24521472,16252864,16252864
2026-05-13T15:20:46+01:00,server,5073422,14,309395,1591710892,1676,0,53864,0,32911424,29497408,3414016,24519296,16252864,16252864
2026-05-13T15:20:47+01:00,server,5075846,14,309410,1591713349,1676,0,53864,0,32911424,29495872,3415552,24517760,16252864,16252864
2026-05-13T15:20:48+01:00,server,5078317,14,309423,1591715806,1676,0,53865,0,32911424,29494144,3417280,24516032,16252864,16252864
2026-05-13T15:20:49+01:00,server,5080768,14,309440,1591718255,1676,0,53866,0,32911424,29492800,3418624,24514624,16252864,16252864
2026-05-13T15:20:50+01:00,server,5083218,14,309449,1591720712,1676,0,53866,0,32911424,29486592,3424832,24508416,16252864,16252864
2026-05-13T15:20:51+01:00,server,5085667,14,309462,1591723167,1676,0,53866,0,32911424,29492992,3418432,24514816,16252864,16252864
2026-05-13T15:20:52+01:00,server,5088097,14,309472,1591725624,1676,0,53866,0,32911424,29492032,3419392,24513856,16252864,16252864
2026-05-13T15:20:53+01:00,server,5090565,14,309482,1591728089,1676,0,53868,0,32911424,29486848,3424576,24508736,16252864,16252864
2026-05-13T15:20:54+01:00,server,5093013,14,309495,1591730545,1676,0,53868,0,32911424,29488192,3423232,24510080,16252864,16252864
2026-05-13T15:20:55+01:00,server,5095460,14,309512,1591733001,1676,0,53869,0,32911424,29486656,3424768,24508544,16252864,16252864
2026-05-13T15:20:56+01:00,server,5097802,14,309529,1591735539,1676,0,53869,0,32911424,29461888,3449536,24483776,16252864,16252864
2026-05-13T15:20:57+01:00,server,5100268,14,309544,1591737967,1676,0,53870,0,32911424,29463040,3448384,24484928,16252864,16252864
2026-05-13T15:20:58+01:00,server,5102701,14,309554,1591740427,1676,0,53870,0,32911424,29462464,3448960,24484352,16252864,16252864
2026-05-13T15:20:59+01:00,server,5105170,14,309569,1591742883,1676,0,53870,0,32911424,29462080,3449344,24483968,16252864,16252864
2026-05-13T15:21:00+01:00,server,5107598,14,309579,1591745337,1676,0,53871,0,32911424,29459520,3451904,24481472,16252864,16252864
2026-05-13T15:21:01+01:00,server,5110070,14,309594,1591747792,1676,0,53872,0,32911424,29462656,3448768,24484544,16252864,16252864
2026-05-13T15:21:02+01:00,server,5112522,14,309603,1591750247,1676,0,53872,0,32911424,29461376,3450048,24483264,16252864,16252864
2026-05-13T15:21:03+01:00,server,5114996,14,309617,1591752704,1676,0,53872,0,32911424,29460224,3451200,24482112,16252864,16252864
2026-05-13T15:21:04+01:00,server,5117422,14,309630,1591755159,1676,0,53872,0,32911424,29461568,3449856,24483456,16252864,16252864
2026-05-13T15:21:05+01:00,server,5119844,14,309647,1591757619,1676,0,53872,0,32911424,29461376,3450048,24483264,16252864,16252864
2026-05-13T15:21:06+01:00,server,5122291,14,309653,1591760083,1676,0,53872,0,32911424,29462144,3449280,24484032,16252864,16252864
2026-05-13T15:21:07+01:00,server,5124741,14,309668,1591762541,1676,0,53872,0,32911424,29459648,3451776,24481536,16252864,16252864
2026-05-13T15:21:08+01:00,server,5127192,14,309677,1591764996,1676,0,53873,0,32911424,29458688,3452736,24480576,16252864,16252864
2026-05-13T15:21:09+01:00,server,5129642,14,309691,1591767456,1676,0,53873,0,32911424,29458304,3453120,24480192,16252864,16252864
2026-05-13T15:21:10+01:00,server,5132095,14,309702,1591769911,1676,0,53873,0,32911424,29456768,3454656,24478656,16252864,16252864
2026-05-13T15:21:11+01:00,server,5134522,14,309715,1591772368,1676,0,53873,0,32911424,29459072,3452352,24480960,16252864,16252864
2026-05-13T15:21:12+01:00,server,5137004,14,309740,1591774799,1676,0,53874,0,32911424,29460544,3450880,24482496,16252864,16252864
2026-05-13T15:21:13+01:00,server,5139453,14,309753,1591777255,1676,0,53874,0,32911424,29459776,3451648,24481728,16252864,16252864
2026-05-13T15:21:14+01:00,server,5141815,14,309769,1591779793,1676,0,53875,0,32911424,29439232,3472192,24461184,16252864,16252864
2026-05-13T15:21:16+01:00,server,5144236,14,309780,1591782245,1676,0,53875,0,32911424,29440640,3470784,24462144,16252864,16252864
2026-05-13T15:21:17+01:00,server,5146693,14,309789,1591784699,1676,0,53875,0,32911424,29439104,3472320,24460608,16252864,16252864
2026-05-13T15:21:18+01:00,server,5149128,14,309799,1591787162,1676,0,53875,0,32911424,29442752,3468672,24464256,16252864,16252864
2026-05-13T15:21:19+01:00,server,5151603,14,309807,1591789622,1676,0,53876,0,32911424,29441664,3469760,24463168,16252864,16252864
