timestamp,role,cpu_user_jiffies,cpu_nice_jiffies,cpu_system_jiffies,cpu_idle_jiffies,cpu_iowait_jiffies,cpu_irq_jiffies,cpu_softirq_jiffies,cpu_steal_jiffies,mem_total_kb,mem_available_kb,mem_used_kb,mem_free_kb,swap_total_kb,swap_free_kb
2026-05-13T15:21:06+01:00,server,5049531,13,368439,1592103061,1573,0,63952,0,32911424,29935424,2976000,24978176,16252864,16252864
2026-05-13T15:21:07+01:00,server,5050906,13,368475,1592106583,1575,0,63952,0,32911424,29651520,3259904,24682752,16252864,16252864
2026-05-13T15:21:08+01:00,server,5053157,13,368508,1592109267,1575,0,63953,0,32911424,29600768,3310656,24631744,16252864,16252864
2026-05-13T15:21:09+01:00,server,5055308,13,368540,1592111947,1575,0,63953,0,32911424,29588928,3322496,24619776,16252864,16252864
2026-05-13T15:21:10+01:00,server,5057528,13,368566,1592114639,1575,0,63955,0,32911424,29595648,3315776,24626368,16252864,16252864
2026-05-13T15:21:11+01:00,server,5059854,13,368591,1592117213,1575,0,63955,0,32911424,29623040,3288384,24653760,16252864,16252864
2026-05-13T15:21:12+01:00,server,5062113,13,368624,1592119865,1575,0,63955,0,32911424,29583808,3327616,24614528,16252864,16252864
2026-05-13T15:21:13+01:00,server,5064357,13,368656,1592122532,1575,0,63955,0,32911424,29573312,3338112,24604032,16252864,16252864
2026-05-13T15:21:14+01:00,server,5066627,13,368703,1592125224,1575,0,63955,0,32911424,29579072,3332352,24609792,16252864,16252864
2026-05-13T15:21:15+01:00,server,5068756,13,368763,1592127920,1575,0,63955,0,32911424,29571840,3339584,24602560,16252864,16252864
2026-05-13T15:21:16+01:00,server,5071173,13,368779,1592130470,1575,0,63955,0,32911424,29608896,3302528,24639552,16252864,16252864
2026-05-13T15:21:17+01:00,server,5073644,13,368795,1592132931,1575,0,63955,0,32911424,29605824,3305600,24636480,16252864,16252864
2026-05-13T15:21:18+01:00,server,5076118,13,368803,1592135403,1575,0,63955,0,32911424,29606080,3305344,24636736,16252864,16252864
2026-05-13T15:21:20+01:00,server,5078521,13,368829,1592137875,1575,0,63956,0,32911424,29597184,3314240,24627840,16252864,16252864
2026-05-13T15:21:21+01:00,server,5080970,13,368840,1592140341,1575,0,63956,0,32911424,29598272,3313152,24628864,16252864,16252864
2026-05-13T15:21:22+01:00,server,5083447,13,368848,1592142804,1575,0,63956,0,32911424,29594624,3316800,24625216,16252864,16252864
2026-05-13T15:21:23+01:00,server,5085919,13,368860,1592145267,1575,0,63957,0,32911424,29595648,3315776,24626176,16252864,16252864
2026-05-13T15:21:24+01:00,server,5088224,13,368875,1592147739,1575,0,63959,0,32911424,29593792,3317632,24624256,16252864,16252864
2026-05-13T15:21:25+01:00,server,5090696,13,368888,1592150203,1575,0,63960,0,32911424,29595200,3316224,24625664,16252864,16252864
2026-05-13T15:21:26+01:00,server,5093166,13,368904,1592152668,1575,0,63961,0,32911424,29596096,3315328,24626560,16252864,16252864
2026-05-13T15:21:27+01:00,server,5095591,13,368922,1592155132,1575,0,63962,0,32911424,29593408,3318016,24623680,16252864,16252864
2026-05-13T15:21:28+01:00,server,5098065,13,368934,1592157604,1575,0,63962,0,32911424,29593024,3318400,24623296,16252864,16252864
2026-05-13T15:21:29+01:00,server,5100510,13,368966,1592160041,1575,0,63962,0,32911424,29591424,3320000,24621632,16252864,16252864
2026-05-13T15:21:30+01:00,server,5102985,13,368978,1592162507,1575,0,63962,0,32911424,29587456,3323968,24617664,16252864,16252864
2026-05-13T15:21:31+01:00,server,5105407,13,368991,1592164969,1575,0,63962,0,32911424,29590656,3320768,24620864,16252864,16252864
2026-05-13T15:21:32+01:00,server,5107880,13,368996,1592167438,1575,0,63962,0,32911424,29588032,3323392,24618240,16252864,16252864
2026-05-13T15:21:33+01:00,server,5110340,13,369014,1592169902,1575,0,63963,0,32911424,29586368,3325056,24616576,16252864,16252864
2026-05-13T15:21:34+01:00,server,5112814,13,369024,1592172367,1575,0,63963,0,32911424,29586496,3324928,24616704,16252864,16252864
2026-05-13T15:21:35+01:00,server,5115265,13,369040,1592174830,1575,0,63963,0,32911424,29585664,3325760,24615872,16252864,16252864
2026-05-13T15:21:36+01:00,server,5117734,13,369059,1592177292,1575,0,63963,0,32911424,29581184,3330240,24611392,16252864,16252864
2026-05-13T15:21:37+01:00,server,5120185,13,369071,1592179751,1575,0,63963,0,32911424,29585152,3326272,24615360,16252864,16252864
2026-05-13T15:21:38+01:00,server,5122659,13,369082,1592182219,1575,0,63964,0,32911424,29585088,3326336,24615296,16252864,16252864
2026-05-13T15:21:39+01:00,server,5125131,13,369099,1592184685,1575,0,63964,0,32911424,29587968,3323456,24618176,16252864,16252864
2026-05-13T15:21:40+01:00,server,5127490,13,369112,1592187243,1575,0,63964,0,32911424,29559360,3352064,24589568,16252864,16252864
2026-05-13T15:21:41+01:00,server,5129968,13,369122,1592189708,1575,0,63964,0,32911424,29556096,3355328,24586304,16252864,16252864
2026-05-13T15:21:42+01:00,server,5132442,13,369134,1592192171,1575,0,63964,0,32911424,29548992,3362432,24579200,16252864,16252864
2026-05-13T15:21:43+01:00,server,5134901,13,369147,1592194640,1575,0,63964,0,32911424,29553344,3358080,24583552,16252864,16252864
2026-05-13T15:21:44+01:00,server,5137362,13,369155,1592197083,1575,0,63964,0,32911424,29554816,3356608,24585024,16252864,16252864
2026-05-13T15:21:45+01:00,server,5139859,13,369166,1592199558,1575,0,63965,0,32911424,29552448,3358976,24582656,16252864,16252864
2026-05-13T15:21:46+01:00,server,5142285,13,369179,1592202038,1575,0,63966,0,32911424,29548672,3362752,24578880,16252864,16252864
2026-05-13T15:21:47+01:00,server,5144755,13,369195,1592204510,1575,0,63966,0,32911424,29547520,3363904,24577728,16252864,16252864
2026-05-13T15:21:48+01:00,server,5147231,13,369205,1592206978,1575,0,63966,0,32911424,29544384,3367040,24574528,16252864,16252864
2026-05-13T15:21:49+01:00,server,5149703,13,369220,1592209442,1575,0,63966,0,32911424,29543424,3368000,24573568,16252864,16252864
2026-05-13T15:21:50+01:00,server,5152178,13,369231,1592211910,1575,0,63966,0,32911424,29542080,3369344,24572224,16252864,16252864
2026-05-13T15:21:51+01:00,server,5154652,13,369247,1592214373,1575,0,63966,0,32911424,29539776,3371648,24569920,16252864,16252864
2026-05-13T15:21:52+01:00,server,5157125,13,369260,1592216840,1575,0,63966,0,32911424,29537024,3374400,24567168,16252864,16252864
2026-05-13T15:21:53+01:00,server,5159600,13,369273,1592219304,1575,0,63966,0,32911424,29534592,3376832,24564736,16252864,16252864
2026-05-13T15:21:54+01:00,server,5162030,13,369283,1592221769,1575,0,63966,0,32911424,29531712,3379712,24561856,16252864,16252864
2026-05-13T15:21:56+01:00,server,5164477,13,369298,1592224234,1575,0,63966,0,32911424,29532672,3378752,24562816,16252864,16252864
2026-05-13T15:21:57+01:00,server,5166976,13,369307,1592226706,1575,0,63966,0,32911424,29536896,3374528,24567040,16252864,16252864
2026-05-13T15:21:58+01:00,server,5169401,13,369320,1592229179,1575,0,63966,0,32911424,29532480,3378944,24562624,16252864,16252864
2026-05-13T15:21:59+01:00,server,5171860,13,369335,1592231620,1575,0,63966,0,32911424,29533376,3378048,24563456,16252864,16252864
2026-05-13T15:22:00+01:00,server,5174334,13,369348,1592234083,1575,0,63968,0,32911424,29530880,3380544,24560960,16252864,16252864
2026-05-13T15:22:01+01:00,server,5176767,13,369378,1592236548,1575,0,63969,0,32911424,29530880,3380544,24560960,16252864,16252864
2026-05-13T15:22:02+01:00,server,5179241,13,369390,1592239008,1575,0,63970,0,32911424,29529536,3381888,24559616,16252864,16252864
2026-05-13T15:22:03+01:00,server,5181693,13,369400,1592241480,1575,0,63970,0,32911424,29532224,3379200,24562368,16252864,16252864
2026-05-13T15:22:04+01:00,server,5184167,13,369412,1592243942,1575,0,63970,0,32911424,29530496,3380928,24560640,16252864,16252864
2026-05-13T15:22:05+01:00,server,5186617,13,369433,1592246404,1576,0,63970,0,32911424,29534912,3376512,24561984,16252864,16252864
2026-05-13T15:22:06+01:00,server,5189093,13,369443,1592248864,1576,0,63971,0,32911424,29535872,3375552,24562944,16252864,16252864
2026-05-13T15:22:07+01:00,server,5191559,13,369463,1592251328,1576,0,63971,0,32911424,29537792,3373632,24564864,16252864,16252864
2026-05-13T15:22:08+01:00,server,5194032,13,369480,1592253787,1576,0,63971,0,32911424,29528384,3383040,24555456,16252864,16252864
2026-05-13T15:22:09+01:00,server,5196479,13,369495,1592256254,1576,0,63971,0,32911424,29531904,3379520,24559040,16252864,16252864
2026-05-13T15:22:10+01:00,server,5198927,13,369504,1592258726,1576,0,63971,0,32911424,29530176,3381248,24557312,16252864,16252864
2026-05-13T15:22:11+01:00,server,5201403,13,369514,1592261191,1576,0,63971,0,32911424,29530432,3380992,24557568,16252864,16252864
2026-05-13T15:22:12+01:00,server,5203878,13,369526,1592263656,1576,0,63971,0,32911424,29531008,3380416,24558144,16252864,16252864
2026-05-13T15:22:13+01:00,server,5206329,13,369539,1592266117,1576,0,63971,0,32911424,29531200,3380224,24558336,16252864,16252864
2026-05-13T15:22:14+01:00,server,5208810,13,369561,1592268554,1576,0,63972,0,32911424,29526656,3384768,24553792,16252864,16252864
2026-05-13T15:22:15+01:00,server,5211262,13,369575,1592271018,1576,0,63972,0,32911424,29530048,3381376,24557184,16252864,16252864
2026-05-13T15:22:16+01:00,server,5213694,13,369589,1592273481,1576,0,63972,0,32911424,29528576,3382848,24555712,16252864,16252864
2026-05-13T15:22:17+01:00,server,5216048,13,369600,1592276060,1576,0,63973,0,32911424,29490752,3420672,24517824,16252864,16252864
2026-05-13T15:22:18+01:00,server,5218509,13,369610,1592278520,1576,0,63976,0,32911424,29491328,3420096,24518400,16252864,16252864
2026-05-13T15:22:19+01:00,server,5220985,13,369616,1592280995,1576,0,63977,0,32911424,29491136,3420288,24518208,16252864,16252864
2026-05-13T15:22:20+01:00,server,5223436,13,369627,1592283458,1576,0,63977,0,32911424,29493824,3417600,24520896,16252864,16252864
2026-05-13T15:22:21+01:00,server,5225891,13,369643,1592285923,1576,0,63978,0,32911424,29490304,3421120,24517376,16252864,16252864
2026-05-13T15:22:22+01:00,server,5228364,13,369652,1592288390,1576,0,63978,0,32911424,29490560,3420864,24517632,16252864,16252864
2026-05-13T15:22:23+01:00,server,5230812,13,369659,1592290860,1576,0,63978,0,32911424,29488832,3422592,24515904,16252864,16252864
2026-05-13T15:22:24+01:00,server,5233237,13,369674,1592293325,1576,0,63978,0,32911424,29490944,3420480,24518016,16252864,16252864
2026-05-13T15:22:25+01:00,server,5235709,13,369687,1592295791,1576,0,63980,0,32911424,29493248,3418176,24520320,16252864,16252864
2026-05-13T15:22:26+01:00,server,5238182,13,369701,1592298255,1576,0,63980,0,32911424,29493632,3417792,24520704,16252864,16252864
2026-05-13T15:22:27+01:00,server,5240657,13,369714,1592300721,1576,0,63980,0,32911424,29491520,3419904,24518592,16252864,16252864
2026-05-13T15:22:28+01:00,server,5243139,13,369729,1592303160,1576,0,63980,0,32911424,29491712,3419712,24518784,16252864,16252864
2026-05-13T15:22:29+01:00,server,5245586,13,369746,1592305627,1576,0,63980,0,32911424,29491328,3420096,24518400,16252864,16252864
2026-05-13T15:22:31+01:00,server,5248126,13,369782,1592308003,1576,0,63981,0,32911424,29479488,3431936,24505344,16252864,16252864
2026-05-13T15:22:32+01:00,server,5250697,13,369804,1592310364,1576,0,63981,0,32911424,29480704,3430720,24506560,16252864,16252864
2026-05-13T15:22:33+01:00,server,5253174,13,369828,1592312811,1576,0,63983,0,32911424,29483648,3427776,24507776,16252864,16252864
