timestamp,role,cpu_user_jiffies,cpu_nice_jiffies,cpu_system_jiffies,cpu_idle_jiffies,cpu_iowait_jiffies,cpu_irq_jiffies,cpu_softirq_jiffies,cpu_steal_jiffies,mem_total_kb,mem_available_kb,mem_used_kb,mem_free_kb,swap_total_kb,swap_free_kb
2026-05-13T15:03:28+01:00,server,662690401,13533,1853595,957271944,12244,0,115840,0,32911424,29872064,3039360,29451776,16252864,16248768
2026-05-13T15:03:29+01:00,server,662691085,13533,1853695,957276039,12246,0,115841,0,32911424,29736576,3174848,29303552,16252864,16248768
2026-05-13T15:03:30+01:00,server,662692492,13533,1853846,957279251,12246,0,115841,0,32911424,29766144,3145280,29332864,16252864,16248768
2026-05-13T15:03:31+01:00,server,662694884,13533,1853869,957281735,12246,0,115842,0,32911424,29762944,3148480,29329536,16252864,16248768
2026-05-13T15:03:32+01:00,server,662697304,13533,1853893,957284220,12246,0,115842,0,32911424,29763904,3147520,29330496,16252864,16248768
2026-05-13T15:03:33+01:00,server,662699681,13533,1853910,957286738,12246,0,115842,0,32911424,29754688,3156736,29321280,16252864,16248768
2026-05-13T15:03:34+01:00,server,662702097,13533,1853937,957289226,12246,0,115842,0,32911424,29754432,3156992,29320960,16252864,16248768
2026-05-13T15:03:35+01:00,server,662704485,13533,1853958,957291713,12246,0,115844,0,32911424,29752128,3159296,29318656,16252864,16248768
2026-05-13T15:03:36+01:00,server,662706939,13533,1853968,957294232,12246,0,115845,0,32911424,29744960,3166464,29311488,16252864,16248768
2026-05-13T15:03:37+01:00,server,662709309,13533,1853995,957296719,12246,0,115845,0,32911424,29743488,3167936,29310016,16252864,16248768
2026-05-13T15:03:38+01:00,server,662711749,13533,1854021,957299205,12246,0,115845,0,32911424,29742272,3169152,29308800,16252864,16248768
2026-05-13T15:03:39+01:00,server,662714171,13533,1854041,957301721,12246,0,115845,0,32911424,29729984,3181440,29296512,16252864,16248768
2026-05-13T15:03:40+01:00,server,662716615,13533,1854055,957304208,12246,0,115846,0,32911424,29725376,3186048,29291904,16252864,16248768
2026-05-13T15:03:41+01:00,server,662719055,13533,1854070,957306697,12246,0,115846,0,32911424,29723712,3187712,29290176,16252864,16248768
2026-05-13T15:03:42+01:00,server,662721411,13533,1854090,957309214,12246,0,115846,0,32911424,29713280,3198144,29279680,16252864,16248768
2026-05-13T15:03:43+01:00,server,662723818,13533,1854120,957311695,12246,0,115846,0,32911424,29713536,3197888,29279936,16252864,16248768
2026-05-13T15:03:44+01:00,server,662726241,13533,1854158,957314170,12246,0,115847,0,32911424,29707008,3204416,29273408,16252864,16248768
2026-05-13T15:03:45+01:00,server,662727624,13533,1854300,957317420,12246,0,115847,0,32911424,29688896,3222528,29255168,16252864,16248768
