timestamp,role,cpu_user_jiffies,cpu_nice_jiffies,cpu_system_jiffies,cpu_idle_jiffies,cpu_iowait_jiffies,cpu_irq_jiffies,cpu_softirq_jiffies,cpu_steal_jiffies,mem_total_kb,mem_available_kb,mem_used_kb,mem_free_kb,swap_total_kb,swap_free_kb
2026-05-13T15:03:28+01:00,server,486119900,3963,4143969,1132261113,10330,0,122513,0,32911424,26616384,6295040,26193984,16252864,16244672
2026-05-13T15:03:29+01:00,server,486120626,3963,4144033,1132265018,10332,0,122515,0,32911424,26545792,6365632,26111168,16252864,16244672
2026-05-13T15:03:30+01:00,server,486122226,3963,4144124,1132268303,10332,0,122515,0,32911424,26535168,6376256,26100416,16252864,16244672
2026-05-13T15:03:31+01:00,server,486124155,3963,4144172,1132271144,10332,0,122516,0,32911424,26555136,6356288,26120256,16252864,16244672
2026-05-13T15:03:32+01:00,server,486126559,3963,4144195,1132273629,10332,0,122516,0,32911424,26555584,6355840,26120704,16252864,16244672
2026-05-13T15:03:33+01:00,server,486128948,3963,4144224,1132276148,10332,0,122516,0,32911424,26550720,6360704,26115840,16252864,16244672
2026-05-13T15:03:34+01:00,server,486131352,3963,4144253,1132278635,10332,0,122516,0,32911424,26548864,6362560,26113984,16252864,16244672
2026-05-13T15:03:35+01:00,server,486133752,3963,4144270,1132281127,10332,0,122519,0,32911424,26542336,6369088,26107392,16252864,16244672
2026-05-13T15:03:36+01:00,server,486136147,3963,4144297,1132283649,10332,0,122519,0,32911424,26529280,6382144,26094336,16252864,16244672
2026-05-13T15:03:37+01:00,server,486138501,3963,4144358,1132286136,10332,0,122520,0,32911424,26522688,6388736,26087744,16252864,16244672
2026-05-13T15:03:38+01:00,server,486140930,3963,4144386,1132288606,10332,0,122521,0,32911424,26513600,6397824,26078528,16252864,16244672
2026-05-13T15:03:39+01:00,server,486143354,3963,4144405,1132291126,10332,0,122521,0,32911424,26495744,6415680,26060672,16252864,16244672
2026-05-13T15:03:40+01:00,server,486145740,3963,4144429,1132293622,10332,0,122523,0,32911424,26499200,6412224,26064064,16252864,16244672
2026-05-13T15:03:41+01:00,server,486148138,3963,4144445,1132296118,10332,0,122524,0,32911424,26500480,6410944,26065024,16252864,16244672
2026-05-13T15:03:42+01:00,server,486150494,3963,4144459,1132298643,10332,0,122525,0,32911424,26491520,6419904,26056064,16252864,16244672
2026-05-13T15:03:43+01:00,server,486152869,3963,4144488,1132301134,10332,0,122526,0,32911424,26487488,6423936,26052032,16252864,16244672
2026-05-13T15:03:44+01:00,server,486155016,3963,4144532,1132303889,10332,0,122526,0,32911424,26442304,6469120,26006848,16252864,16244672
2026-05-13T15:03:45+01:00,server,486156752,3963,4144595,1132307040,10332,0,122527,0,32911424,26462592,6448832,26027072,16252864,16244672
2026-05-13T15:03:46+01:00,server,486159143,3963,4144613,1132309530,10332,0,122527,0,32911424,26460096,6451328,26024576,16252864,16244672
2026-05-13T15:03:47+01:00,server,486161526,3963,4144647,1132312019,10332,0,122527,0,32911424,26459392,6452032,26023808,16252864,16244672
2026-05-13T15:03:48+01:00,server,486163131,3963,4144709,1132315251,10332,0,122527,0,32911424,26411456,6499968,25975808,16252864,16244672
2026-05-13T15:03:49+01:00,server,486165307,3963,4144750,1132317932,10332,0,122531,0,32911424,26439360,6472064,26003648,16252864,16244672
2026-05-13T15:03:50+01:00,server,486167723,3963,4144778,1132320420,10332,0,122531,0,32911424,26443456,6467968,26007616,16252864,16244672
2026-05-13T15:03:51+01:00,server,486169667,3963,4144820,1132323257,10332,0,122533,0,32911424,26395840,6515584,25960000,16252864,16244672
2026-05-13T15:03:52+01:00,server,486171428,3963,4144895,1132326314,10332,0,122534,0,32911424,26427584,6483840,25991616,16252864,16244672
2026-05-13T15:03:53+01:00,server,486173828,3963,4144905,1132328814,10332,0,122534,0,32911424,26424064,6487360,25988032,16252864,16244672
2026-05-13T15:03:54+01:00,server,486176190,3963,4144927,1132331309,10332,0,122535,0,32911424,26420992,6490432,25984960,16252864,16244672
2026-05-13T15:03:55+01:00,server,486177724,3963,4145016,1132334619,10332,0,122536,0,32911424,26372096,6539328,25936064,16252864,16244672
2026-05-13T15:03:56+01:00,server,486180016,3963,4145046,1132337229,10332,0,122536,0,32911424,26406720,6504704,25970688,16252864,16244672
