index,suite,engine,model_label,model,threads,ctx_size,parallel_requests,bench_concurrency,max_tokens,cache_type_k,cache_type_v
0,thread-scaling,tq,model-1-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,36,1024,1,1,128,turbo2,turbo2
1,thread-scaling,tq,model-1-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,36,1024,1,1,128,turbo3,turbo3
2,thread-scaling,tq,model-1-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,36,1024,1,1,128,turbo4,turbo4
3,thread-scaling,vanilla-openblas-fujitsu,model-1-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,36,1024,1,1,128,f16,f16
4,thread-scaling,tq,model-1-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,40,1024,1,1,128,turbo2,turbo2
5,thread-scaling,tq,model-1-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,40,1024,1,1,128,turbo3,turbo3
6,thread-scaling,tq,model-1-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,40,1024,1,1,128,turbo4,turbo4
7,thread-scaling,vanilla-openblas-fujitsu,model-1-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,40,1024,1,1,128,f16,f16
8,thread-scaling,tq,model-1-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,42,1024,1,1,128,turbo2,turbo2
9,thread-scaling,tq,model-1-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,42,1024,1,1,128,turbo3,turbo3
