timestamp,role,cpu_user_jiffies,cpu_nice_jiffies,cpu_system_jiffies,cpu_idle_jiffies,cpu_iowait_jiffies,cpu_irq_jiffies,cpu_softirq_jiffies,cpu_steal_jiffies,mem_total_kb,mem_available_kb,mem_used_kb,mem_free_kb,swap_total_kb,swap_free_kb
2026-05-14T12:10:32+01:00,rpc-coordinator,66394713,407,466601,1143786272,2004,0,20283,0,32911424,29955136,2956288,15750464,16252864,16248768
2026-05-14T12:10:33+01:00,rpc-coordinator,66394746,407,466625,1143791113,2007,0,20290,0,32911424,29936128,2975296,15385024,16252864,16248768
2026-05-14T12:10:34+01:00,rpc-coordinator,66394747,407,466638,1143796005,2007,0,20290,0,32911424,29932288,2979136,15381184,16252864,16248768
2026-05-14T12:10:35+01:00,rpc-coordinator,66394751,407,466649,1143800897,2007,0,20291,0,32911424,29935296,2976128,15384192,16252864,16248768
2026-05-14T12:10:36+01:00,rpc-coordinator,66394752,407,466659,1143805789,2007,0,20292,0,32911424,29934784,2976640,15383680,16252864,16248768
2026-05-14T12:10:37+01:00,rpc-coordinator,66394755,407,466668,1143810681,2007,0,20294,0,32911424,29934400,2977024,15383296,16252864,16248768
2026-05-14T12:10:38+01:00,rpc-coordinator,66394756,407,466680,1143815573,2007,0,20295,0,32911424,29934592,2976832,15383488,16252864,16248768
2026-05-14T12:10:39+01:00,rpc-coordinator,66394760,407,466689,1143820465,2007,0,20295,0,32911424,29933952,2977472,15382848,16252864,16248768
2026-05-14T12:10:40+01:00,rpc-coordinator,66394765,407,466696,1143825357,2007,0,20295,0,32911424,29938048,2973376,15386944,16252864,16248768
2026-05-14T12:10:41+01:00,rpc-coordinator,66394766,407,466707,1143830249,2007,0,20296,0,32911424,29935360,2976064,15384256,16252864,16248768
2026-05-14T12:10:42+01:00,rpc-coordinator,66394770,407,466716,1143835141,2007,0,20296,0,32911424,29935232,2976192,15384128,16252864,16248768
2026-05-14T12:10:43+01:00,rpc-coordinator,66394774,407,466725,1143840033,2007,0,20297,0,32911424,29932736,2978688,15381632,16252864,16248768
2026-05-14T12:10:44+01:00,rpc-coordinator,66394784,407,466736,1143844895,2007,0,20297,0,32911424,29934400,2977024,15383296,16252864,16248768
