timestamp,cpu_percent,rss_kb
2026-05-14T22:25:57+01:00,0.0,11132
2026-05-14T22:25:58+01:00,10.0,17300
2026-05-14T22:25:59+01:00,6.5,26756
2026-05-14T22:26:00+01:00,5.0,28748
2026-05-14T22:26:01+01:00,4.2,30508
2026-05-14T22:26:02+01:00,4.0,52552
2026-05-14T22:26:04+01:00,3.6,66512
2026-05-14T22:26:05+01:00,3.1,88412
2026-05-14T22:26:06+01:00,3.0,102608
2026-05-14T22:26:07+01:00,2.9,108044
2026-05-14T22:26:08+01:00,2.8,123564
2026-05-14T22:26:09+01:00,2.8,139768
2026-05-14T22:26:10+01:00,2.7,154208
2026-05-14T22:26:11+01:00,2.7,166760
2026-05-14T22:26:12+01:00,2.7,170064
2026-05-14T22:26:13+01:00,2.6,171656
2026-05-14T22:26:14+01:00,2.7,177148
2026-05-14T22:26:15+01:00,2.6,178616
2026-05-14T22:26:16+01:00,2.5,179696
2026-05-14T22:26:17+01:00,2.5,182164
2026-05-14T22:26:18+01:00,2.4,184060
2026-05-14T22:26:19+01:00,2.4,194372
2026-05-14T22:26:20+01:00,2.4,197392
2026-05-14T22:26:21+01:00,2.4,198848
2026-05-14T22:26:23+01:00,2.4,200228
2026-05-14T22:26:24+01:00,2.2,202324
2026-05-14T22:26:25+01:00,2.2,205344
2026-05-14T22:26:26+01:00,2.2,212096
2026-05-14T22:26:27+01:00,2.1,213168
2026-05-14T22:26:28+01:00,2.1,214340
2026-05-14T22:26:29+01:00,2.1,215008
2026-05-14T22:26:30+01:00,2.1,219972
2026-05-14T22:26:31+01:00,2.1,230280
2026-05-14T22:26:32+01:00,2.2,236672
2026-05-14T22:26:33+01:00,2.2,243680
2026-05-14T22:26:34+01:00,2.2,253628
2026-05-14T22:26:35+01:00,2.3,261880
2026-05-14T22:26:36+01:00,2.5,291732
2026-05-14T22:26:37+01:00,2.6,305536
2026-05-14T22:26:38+01:00,2.6,313116
2026-05-14T22:26:39+01:00,2.6,337552
2026-05-14T22:26:40+01:00,2.6,341172
2026-05-14T22:26:41+01:00,2.6,341732
2026-05-14T22:26:43+01:00,2.5,343264
2026-05-14T22:26:44+01:00,18.5,345684
2026-05-14T22:26:45+01:00,18.2,350556
2026-05-14T22:26:46+01:00,17.9,355308
2026-05-14T22:26:47+01:00,17.7,358196
2026-05-14T22:26:48+01:00,17.4,362584
2026-05-14T22:26:49+01:00,17.2,366760
2026-05-14T22:26:50+01:00,16.9,373292
2026-05-14T22:26:51+01:00,16.7,378336
2026-05-14T22:26:52+01:00,16.6,384732
2026-05-14T22:26:53+01:00,16.3,389236
2026-05-14T22:26:54+01:00,16.2,392800
2026-05-14T22:26:55+01:00,16.0,396616
2026-05-14T22:26:56+01:00,15.8,398464
2026-05-14T22:26:57+01:00,15.6,400044
2026-05-14T22:26:58+01:00,15.5,406084
2026-05-14T22:26:59+01:00,15.4,411760
2026-05-14T22:27:00+01:00,15.2,412752
2026-05-14T22:27:02+01:00,15.1,416640
2026-05-14T22:27:03+01:00,14.9,419376
2026-05-14T22:27:04+01:00,15.2,438244
2026-05-14T22:27:05+01:00,15.0,440712
2026-05-14T22:27:06+01:00,14.9,444084
2026-05-14T22:27:07+01:00,14.7,446108
2026-05-14T22:27:08+01:00,14.5,452204
2026-05-14T22:27:09+01:00,14.4,452976
2026-05-14T22:27:10+01:00,14.2,455944
2026-05-14T22:27:11+01:00,14.0,460344
2026-05-14T22:27:12+01:00,13.9,463136
2026-05-14T22:27:13+01:00,13.7,466712
2026-05-14T22:27:14+01:00,13.6,467868
2026-05-14T22:27:15+01:00,13.4,469080
2026-05-14T22:27:16+01:00,13.3,472112
2026-05-14T22:27:17+01:00,13.2,476032
2026-05-14T22:27:18+01:00,13.1,478148
2026-05-14T22:27:19+01:00,13.0,481120
2026-05-14T22:27:20+01:00,13.0,482688
