Sweep,Architecture,Engine,Model,Threads,Context tokens,Concurrent requests,KV cache K/V,Max generated tokens,TTFT mean (seconds),TPOT mean (milliseconds/token),Throughput mean (output tokens/second),Goodput fraction (TTFT<=2s and TPOT<=200ms),Peak memory VmHWM (GiB),Successful measured requests
arm_server,arm,tq,model-1-mandatory,,,1,turbo3/turbo3,,0.527,145.5,5.456,1.000,4.83,9
arm_server,arm,tq,model-1-mandatory,,,1,turbo4/turbo4,,0.519,140.7,5.664,1.000,4.87,9
arm_server,arm,tq,model-1-mandatory,,,16,turbo3/turbo3,,17.224,2831.4,0.367,0.000,4.85,9
arm_server,arm,tq,model-1-mandatory,,,16,turbo4/turbo4,,15.262,2698.4,0.385,0.000,4.89,9
arm_server,arm,tq,model-1-mandatory,,,2,turbo3/turbo3,,0.742,269.9,3.140,0.000,4.84,9
arm_server,arm,tq,model-1-mandatory,,,2,turbo4/turbo4,,0.726,260.1,3.256,0.000,4.86,9
arm_server,arm,tq,model-1-mandatory,,,4,turbo3/turbo3,,1.786,542.8,1.613,0.000,4.83,9
arm_server,arm,tq,model-1-mandatory,,,4,turbo4/turbo4,,1.740,519.7,1.681,0.000,4.87,9
arm_server,arm,tq,model-1-mandatory,,,8,turbo3/turbo3,,1.964,1142.7,0.852,0.000,4.78,9
arm_server,arm,tq,model-1-mandatory,,,8,turbo4/turbo4,,1.951,1044.4,0.878,0.000,4.83,9
arm_server,arm,vanilla,model-1-mandatory,,,1,f16/f16,,0.546,130.4,6.142,1.000,5.25,9
arm_server,arm,vanilla,model-1-mandatory,,,16,f16/f16,,16.454,2686.7,0.395,0.000,5.37,9
arm_server,arm,vanilla,model-1-mandatory,,,2,f16/f16,,0.765,246.7,3.412,0.000,5.24,9
arm_server,arm,vanilla,model-1-mandatory,,,4,f16/f16,,2.973,490.5,1.741,0.000,5.23,9
arm_server,arm,vanilla,model-1-mandatory,,,8,f16/f16,,1.934,1012.4,0.913,0.000,5.11,9
blas_server,arm,vanilla-blis,model-1-mandatory,,,1,f16/f16,,0.555,130.6,6.123,1.000,5.51,9
blas_server,arm,vanilla-blis,model-1-mandatory,,,16,f16/f16,,16.417,2982.5,0.377,0.000,5.60,9
blas_server,arm,vanilla-blis,model-1-mandatory,,,2,f16/f16,,0.768,246.9,3.409,0.000,5.53,9
blas_server,arm,vanilla-blis,model-1-mandatory,,,4,f16/f16,,3.302,493.4,1.722,0.000,5.53,9
blas_server,arm,vanilla-blis,model-1-mandatory,,,8,f16/f16,,2.479,1130.3,0.848,0.000,5.41,9
blas_server,arm,vanilla-openblas-fujitsu,model-1-mandatory,,,1,f16/f16,,0.549,128.9,6.200,1.000,5.48,9
blas_server,arm,vanilla-openblas-fujitsu,model-1-mandatory,,,16,f16/f16,,9.607,2259.4,0.440,0.000,5.61,9
blas_server,arm,vanilla-openblas-fujitsu,model-1-mandatory,,,2,f16/f16,,0.765,246.9,3.409,0.000,5.47,9
blas_server,arm,vanilla-openblas-fujitsu,model-1-mandatory,,,4,f16/f16,,2.020,488.4,1.776,0.000,5.49,9
blas_server,arm,vanilla-openblas-fujitsu,model-1-mandatory,,,8,f16/f16,,2.460,1012.2,0.902,0.000,5.35,9
x86_server,x86,tq,model-1-mandatory,,,1,turbo3/turbo3,,0.133,102.4,9.102,1.000,7.99,9
x86_server,x86,tq,model-1-mandatory,,,1,turbo4/turbo4,,0.133,105.4,8.889,1.000,8.04,9
x86_server,x86,tq,model-1-mandatory,,,16,turbo3/turbo3,,2.157,380.9,2.647,0.000,8.01,9
x86_server,x86,tq,model-1-mandatory,,,16,turbo4/turbo4,,2.270,372.9,2.690,0.000,8.07,9
x86_server,x86,tq,model-1-mandatory,,,2,turbo4/turbo4,,0.293,108.5,8.218,1.000,8.03,9
x86_server,x86,tq,model-1-mandatory,,,4,turbo3/turbo3,,0.706,183.6,4.810,1.000,8.00,9
x86_server,x86,tq,model-1-mandatory,,,4,turbo4/turbo4,,0.561,159.1,5.508,1.000,8.03,9
x86_server,x86,tq,model-1-mandatory,,,8,turbo3/turbo3,,0.545,174.0,5.020,0.889,8.00,9
x86_server,x86,tq,model-1-mandatory,,,8,turbo4/turbo4,,0.489,190.9,4.879,0.667,8.01,9
x86_server,x86,vanilla,model-1-mandatory,,,1,f16/f16,,0.225,163.3,5.685,1.000,8.41,9
x86_server,x86,vanilla,model-1-mandatory,,,16,f16/f16,,2.584,367.2,2.803,0.000,8.50,9
x86_server,x86,vanilla,model-1-mandatory,,,2,f16/f16,,0.415,175.5,5.096,1.000,8.41,9
x86_server,x86,vanilla,model-1-mandatory,,,4,f16/f16,,0.654,166.5,5.166,1.000,8.39,9
x86_server,x86,vanilla,model-1-mandatory,,,8,f16/f16,,0.528,179.8,4.921,0.889,8.33,9
