Sweep,Architecture,Engine,Model,Threads,Context tokens,Concurrent requests,KV cache K/V,Max generated tokens,TTFT mean (seconds),TPOT mean (milliseconds/token),Throughput mean (output tokens/second),Goodput fraction (TTFT<=2s and TPOT<=200ms),Peak memory VmHWM (GiB),Successful measured requests
arm_server,arm,tq,model-1-mandatory,,1024,,turbo3/turbo3,,0.525,144.6,5.481,1.000,4.80,9
arm_server,arm,tq,model-1-mandatory,,1024,,turbo4/turbo4,,0.518,139.2,5.714,1.000,4.83,9
arm_server,arm,tq,model-1-mandatory,,2048,,turbo3/turbo3,,0.526,145.9,5.442,1.000,4.82,9
arm_server,arm,tq,model-1-mandatory,,2048,,turbo4/turbo4,,0.519,140.8,5.655,1.000,4.87,9
arm_server,arm,tq,model-1-mandatory,,4096,,turbo3/turbo3,,0.526,145.7,5.445,1.000,4.86,9
arm_server,arm,tq,model-1-mandatory,,4096,,turbo4/turbo4,,0.518,139.7,5.703,1.000,4.92,9
arm_server,arm,tq,model-1-mandatory,,512,,turbo3/turbo3,,0.526,145.7,5.446,1.000,4.79,9
arm_server,arm,tq,model-1-mandatory,,512,,turbo4/turbo4,,0.519,140.4,5.672,1.000,4.81,9
arm_server,arm,vanilla,model-1-mandatory,,1024,,f16/f16,,0.555,130.4,6.135,1.000,5.11,9
arm_server,arm,vanilla,model-1-mandatory,,2048,,f16/f16,,0.550,130.4,6.135,1.000,5.25,9
arm_server,arm,vanilla,model-1-mandatory,,4096,,f16/f16,,0.543,130.2,6.149,1.000,5.48,9
arm_server,arm,vanilla,model-1-mandatory,,512,,f16/f16,,0.536,130.0,6.168,1.000,5.04,9
blas_server,arm,vanilla-blis,model-1-mandatory,,1024,,f16/f16,,0.555,130.7,6.120,1.000,5.39,9
blas_server,arm,vanilla-blis,model-1-mandatory,,2048,,f16/f16,,0.555,130.4,6.134,1.000,5.51,9
blas_server,arm,vanilla-blis,model-1-mandatory,,4096,,f16/f16,,0.555,130.5,6.128,1.000,5.76,9
blas_server,arm,vanilla-blis,model-1-mandatory,,512,,f16/f16,,0.539,130.1,6.162,1.000,5.31,9
blas_server,arm,vanilla-openblas-fujitsu,model-1-mandatory,,1024,,f16/f16,,0.549,130.0,6.155,1.000,5.35,9
blas_server,arm,vanilla-openblas-fujitsu,model-1-mandatory,,2048,,f16/f16,,0.553,130.7,6.123,1.000,5.48,9
blas_server,arm,vanilla-openblas-fujitsu,model-1-mandatory,,4096,,f16/f16,,0.552,130.7,6.126,1.000,5.73,9
blas_server,arm,vanilla-openblas-fujitsu,model-1-mandatory,,512,,f16/f16,,0.539,128.8,6.218,1.000,5.28,9
x86_server,x86,tq,model-1-mandatory,,1024,,turbo3/turbo3,,0.138,107.9,8.690,1.000,7.95,9
x86_server,x86,tq,model-1-mandatory,,1024,,turbo4/turbo4,,0.180,146.9,6.415,1.000,7.99,9
x86_server,x86,tq,model-1-mandatory,,2048,,turbo3/turbo3,,0.170,138.1,6.781,1.000,7.99,9
x86_server,x86,tq,model-1-mandatory,,2048,,turbo4/turbo4,,0.181,144.7,6.460,1.000,8.04,9
x86_server,x86,tq,model-1-mandatory,,4096,,turbo3/turbo3,,0.138,106.2,8.819,1.000,8.03,9
x86_server,x86,tq,model-1-mandatory,,4096,,turbo4/turbo4,,0.172,137.1,6.827,1.000,8.09,9
x86_server,x86,tq,model-1-mandatory,,512,,turbo3/turbo3,,0.152,121.5,7.708,1.000,7.94,9
x86_server,x86,tq,model-1-mandatory,,512,,turbo4/turbo4,,0.163,132.6,7.069,1.000,7.97,9
x86_server,x86,vanilla,model-1-mandatory,,1024,,f16/f16,,0.222,160.6,5.769,1.000,8.26,9
x86_server,x86,vanilla,model-1-mandatory,,2048,,f16/f16,,0.212,152.6,6.090,1.000,8.42,9
x86_server,x86,vanilla,model-1-mandatory,,4096,,f16/f16,,0.196,140.5,6.597,1.000,8.66,9
x86_server,x86,vanilla,model-1-mandatory,,512,,f16/f16,,0.153,102.1,9.081,1.000,8.20,9
