Sweep,Architecture,Engine,Model,Threads,Context tokens,Concurrent requests,KV cache K/V,Max generated tokens,TTFT mean (seconds),TPOT mean (milliseconds/token),Throughput mean (output tokens/second),Goodput fraction (TTFT<=2s and TPOT<=200ms),Peak memory VmHWM (GiB),Successful measured requests
arm_server,arm,tq,model-1-mandatory,,,,turbo3/turbo3,128,0.527,146.0,5.438,1.000,4.83,9
arm_server,arm,tq,model-1-mandatory,,,,turbo4/turbo4,128,0.519,140.5,5.668,1.000,4.87,9
arm_server,arm,tq,model-1-mandatory,,,,turbo3/turbo3,256,1.299,153.0,5.037,0.667,4.85,9
arm_server,arm,tq,model-1-mandatory,,,,turbo4/turbo4,256,1.280,145.8,5.300,0.667,4.90,9
arm_server,arm,tq,model-1-mandatory,,,,turbo3/turbo3,512,1.299,162.1,4.776,0.667,4.89,9
arm_server,arm,tq,model-1-mandatory,,,,turbo4/turbo4,512,1.280,153.7,5.049,0.667,4.95,9
arm_server,arm,tq,model-1-mandatory,,,,turbo3/turbo3,64,0.526,142.4,5.594,1.000,4.81,9
arm_server,arm,tq,model-1-mandatory,,,,turbo4/turbo4,64,0.519,138.2,5.777,1.000,4.85,9
arm_server,arm,vanilla,model-1-mandatory,,,,f16/f16,128,0.552,130.4,6.136,1.000,5.25,9
arm_server,arm,vanilla,model-1-mandatory,,,,f16/f16,256,1.309,131.5,5.922,0.667,5.35,9
arm_server,arm,vanilla,model-1-mandatory,,,,f16/f16,512,1.304,133.4,5.892,0.667,5.55,9
arm_server,arm,vanilla,model-1-mandatory,,,,f16/f16,64,0.537,129.7,6.172,1.000,5.19,9
blas_server,arm,vanilla-blis,model-1-mandatory,,,,f16/f16,128,0.544,130.3,6.144,1.000,5.51,9
blas_server,arm,vanilla-blis,model-1-mandatory,,,,f16/f16,256,1.311,131.5,5.920,0.667,5.63,9
blas_server,arm,vanilla-blis,model-1-mandatory,,,,f16/f16,512,1.298,133.0,5.915,0.667,5.84,9
blas_server,arm,vanilla-blis,model-1-mandatory,,,,f16/f16,64,0.544,129.5,6.177,1.000,5.45,9
blas_server,arm,vanilla-openblas-fujitsu,model-1-mandatory,,,,f16/f16,128,0.553,129.5,6.176,1.000,5.48,9
blas_server,arm,vanilla-openblas-fujitsu,model-1-mandatory,,,,f16/f16,256,1.304,131.3,5.932,0.667,5.59,9
blas_server,arm,vanilla-openblas-fujitsu,model-1-mandatory,,,,f16/f16,512,1.303,133.1,5.908,0.667,5.81,9
blas_server,arm,vanilla-openblas-fujitsu,model-1-mandatory,,,,f16/f16,64,0.546,129.9,6.155,1.000,5.41,9
x86_server,x86,tq,model-1-mandatory,,,,turbo3/turbo3,128,0.146,113.8,8.212,1.000,7.99,9
x86_server,x86,tq,model-1-mandatory,,,,turbo4/turbo4,128,0.183,149.1,6.296,1.000,8.03,9
x86_server,x86,tq,model-1-mandatory,,,,turbo3/turbo3,256,0.219,122.8,7.617,1.000,8.02,9
x86_server,x86,tq,model-1-mandatory,,,,turbo4/turbo4,256,0.217,125.1,7.454,1.000,8.07,9
x86_server,x86,tq,model-1-mandatory,,,,turbo3/turbo3,512,0.196,111.6,8.370,1.000,8.07,9
x86_server,x86,tq,model-1-mandatory,,,,turbo4/turbo4,512,0.198,108.1,8.576,1.000,8.14,9
x86_server,x86,tq,model-1-mandatory,,,,turbo3/turbo3,64,0.131,101.2,9.242,1.000,7.97,9
x86_server,x86,tq,model-1-mandatory,,,,turbo4/turbo4,64,0.157,128.5,7.296,1.000,8.02,9
x86_server,x86,vanilla,model-1-mandatory,,,,f16/f16,128,0.153,101.6,9.071,1.000,8.42,9
x86_server,x86,vanilla,model-1-mandatory,,,,f16/f16,256,0.223,108.9,8.463,1.000,8.52,9
x86_server,x86,vanilla,model-1-mandatory,,,,f16/f16,512,0.263,126.9,7.242,1.000,8.72,9
x86_server,x86,vanilla,model-1-mandatory,,,,f16/f16,64,0.162,117.5,7.923,1.000,8.34,9
