Sweep,Architecture,Engine,Model,Threads,Context tokens,Concurrent requests,KV cache K/V,Max generated tokens,TTFT mean (seconds),TPOT mean (milliseconds/token),Throughput mean (output tokens/second),Goodput fraction (TTFT<=2s and TPOT<=200ms),Peak memory VmHWM (GiB),Successful measured requests
arm_server,arm,tq,model-1-mandatory,24,2048,1,turbo3/turbo3,128,0.525,145.3,5.461,1.000,4.83,9
arm_server,arm,tq,model-1-mandatory,24,2048,1,turbo4/turbo4,128,0.519,140.0,5.686,1.000,4.87,9
arm_server,arm,tq,model-3,24,2048,1,turbo3/turbo3,128,11.304,164.4,0.254,0.000,5.18,9
arm_server,arm,tq,model-3,24,2048,1,turbo4/turbo4,128,1.585,128.8,1.158,0.333,5.19,9
arm_server,arm,vanilla,model-1-mandatory,24,2048,1,f16/f16,128,0.555,130.4,6.130,1.000,5.25,9
arm_server,arm,vanilla,model-2,24,2048,1,f16/f16,128,0.090,19.7,40.517,1.000,0.47,9
arm_server,arm,vanilla,model-3,24,2048,1,f16/f16,128,1.772,127.7,3.545,0.333,5.41,9
blas_server,arm,vanilla-blis,model-1-mandatory,24,2048,1,f16/f16,128,0.543,130.4,6.142,1.000,5.51,9
blas_server,arm,vanilla-blis,model-2,24,2048,1,f16/f16,128,0.089,21.1,38.120,1.000,0.51,9
blas_server,arm,vanilla-blis,model-3,24,2048,1,f16/f16,128,1.777,127.8,3.540,0.333,5.57,9
blas_server,arm,vanilla-openblas-fujitsu,model-1-mandatory,24,2048,1,f16/f16,128,0.555,130.6,6.125,1.000,5.47,9
blas_server,arm,vanilla-openblas-fujitsu,model-2,24,2048,1,f16/f16,128,0.088,19.6,40.679,1.000,0.50,9
blas_server,arm,vanilla-openblas-fujitsu,model-3,24,2048,1,f16/f16,128,1.777,128.5,3.526,0.333,5.54,9
x86_server,x86,tq,model-1-mandatory,32,2048,1,turbo3/turbo3,128,0.191,158.9,5.924,1.000,7.99,9
x86_server,x86,tq,model-1-mandatory,32,2048,1,turbo4/turbo4,128,0.160,130.6,7.186,1.000,8.03,9
x86_server,x86,tq,model-3,32,2048,1,turbo3/turbo3,128,0.293,93.9,2.940,0.333,7.02,9
x86_server,x86,tq,model-3,32,2048,1,turbo4/turbo4,128,0.374,120.6,2.059,0.333,7.04,9
x86_server,x86,vanilla,model-1-mandatory,32,2048,1,f16/f16,128,0.165,122.7,7.520,1.000,8.42,9
x86_server,x86,vanilla,model-2,32,2048,1,f16/f16,128,0.040,15.5,56.248,1.000,0.50,9
x86_server,x86,vanilla,model-3,32,2048,1,f16/f16,128,0.468,129.0,4.690,0.667,7.24,9
