Sweep,Architecture,Engine,Model,Threads,Context tokens,Concurrent requests,KV cache K/V,Max generated tokens,TTFT mean (seconds),TPOT mean (milliseconds/token),Throughput mean (output tokens/second),Goodput fraction (TTFT<=2s and TPOT<=200ms),Peak memory VmHWM (GiB),Successful measured requests
arm_server,arm,tq,model-1-mandatory,12,,,turbo3/turbo3,,1.008,269.3,2.943,0.000,4.83,9
arm_server,arm,tq,model-1-mandatory,12,,,turbo4/turbo4,,0.992,259.9,3.060,0.000,4.86,9
arm_server,arm,tq,model-1-mandatory,24,,,turbo3/turbo3,,0.526,145.6,5.452,1.000,4.83,9
arm_server,arm,tq,model-1-mandatory,24,,,turbo4/turbo4,,0.519,140.3,5.677,1.000,4.86,9
arm_server,arm,tq,model-1-mandatory,36,,,turbo3/turbo3,,0.373,102.1,7.809,1.000,4.83,9
arm_server,arm,tq,model-1-mandatory,36,,,turbo4/turbo4,,0.370,99.5,8.041,1.000,4.88,9
arm_server,arm,tq,model-1-mandatory,46,,,turbo3/turbo3,,0.304,96.2,8.651,1.000,4.84,9
arm_server,arm,tq,model-1-mandatory,46,,,turbo4/turbo4,,0.300,89.1,9.024,1.000,4.87,9
arm_server,arm,tq,model-1-mandatory,48,,,turbo3/turbo3,,0.365,188.4,4.595,0.667,4.83,9
arm_server,arm,tq,model-1-mandatory,48,,,turbo4/turbo4,,0.336,126.9,6.304,1.000,4.87,9
arm_server,arm,vanilla,model-1-mandatory,12,,,f16/f16,,1.014,246.9,3.242,0.000,5.26,9
arm_server,arm,vanilla,model-1-mandatory,24,,,f16/f16,,0.549,130.4,6.139,1.000,5.26,9
arm_server,arm,vanilla,model-1-mandatory,36,,,f16/f16,,0.407,95.3,8.412,1.000,5.25,9
arm_server,arm,vanilla,model-1-mandatory,46,,,f16/f16,,0.337,83.3,9.604,1.000,5.25,9
arm_server,arm,vanilla,model-1-mandatory,48,,,f16/f16,,0.348,216.4,4.449,0.444,5.26,9
blas_server,arm,vanilla-blis,model-1-mandatory,12,,,f16/f16,,1.026,247.2,3.236,0.000,5.49,9
blas_server,arm,vanilla-blis,model-1-mandatory,24,,,f16/f16,,0.555,130.3,6.135,1.000,5.51,9
