experiment_dir,suite,engine,node_count,replica_count,model,model_label,threads,threads_batch,ctx_size,parallel_requests,cache_type_k,cache_type_v,max_tokens,category,prompt_id,successful_runs,total_throughput_output_tok_s_mean,ttft_s_mean_across_replicas,tpot_s_mean_across_replicas,goodput_sla_fraction_mean,max_vmhwm_kb
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo2,turbo2,128,long,long_concurrency_server,1,6.263735470244947,0.1767549230135046,0.159511040173394,1.0,5068864.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo2,turbo2,128,long,long_hpc_case_study,1,5.907644147572498,0.18758200301090255,0.16912462149598217,1.0,5068864.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo2,turbo2,128,long,long_memory_bound_reasoning,1,6.146683150311888,0.17972117802128196,0.16255185680324577,1.0,5068864.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo2,turbo2,128,long,long_quantisation_evaluation,1,6.233275118772915,0.17777557100635022,0.16028931594497753,1.0,5068864.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo2,turbo2,128,long,mandatory_long_transformer_cpu,1,6.578591039790966,0.16514219099190086,0.15190132872447165,1.0,5068864.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo2,turbo2,128,medium,mandatory_medium_ml_vs_dl,1,7.333901828062955,0.14982736395904794,0.13624351819716835,1.0,5068864.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo2,turbo2,128,medium,medium_concurrency,1,7.032168106406898,0.15569064900046214,0.14209406366150124,1.0,5068864.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo2,turbo2,128,medium,medium_cpu_inference_pipeline,1,6.9795805838771985,0.15698137698927894,0.14316371538562656,1.0,5068864.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo2,turbo2,128,medium,medium_quant_tradeoff,1,7.026608686807139,0.15677517600124702,0.14219896840967428,1.0,5068864.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo2,turbo2,128,medium,medium_thread_scaling,1,7.011908090822652,0.15631379297701642,0.14250320596867938,1.0,5068864.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo2,turbo2,128,short,mandatory_short_capital_france,1,3.272938711739903,1.2361173650133424,0.12885374349813597,1.0,5068864.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo2,turbo2,128,short,short_batching,1,7.302801255598846,0.1506330479751341,0.13682154665369262,1.0,5068864.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo2,turbo2,128,short,short_cpu_quantisation,1,6.063389998945885,3.5964299510233104,0.137900925535199,0.0,5068864.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo2,turbo2,128,short,short_kv_cache,1,7.335904381801165,0.1498120150063187,0.136206132220471,1.0,5068864.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo2,turbo2,128,short,short_threading_definition,1,7.308621202506148,0.1501253280439414,0.13671622898403965,1.0,5068864.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo3,turbo3,128,long,long_concurrency_server,1,5.715294911102709,0.19189712102524936,0.17483239630686384,1.0,5105024.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo3,turbo3,128,long,long_hpc_case_study,1,5.357259288366902,0.20290987502085045,0.18653120062961134,1.0,5105024.0
