arch,cache_type_k,cache_type_v,category,ctx_size,decode_throughput_tok_s,engine,experiment_dir,goodput_sla_fraction_mean,max_tokens,max_vmhwm_kb,model,model_label,node_count,parallel_requests,prompt_id,replica_count,source,successful_runs,suite,threads,threads_batch,total_throughput_output_tok_s_mean,tpot_s_mean_across_replicas,ttft_s_mean_across_replicas
unknown,turbo2,turbo2,long,2048,6.2691585417094995,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5068864.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,long_concurrency_server,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,6.263735470244947,0.159511040173394,0.1767549230135046
unknown,turbo2,turbo2,long,2048,5.912799633516144,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5068864.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,long_hpc_case_study,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,5.907644147572498,0.16912462149598217,0.18758200301090255
unknown,turbo2,turbo2,long,2048,6.1518829724006725,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5068864.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,long_memory_bound_reasoning,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,6.146683150311888,0.16255185680324577,0.17972117802128196
unknown,turbo2,turbo2,long,2048,6.238718994491621,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5068864.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,long_quantisation_evaluation,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,6.233275118772915,0.16028931594497753,0.17777557100635022
unknown,turbo2,turbo2,long,2048,6.583220886855203,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5068864.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,mandatory_long_transformer_cpu,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,6.578591039790966,0.15190132872447165,0.16514219099190086
unknown,turbo2,turbo2,medium,2048,7.3397987165365475,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5068864.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,mandatory_medium_ml_vs_dl,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,7.333901828062955,0.13624351819716835,0.14982736395904794
unknown,turbo2,turbo2,medium,2048,7.037591678581423,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5068864.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,medium_concurrency,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,7.032168106406898,0.14209406366150124,0.15569064900046214
unknown,turbo2,turbo2,medium,2048,6.9850101145139645,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5068864.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,medium_cpu_inference_pipeline,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,6.9795805838771985,0.14316371538562656,0.15698137698927894
unknown,turbo2,turbo2,medium,2048,7.032399821066259,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5068864.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,medium_quant_tradeoff,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,7.026608686807139,0.14219896840967428,0.15677517600124702
unknown,turbo2,turbo2,medium,2048,7.017385982318102,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5068864.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,medium_thread_scaling,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,7.011908090822652,0.14250320596867938,0.15631379297701642
