timestamp,cpu_percent,rss_kb,vmhwm_kb
2026-05-12T18:58:44+01:00,440,5130368,5130368
2026-05-12T18:58:45+01:00,810,5134592,5134592
2026-05-12T18:58:46+01:00,988,5134592,5134592
2026-05-12T18:58:48+01:00,1227,5134592,5134592
2026-05-12T18:58:49+01:00,1409,5134592,5134592
2026-05-12T18:58:50+01:00,1547,5134592,5134592
2026-05-12T18:58:51+01:00,1661,5134592,5134592
2026-05-12T18:58:52+01:00,1752,5134592,5134592
2026-05-12T18:58:53+01:00,1831,5134592,5134592
2026-05-12T18:58:54+01:00,1898,5134592,5134592
