timestamp,cpu_percent,rss_kb,vmhwm_kb
2026-05-12T18:58:42+01:00,220,376832,376832
2026-05-12T18:58:43+01:00,698,379904,379904
2026-05-12T18:58:45+01:00,1181,379904,379904
2026-05-12T18:58:46+01:00,1472,379904,379904
2026-05-12T18:58:47+01:00,1658,384064,384064
2026-05-12T18:58:48+01:00,1796,384064,384064
2026-05-12T18:58:49+01:00,1896,392512,392512
2026-05-12T18:58:50+01:00,1976,392512,392512
2026-05-12T18:58:51+01:00,2040,392512,392512
2026-05-12T18:58:52+01:00,2089,400960,400960
2026-05-12T18:58:53+01:00,1969,400960,400960
2026-05-12T18:58:55+01:00,2015,400960,400960
