index,suite,engine,model_label,model,threads,ctx_size,parallel_requests,bench_concurrency,max_tokens,cache_type_k,cache_type_v
0,model-set,vanilla-openblas-fujitsu,model-1-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,128,f16,f16
1,model-set,vanilla-openblas-fujitsu,model-1-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,128,q4_0,q4_0
2,model-set,vanilla-blis,model-1-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,128,f16,f16
3,model-set,vanilla-blis,model-1-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,2048,1,1,128,q4_0,q4_0
4,model-set,vanilla-openblas-fujitsu,model-2,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/SmolLM2-360M-Instruct.Q4_K_M.gguf,24,2048,1,1,128,f16,f16
5,model-set,vanilla-openblas-fujitsu,model-2,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/SmolLM2-360M-Instruct.Q4_K_M.gguf,24,2048,1,1,128,q4_0,q4_0
6,model-set,vanilla-blis,model-2,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/SmolLM2-360M-Instruct.Q4_K_M.gguf,24,2048,1,1,128,f16,f16
7,model-set,vanilla-blis,model-2,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/SmolLM2-360M-Instruct.Q4_K_M.gguf,24,2048,1,1,128,q4_0,q4_0
8,model-set,vanilla-openblas-fujitsu,model-3,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/gemma-4-E4B-it-OBLITERATED-Q4_K_M.gguf,24,2048,1,1,128,f16,f16
9,model-set,vanilla-openblas-fujitsu,model-3,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/gemma-4-E4B-it-OBLITERATED-Q4_K_M.gguf,24,2048,1,1,128,q4_0,q4_0
