timestamp,cpu_percent,rss_kb,vmhwm_kb
2026-05-12T19:51:14+01:00,315,4881856,4884096
2026-05-12T19:51:15+01:00,634,4893568,4893568
2026-05-12T19:51:16+01:00,972,4893568,4893568
2026-05-12T19:51:17+01:00,1213,4893568,4893568
2026-05-12T19:51:18+01:00,1392,4893568,4893568
2026-05-12T19:51:19+01:00,1527,4893568,4893568
2026-05-12T19:51:20+01:00,1642,4893568,4893568
2026-05-12T19:51:21+01:00,1589,4893568,4893568
2026-05-12T19:51:23+01:00,1670,4893568,4893568
2026-05-12T19:51:24+01:00,1740,4893568,4893568
2026-05-12T19:51:25+01:00,1803,4893568,4893568
2026-05-12T19:51:26+01:00,1856,4893568,4893568
2026-05-12T19:51:27+01:00,1904,4893568,4893568
2026-05-12T19:51:28+01:00,1945,4893568,4893568
2026-05-12T19:51:29+01:00,1984,4893568,4893568
2026-05-12T19:51:30+01:00,1921,4893568,4893568
2026-05-12T19:51:32+01:00,1955,4893568,4893568
2026-05-12T19:51:33+01:00,1985,4893568,4893568
2026-05-12T19:51:34+01:00,2014,4893568,4893568
2026-05-12T19:51:35+01:00,2040,4893568,4893568
2026-05-12T19:51:36+01:00,2063,4893568,4893568
2026-05-12T19:51:37+01:00,2086,4893568,4893568
2026-05-12T19:51:38+01:00,2106,4893568,4893568
2026-05-12T19:51:39+01:00,2126,4893568,4893568
2026-05-12T19:51:40+01:00,2072,4896896,4896896
2026-05-12T19:51:42+01:00,2090,4896896,4896896
2026-05-12T19:51:43+01:00,2107,4896896,4896896
2026-05-12T19:51:44+01:00,2123,4896896,4896896
2026-05-12T19:51:45+01:00,2138,4896896,4896896
2026-05-12T19:51:46+01:00,2153,4896896,4896896
2026-05-12T19:51:47+01:00,2167,4896896,4896896
2026-05-12T19:51:48+01:00,2180,4896896,4896896
2026-05-12T19:51:49+01:00,2192,4896896,4896896
2026-05-12T19:51:50+01:00,2150,4896896,4896896
2026-05-12T19:51:52+01:00,2162,4896896,4896896
2026-05-12T19:51:53+01:00,2174,4896896,4896896
2026-05-12T19:51:54+01:00,2185,4896896,4896896
2026-05-12T19:51:55+01:00,2195,4896896,4896896
2026-05-12T19:51:56+01:00,2205,4896896,4896896
2026-05-12T19:51:57+01:00,2215,4896896,4896896
2026-05-12T19:51:58+01:00,2224,4896896,4896896
